,league_country,season,team,total_games,total_points,total_expected_points,points_per_game,expected_points_per_game,points_per_game_above_expectation
0,England,2016,Leicester,38,81.0,40.18569801067371,2.1315789473684212,1.0575183687019398,1.0740605786664814
1,Germany,2017,RB Leipzig,34,67.0,35.65692225700873,1.9705882352941178,1.0487330075590804,0.9218552277350374
2,England,2019,Liverpool,20,54.0,36.66624981587659,2.7,1.8333124907938294,0.8666875092061708
3,Germany,2019,Dortmund,17,42.0,27.70839706504752,2.4705882352941178,1.6299057097086778,0.84068252558544
4,France,2012,Montpellier,38,82.0,50.77456628894164,2.1578947368421053,1.3361727970774115,0.8217219397646938
5,France,2017,Monaco,38,95.0,64.26499265169156,2.5,1.6911840171497778,0.8088159828502222
6,Italy,2017,Atalanta,38,72.0,44.159112101308764,1.894736842105263,1.1620818974028622,0.7326549447024009
7,France,2010,Montpellier,38,69.0,42.85581882315628,1.8157894736842106,1.1277847058725337,0.688004767811677
8,Germany,2011,Dortmund,34,75.0,51.82917605011808,2.2058823529411766,1.524387530885826,0.6814948220553507
9,Spain,2006,Osasuna,38,68.0,42.43624410439031,1.7894736842105263,1.1167432659050083,0.672730418305518
10,Germany,2007,Stuttgart,34,70.0,47.13518232613002,2.0588235294117645,1.3863288919450005,0.672494637466764
11,England,2017,Tottenham,38,86.0,61.30981947777758,2.263157894736842,1.6134163020467784,0.6497415926900636
12,France,2017,Nice,38,78.0,53.438925812619445,2.0526315789473686,1.4062875213847221,0.6463440575626465
13,England,2018,Man City,38,100.0,76.08577974956323,2.6315789473684212,2.0022573618306114,0.6293215855378098
14,Germany,2009,Wolfsburg,34,69.0,47.69777789950664,2.0294117647058822,1.4028758205737246,0.6265359441321576
15,Germany,2011,Hannover,34,60.0,39.07551179422664,1.7647058823529411,1.1492797586537247,0.6154261236992165
16,Italy,2014,Roma,38,85.0,61.75017116115403,2.236842105263158,1.6250045042408956,0.6118376010222624
17,Germany,2012,Dortmund,34,81.0,60.33542715197514,2.3823529411764706,1.7745713868227981,0.6077815543536724
18,Germany,2011,Mainz,34,58.0,37.47742525700211,1.7058823529411764,1.1022772134412386,0.6036051394999378
19,France,2005,Lille,38,67.0,44.72702337495011,1.763157894736842,1.1770269309197396,0.5861309638171024
20,Germany,2006,Werder Bremen,34,70.0,50.078583636919305,2.0588235294117645,1.4728995187329208,0.5859240106788437
21,Germany,2015,M'gladbach,34,66.0,46.28114634120023,1.9411764705882353,1.361210186505889,0.5799662840823463
22,France,2010,Auxerre,38,71.0,49.05500418265369,1.868421052631579,1.290921162701413,0.577499889930166
23,Spain,2016,Ath Madrid,38,88.0,66.11991867620924,2.3157894736842106,1.739997859900243,0.5757916137839676
24,Italy,2009,Genoa,38,68.0,46.429429091805936,1.7894736842105263,1.221827081363314,0.5676466028472122
25,Spain,2008,Villarreal,38,77.0,55.65327943521805,2.026315789473684,1.4645599851373172,0.5617558043363668
26,Germany,2009,Hoffenheim,34,55.0,36.06346420775022,1.6176470588235294,1.0606901237573594,0.5569569350661701
27,Spain,2019,Alaves,17,28.0,18.719044623392477,1.6470588235294117,1.1011202719642634,0.5459385515651483
28,Germany,2017,Hoffenheim,34,62.0,43.57710578357839,1.8235294117647058,1.2816795818699527,0.5418498298947532
29,Germany,2019,M'gladbach,17,33.0,23.866937864344113,1.9411764705882353,1.4039375214320067,0.5372389491562286
30,Spain,2013,Sociedad,38,66.0,45.59370357605118,1.736842105263158,1.1998343046329258,0.5370078006302321
31,Germany,2012,M'gladbach,34,60.0,41.75683058021435,1.7647058823529411,1.2281420758886572,0.5365638064642839
32,Italy,2005,Udinese,38,62.0,41.666670816529034,1.631578947368421,1.09649133727708,0.5350876100913411
33,France,2018,Lyon,38,78.0,57.76544388186104,2.0526315789473686,1.5201432600489746,0.532488318898394
34,Spain,2015,Valencia,38,77.0,56.84457836035332,2.026315789473684,1.4959099568514032,0.5304058326222809
35,France,2019,Lille,19,34.0,23.993407612530504,1.7894736842105263,1.2628109269752896,0.5266627572352367
36,England,2014,Liverpool,38,84.0,64.00160230341514,2.210526315789474,1.6842526921951353,0.5262736235943386
37,Spain,2018,Valencia,38,73.0,53.13059027618005,1.9210526315789473,1.3981734283205276,0.5228792032584197
38,Spain,2010,Mallorca,38,62.0,42.286397751192354,1.631578947368421,1.1127999408208513,0.5187790065475697
39,Italy,2016,Sassuolo,38,61.0,41.42187051798333,1.605263157894737,1.090049224157456,0.515213933737281
40,Germany,2006,Hamburg,34,68.0,50.577601293033396,2.0,1.4875765086186292,0.5124234913813708
41,England,2005,Chelsea,38,95.0,75.59249934895013,2.5,1.9892762986565824,0.5107237013434176
42,Germany,2009,Hertha,34,63.0,45.768406166486585,1.8529411764705883,1.3461295931319583,0.50681158333863
43,Italy,2017,Roma,38,87.0,68.04036525537936,2.289473684210526,1.790535927773141,0.49893775643738514
