,league_country,season,team,total_games,total_points,total_expected_points,points_per_game,expected_points_per_game,points_per_game_above_expectation
44,England,2006,Blackburn,38,63.0,44.15003865305007,1.6578947368421053,1.161843122448686,0.49605161439341927
45,France,2013,Nice,38,64.0,45.21944725062847,1.6842105263157894,1.1899854539639072,0.4942250723518822
46,England,2007,Reading,38,55.0,36.260269828455904,1.4473684210526316,0.9542176270646291,0.49315079398800254
47,Italy,2006,Fiorentina,38,74.0,55.305143101358375,1.9473684210526316,1.4553985026673257,0.4919699183853059
48,England,2005,Everton,38,61.0,42.37240157481118,1.605263157894737,1.1150631993371363,0.4901999585576007
49,Italy,2014,Juventus,38,102.0,83.61444861083001,2.6842105263157894,2.2003802266007897,0.4838302997149997
50,England,2017,Chelsea,38,93.0,74.63757645277741,2.4473684210526314,1.9641467487573003,0.4832216722953311
51,France,2015,Lyon,38,75.0,56.6826920664642,1.9736842105263157,1.491649791222742,0.4820344193035737
52,Spain,2014,Ath Madrid,38,90.0,71.70202281191114,2.3684210526315788,1.8868953371555561,0.48152571547602263
53,Spain,2006,Celta,38,64.0,45.79932343568194,1.6842105263157894,1.2052453535705774,0.478965172745212
54,England,2012,Newcastle,38,65.0,46.93985161001504,1.7105263157894737,1.2352592528951327,0.47526706289434095
55,Spain,2019,Sevilla,17,32.0,23.955010208089828,1.8823529411764706,1.4091182475346957,0.47323469364177484
56,Germany,2015,Wolfsburg,34,69.0,53.05415920790823,2.0294117647058822,1.5604164472914184,0.4689953174144639
57,Italy,2018,Napoli,38,91.0,73.34579593079393,2.3947368421052633,1.930152524494577,0.4645843176106863
58,Spain,2015,Sevilla,38,76.0,58.4189709817297,2.0,1.537341341624466,0.4626586583755341
59,Italy,2010,Palermo,38,65.0,47.62177526246037,1.7105263157894737,1.2532046121700098,0.4573217036194639
60,England,2014,Everton,38,72.0,54.86148599545952,1.894736842105263,1.4437233156699874,0.4510135264352757
61,Germany,2014,Augsburg,34,52.0,36.81191598180802,1.5294117647058822,1.0827034112296476,0.4467083534762346
62,Italy,2014,Verona,38,54.0,37.13352837737095,1.4210526315789473,0.9771981151939724,0.443854516384975
63,France,2008,Nancy,38,60.0,43.19134693725853,1.5789473684210527,1.1366143930857509,0.4423329753353018
64,Italy,2012,Juventus,38,84.0,67.23509612476242,2.210526315789474,1.769344634862169,0.4411816809273048
65,Italy,2017,Napoli,38,86.0,69.35454943331106,2.263157894736842,1.8251197219292385,0.4380381728076035
66,England,2016,West Ham,38,62.0,45.43862425983353,1.631578947368421,1.1957532699956193,0.43582567737280176
67,France,2009,Toulouse,38,64.0,47.463621791118655,1.6842105263157894,1.2490426787136488,0.43516784760214056
68,France,2006,Lille,38,62.0,45.53205593791519,1.631578947368421,1.1982119983661892,0.4333669490022318
69,England,2008,Arsenal,38,83.0,66.69982559980019,2.1842105263157894,1.7552585684157946,0.42895195789999474
70,Spain,2014,Ath Bilbao,38,70.0,53.80321623346241,1.8421052631578947,1.4158741114069056,0.42623115175098913
71,England,2008,Aston Villa,38,60.0,43.812618316972944,1.5789473684210527,1.1529636399203407,0.425983728500712
72,Spain,2018,Getafe,38,55.0,38.89580506092864,1.4473684210526316,1.0235738173928588,0.42379460365977284
73,Spain,2017,Sociedad,38,64.0,48.204879140935134,1.6842105263157894,1.2685494510772404,0.415661075238549
74,France,2010,Lille,38,70.0,54.26326243678738,1.8421052631578947,1.427980590441773,0.41412467271612163
75,France,2006,Bordeaux,38,69.0,53.32316155726922,1.8157894736842106,1.403241093612348,0.41254838007186256
76,Spain,2009,Malaga,38,55.0,39.32919719075558,1.4473684210526316,1.0349788734409362,0.41238954761169544
77,Spain,2017,Alaves,38,55.0,39.37075599372732,1.4473684210526316,1.036072526150719,0.41129589490191254
78,Germany,2013,Leverkusen,34,65.0,51.02854503249239,1.911764705882353,1.500839559779188,0.4109251461031651
79,Germany,2007,Schalke 04,34,68.0,54.05589280412134,2.0,1.5898792001212159,0.41012079987878414
80,England,2008,Everton,38,65.0,49.48238967990339,1.7105263157894737,1.302168149471142,0.4083581663183318
81,France,2016,Nice,38,63.0,47.50695791946917,1.6578947368421053,1.2501831031439257,0.40771163369817964
82,England,2018,Burnley,38,54.0,38.590276472386094,1.4210526315789473,1.0155335913785815,0.4055190402003659
83,France,2008,Bordeaux,38,75.0,59.66404823676625,1.9736842105263157,1.5701065325464802,0.40357767797983546
84,England,2006,West Ham,38,55.0,39.67338331538078,1.4473684210526316,1.0440364030363363,0.40333201801629537
85,Germany,2014,Mainz,34,53.0,39.385826154542876,1.5588235294117647,1.1584066516042022,0.4004168778075625
86,France,2014,St Etienne,38,69.0,53.8030543307886,1.8157894736842106,1.4158698508102263,0.3999196228739843
87,Italy,2015,Genoa,38,59.0,43.96467555132497,1.5526315789473684,1.1569651460874992,0.39566643285986913
88,France,2011,Lille,38,76.0,61.035991506624946,2.0,1.6062103028059196,0.3937896971940804
89,France,2011,Sochaux,38,58.0,43.23977257606799,1.5263157894736843,1.1378887520017893,0.388427037471895
90,England,2006,Chelsea,38,91.0,76.2725498236938,2.3947368421052633,2.007172363781416,0.38756447832384744
91,England,2015,Southampton,38,60.0,45.35187657046198,1.5789473684210527,1.193470436064789,0.3854769323562637
92,Germany,2018,Stuttgart,34,51.0,37.92702768368966,1.5,1.1155008142261664,0.3844991857738336
93,Spain,2014,Villarreal,38,59.0,44.43562009894503,1.5526315789473684,1.1693584236564483,0.3832731552909201
94,England,2016,Tottenham,38,70.0,55.49511565889041,1.8421052631578947,1.4603977804971162,0.3817074826607785
95,Italy,2010,Bari,38,50.0,35.497690318305736,1.3157894736842106,0.934149745218572,0.38163972846563865
96,France,2014,Lille,38,71.0,56.49956618859909,1.868421052631579,1.4868306891736602,0.38159036345791875
97,Germany,2005,Schalke 04,34,63.0,50.08220208811768,1.8529411764705883,1.473005943768167,0.37993523270242124
98,France,2018,Marseille,38,77.0,62.618744284632214,2.026315789473684,1.6478616917008477,0.37845409777283634
99,England,2016,Southampton,38,63.0,48.62611719529373,1.6578947368421053,1.2796346630340456,0.3782600738080597
100,France,2010,Lorient,38,58.0,43.64407656313254,1.5263157894736843,1.148528330608751,0.37778745886493326
101,England,2012,Norwich,38,47.0,32.73332296014245,1.236842105263158,0.8614032357932224,0.37543886946993554
102,Italy,2011,Udinese,38,66.0,51.74962016418246,1.736842105263158,1.361832109583749,0.37500999567940907
103,Germany,2009,Stuttgart,34,64.0,51.3406576976147,1.8823529411764706,1.5100193440474912,0.3723335971289794
104,Italy,2011,Napoli,38,70.0,55.853069204575455,1.8421052631578947,1.4698176106467224,0.37228765251117224
105,Spain,2018,Betis,38,60.0,45.913949902802585,1.5789473684210527,1.2082618395474365,0.37068552887361617
106,England,2019,Wolves,20,29.0,21.605553279508385,1.45,1.0802776639754192,0.3697223360245807
107,Italy,2005,Sampdoria,38,61.0,46.95304361352993,1.605263157894737,1.2356064108823666,0.3696567470123704
108,France,2019,Montpellier,17,30.0,23.74437150472592,1.7647058823529411,1.3967277355721128,0.3679781467808283
109,England,2009,Liverpool,38,86.0,72.04919916625857,2.263157894736842,1.8960315570068047,0.36712633773003733
110,Italy,2008,Roma,38,82.0,68.08223563039905,2.1578947368421053,1.7916377797473435,0.3662569570947618
111,Germany,2017,Freiburg,34,48.0,35.56171140897937,1.411764705882353,1.0459326884993931,0.3658320173829599
112,Italy,2015,Sampdoria,38,56.0,42.09960372450297,1.4736842105263157,1.1078843085395518,0.36579990198676393
113,Spain,2008,Mallorca,38,59.0,45.120664751606625,1.5526315789473684,1.1873859145159638,0.3652456644314046
114,Italy,2013,Fiorentina,38,70.0,56.1260260188664,1.8421052631578947,1.4770006847070105,0.3651045784508842
115,Italy,2016,Napoli,38,82.0,68.14685440559843,2.1578947368421053,1.7933382738315378,0.36455646301056754
116,Germany,2013,Freiburg,34,51.0,38.64842154395188,1.5,1.1367182807044671,0.3632817192955329
117,Italy,2014,Torino,38,57.0,43.215912127877665,1.5,1.137260845470465,0.3627391545295351
118,Spain,2008,Santander,38,60.0,46.26760917061239,1.5789473684210527,1.2175686623845365,0.3613787060365161
119,Italy,2011,Lazio,38,66.0,52.34301541189015,1.736842105263158,1.3774477739971092,0.3593943312660488
120,Germany,2019,RB Leipzig,17,31.0,24.914187615867277,1.8235294117647058,1.4655404479921927,0.3579889637725131
121,Italy,2010,Sampdoria,38,67.0,53.45652591718371,1.763157894736842,1.4067506820311504,0.35640721270569165
122,England,2014,Arsenal,38,79.0,65.46871708661358,2.0789473684210527,1.7228609759635152,0.3560863924575375
123,England,2010,Tottenham,38,70.0,56.536962305868464,1.8421052631578947,1.4878147975228544,0.3542904656350403
124,England,2017,Liverpool,38,76.0,62.552601915499295,2.0,1.6461211030394551,0.35387889696054486
125,England,2006,Wigan,38,51.0,37.65008614397235,1.3421052631578947,0.9907917406308514,0.3513135225270433
126,Spain,2012,Levante,38,55.0,41.65494866801749,1.4473684210526316,1.0961828596846708,0.35118556136796086
127,Spain,2005,Barcelona,38,84.0,70.65584736823095,2.210526315789474,1.8593644044271302,0.35116191136234365
128,Spain,2010,Real Madrid,38,96.0,82.7243423980425,2.526315789473684,2.1769563788958552,0.3493594105778288
129,Italy,2014,Napoli,38,78.0,64.84687838805027,2.0526315789473686,1.7064967996855334,0.3461347792618352
130,England,2012,Swansea,38,47.0,33.895671200046884,1.236842105263158,0.8919913473696548,0.34485075789350317
131,Italy,2019,Sampdoria,19,29.0,22.459942054137585,1.5263157894736843,1.1821022133756625,0.34421357609802183
132,Germany,2013,Ein Frankfurt,34,51.0,39.33409584362151,1.5,1.156885171871221,0.343114828128779
133,Spain,2005,Espanol,38,61.0,48.01272153783104,1.605263157894737,1.2634926720481854,0.34177048584655156
134,Italy,2010,Parma,38,52.0,39.05229373697918,1.368421052631579,1.0276919404468206,0.34072911218475843
135,Germany,2009,Dortmund,34,59.0,47.44537550949843,1.7352941176470589,1.395452220867601,0.33984189677945786
136,Germany,2018,Schalke 04,34,63.0,51.45532001282701,1.8529411764705883,1.5133917650831474,0.3395494113874409
137,Spain,2007,Sevilla,38,71.0,58.107453470858836,1.868421052631579,1.529143512391022,0.339277540240557
138,Italy,2017,Lazio,38,70.0,57.11219488619567,1.8421052631578947,1.502952497005149,0.3391527661527456
139,England,2006,Tottenham,38,65.0,52.1225742000804,1.7105263157894737,1.3716466894758,0.33887962631367374
140,Spain,2008,Almeria,38,52.0,39.140306397472315,1.368421052631579,1.0300080630913768,0.33841298954020216
141,Italy,2012,Udinese,38,64.0,51.16031781188623,1.6842105263157894,1.3463241529443746,0.3378863733714148
142,Spain,2018,Girona,38,51.0,38.16569625276421,1.3421052631578947,1.0043604277043212,0.3377448354535735
143,Italy,2008,Fiorentina,38,66.0,53.18377742528332,1.736842105263158,1.3995730901390346,0.33726901512412333
144,Spain,2012,Real Madrid,38,100.0,87.21445861981334,2.6315789473684212,2.295117332100351,0.33646161526807017
145,Germany,2016,Dortmund,34,78.0,66.56347054329024,2.2941176470588234,1.9577491336261834,0.33636851343263996
146,France,2019,Paris SG,17,47.0,41.2942839660526,2.764705882352941,2.429075527414859,0.33563035493808213
147,Italy,2013,Napoli,38,78.0,65.24909496816751,2.0526315789473686,1.717081446530724,0.33555013241664455
148,Spain,2013,Betis,38,56.0,43.42348668982322,1.4736842105263157,1.1427233339427163,0.3309608765835994
149,Germany,2013,Bayern Munich,34,91.0,79.76419323209365,2.676470588235294,2.346005683296872,0.33046490493842207
150,England,2009,Fulham,38,53.0,40.45600464290657,1.394736842105263,1.0646317011291202,0.33010514097614285
151,Germany,2010,Schalke 04,34,65.0,53.910060837236195,1.911764705882353,1.585590024624594,0.32617468125775906
152,Spain,2012,Osasuna,38,54.0,41.60791854383278,1.4210526315789473,1.0949452248377047,0.3261074067412426
153,England,2013,Everton,38,63.0,50.6413842252905,1.6578947368421053,1.3326680059286975,0.3252267309134078
154,Germany,2016,Mainz,34,50.0,38.96346086096286,1.4705882352941178,1.145984142969496,0.32460409232462184
155,Italy,2018,Lazio,38,72.0,59.677400877196675,1.894736842105263,1.5704579178209652,0.32427892428429783
156,Germany,2019,Ein Frankfurt,17,27.0,21.49321782792385,1.588235294117647,1.2643069310543442,0.32392836306330275
157,Spain,2019,Valladolid,17,21.0,15.499910320788915,1.2352941176470589,0.911759430634642,0.32353468701241683
158,Italy,2013,Udinese,38,66.0,53.72944798876866,1.736842105263158,1.4139328418097017,0.3229092634534563
159,Italy,2007,Lazio,38,65.0,52.73396281712482,1.7105263157894737,1.387735863608548,0.3227904521809257
160,Germany,2011,Leverkusen,34,68.0,57.05516024963507,2.0,1.6780929485186786,0.32190705148132137
161,Spain,2017,Sevilla,38,72.0,59.83864611330854,1.894736842105263,1.5747012135081195,0.3200356285971435
162,France,2009,Marseille,38,77.0,64.85440959999184,2.026315789473684,1.7066949894734695,0.31962080000021453
163,England,2006,Liverpool,38,82.0,69.86714226020722,2.1578947368421053,1.8386090068475582,0.3192857299945471
164,England,2005,Bolton,38,58.0,45.89157474785588,1.5263157894736843,1.2076730196804177,0.31864276979326656
165,Spain,2013,Vallecano,38,53.0,40.90063286438801,1.394736842105263,1.0763324437996844,0.31840439830557865
166,France,2015,Bordeaux,38,63.0,50.909997258925415,1.6578947368421053,1.3397367699717215,0.3181579668703838
167,Italy,2018,Atalanta,38,60.0,47.91178580776895,1.5789473684210527,1.2608364686254987,0.31811089979555396
168,Germany,2010,Mainz,34,47.0,36.19881154006637,1.3823529411764706,1.064670927649011,0.3176820135274596
169,Italy,2008,Sampdoria,38,60.0,47.99410733451084,1.5789473684210527,1.2630028245923905,0.3159445438286621
170,France,2013,St Etienne,38,63.0,51.03409893820191,1.6578947368421053,1.3430026036368923,0.31489213320521303
171,Italy,2006,Chievo,38,54.0,42.04366617864452,1.4210526315789473,1.1064122678590664,0.3146403637198809
172,Germany,2012,Schalke 04,34,64.0,53.33307921391254,1.8823529411764706,1.5686199768797806,0.31373296429668995
173,Spain,2006,Barcelona,38,82.0,70.08858805649227,2.1578947368421053,1.8444365278024282,0.31345820903967714
174,Spain,2017,Eibar,38,54.0,42.12232796096887,1.4210526315789473,1.1084823147623386,0.31257031681660874
175,England,2014,Crystal Palace,38,45.0,33.16432948752343,1.1842105263157894,0.872745512829564,0.31146501348622535
176,Spain,2007,Recreativo,38,54.0,42.20133388219352,1.4210526315789473,1.1105614179524612,0.31049121362648613
177,France,2009,Bordeaux,38,80.0,68.20721916556687,2.1052631578947367,1.7949268201464965,0.3103363377482402
178,Spain,2005,Villarreal,38,65.0,53.25256828788579,1.7105263157894737,1.4013833759969945,0.3091429397924792
179,Spain,2010,Barcelona,38,99.0,87.29006489547639,2.6052631578947367,2.2971069709335894,0.3081561869611473
180,England,2014,Southampton,38,56.0,44.29971677898174,1.4736842105263157,1.1657820204995195,0.3079021900267962
181,Germany,2011,Kaiserslautern,34,46.0,35.577872820604256,1.3529411764705883,1.0464080241354192,0.3065331523351691
182,Germany,2011,Nurnberg,34,47.0,36.634784283297876,1.3823529411764706,1.077493655391114,0.3048592857853565
183,Italy,2009,Cagliari,38,53.0,41.42746371837641,1.394736842105263,1.0901964136414843,0.3045404284637787
184,France,2015,St Etienne,38,69.0,57.4319297663578,1.8157894736842106,1.5113665727988894,0.3044229008853212
185,England,2010,Birmingham,38,50.0,38.44659638246514,1.3157894736842106,1.0117525363806614,0.3040369373035492
186,Germany,2015,Augsburg,34,49.0,38.67689543487352,1.4411764705882353,1.1375557480845153,0.30362072250371996
187,Spain,2014,Sevilla,38,63.0,51.561390871266795,1.6578947368421053,1.3568787071386,0.3010160297035054
188,England,2017,Bournemouth,38,46.0,34.62835251731836,1.2105263157894737,0.9112724346662727,0.29925388112320095
189,Germany,2009,Hamburg,34,61.0,50.846426365933034,1.7941176470588236,1.4954831284097951,0.29863451864902846
190,England,2007,Man United,38,89.0,77.66682214252997,2.3421052631578947,2.0438637405928937,0.298241522565001
191,Germany,2019,Wolfsburg,17,28.0,22.939744788879253,1.6470588235294117,1.349396752287015,0.29766207124239674
192,Spain,2008,Real Madrid,38,85.0,73.74864411727708,2.236842105263158,1.9407537925599232,0.29608831270323477
193,Spain,2013,Ath Madrid,38,76.0,64.75036476970982,2.0,1.7039569676239426,0.29604303237605745
194,Italy,2015,Palermo,38,49.0,37.84792491092473,1.2894736842105263,0.9959980239717035,0.2934756602388229
195,Italy,2019,Juventus,19,53.0,47.44519347175657,2.789473684210526,2.4971154458819247,0.2923582383286014
196,Italy,2007,Reggina,38,51.0,39.94249591544694,1.3421052631578947,1.0511183135643931,0.2909869495935016
197,France,2006,Le Mans,38,52.0,40.95031784441218,1.368421052631579,1.077639943274005,0.29078110935757406
198,England,2009,Stoke,38,45.0,33.982593175315216,1.1842105263157894,0.8942787677714531,0.2899317585443363
199,France,2015,Marseille,38,69.0,58.016220071501664,1.8157894736842106,1.52674263346057,0.2890468402236406
200,France,2016,Caen,38,54.0,43.017660201830395,1.4210526315789473,1.1320436895218524,0.28900894205709493
201,Germany,2008,Wolfsburg,34,54.0,44.257006408797366,1.588235294117647,1.3016766590822755,0.2865586350353715
202,Italy,2013,Juventus,38,87.0,76.1307373284661,2.289473684210526,2.0034404560122656,0.2860332281982605
203,Spain,2005,Sevilla,38,60.0,49.31744444150169,1.5789473684210527,1.297827485302676,0.28111988311837655
204,Spain,2016,Celta,38,60.0,49.378380645877094,1.5789473684210527,1.2994310696283446,0.279516298792708
205,Germany,2005,Bayern Munich,34,77.0,67.51276192618135,2.264705882352941,1.9856694684170986,0.27903641393584255
206,France,2019,Nimes,18,23.0,17.99830646078275,1.2777777777777777,0.9999059144879305,0.27787186328984714
207,Spain,2006,Sevilla,38,68.0,57.46318507882867,1.7894736842105263,1.5121890810218073,0.27728460318871906
208,England,2011,West Brom,38,47.0,36.47538338694691,1.236842105263158,0.9598785101828134,0.2769635950803445
209,Italy,2019,Parma,19,25.0,19.754055765116615,1.3157894736842106,1.0396871455324534,0.27610232815175717
210,Germany,2008,Schalke 04,34,64.0,54.61399210640701,1.8823529411764706,1.6062938854825592,0.2760590556939113
211,France,2009,Lille,38,64.0,53.52461168070262,1.6842105263157894,1.408542412650069,0.2756681136657204
212,Spain,2017,Villarreal,38,67.0,56.56893768657207,1.763157894736842,1.4886562549097913,0.2745016398270508
213,Italy,2018,Sampdoria,38,54.0,43.5949184476951,1.4210526315789473,1.1472346959919764,0.273817935586971
214,Italy,2013,Catania,38,56.0,45.599810214654454,1.4736842105263157,1.1999950056488013,0.27368920487751436
215,France,2016,Angers,38,50.0,39.6267284942953,1.3157894736842106,1.0428086445867184,0.2729808290974922
216,Germany,2014,Leverkusen,34,61.0,51.74592334552201,1.7941176470588236,1.521938921927118,0.2721787251317056
217,England,2007,Portsmouth,38,54.0,43.68311633385056,1.4210526315789473,1.1495556929960675,0.2714969385828798
218,Germany,2014,Bayern Munich,34,90.0,80.78067909556353,2.6470588235294117,2.375902326340104,0.2711564971893079
219,Germany,2014,M'gladbach,34,55.0,45.81871187271257,1.6176470588235294,1.3476091727268402,0.2700378860966892
220,France,2008,Lorient,38,52.0,41.754231987669996,1.368421052631579,1.0987955786228947,0.2696254740086843
221,France,2007,Toulouse,38,56.0,45.7595079783856,1.4736842105263157,1.2041975783785683,0.2694866321477474
222,France,2007,Sochaux,38,57.0,46.81774451462621,1.5,1.2320459082796371,0.2679540917203629
223,Italy,2012,Atalanta,38,52.0,41.856181396821164,1.368421052631579,1.1014784578110832,0.26694259482049576
224,Spain,2011,Valencia,38,71.0,60.868322339892345,1.868421052631579,1.6017979563129565,0.26662309631862247
225,England,2019,Tottenham,20,45.0,39.686967000088515,2.25,1.9843483500044257,0.26565164999557433
226,Germany,2016,Hertha,34,50.0,40.97748574821054,1.4705882352941178,1.205220169065016,0.2653680662291018
227,Spain,2019,Getafe,17,25.0,20.499242185209418,1.4705882352941178,1.205837775600554,0.2647504596935637
228,England,2012,Man City,38,89.0,78.94091108977881,2.3421052631578947,2.0773923970994423,0.26471286605845235
229,Italy,2005,Palermo,38,53.0,42.958449086813026,1.394736842105263,1.1304855022845532,0.2642513398207098
230,Spain,2016,Villarreal,38,64.0,54.025652063548705,1.6842105263157894,1.4217276858828607,0.2624828404329287
231,Italy,2019,Napoli,19,44.0,39.02240569690853,2.3157894736842106,2.0538108261530805,0.2619786475311301
232,Germany,2018,Hoffenheim,34,55.0,46.116623410900104,1.6176470588235294,1.3563712767911795,0.2612757820323499
233,England,2018,Liverpool,38,75.0,65.08080868115165,1.9736842105263157,1.7126528600303066,0.2610313504960091
234,Spain,2008,Ath Bilbao,38,50.0,40.14378559072536,1.3157894736842106,1.0564154102822463,0.25937406340196434
235,England,2006,Bolton,38,56.0,46.15267858810378,1.4736842105263157,1.2145441733711522,0.25914003715516354
236,England,2015,Swansea,38,56.0,46.24664227823578,1.4736842105263157,1.2170169020588364,0.2566673084674793
237,France,2014,Monaco,38,80.0,70.2604528815402,2.1052631578947367,1.8489592863563211,0.2563038715384156
238,Spain,2010,Getafe,38,58.0,48.26939791586808,1.5263157894736843,1.270247313575476,0.25606847589820836
239,Italy,2007,Inter,38,97.0,87.27845027017761,2.5526315789473686,2.296801322899411,0.2558302560479575
240,France,2009,Rennes,38,61.0,51.416388523483064,1.605263157894737,1.3530628558811333,0.25220030201360366
241,Italy,2016,Roma,38,80.0,70.44561740931323,2.1052631578947367,1.8538320370871901,0.2514311208075466
242,Italy,2014,Parma,38,58.0,48.47062647586326,1.5263157894736843,1.2755428019964017,0.2507729874772826
243,France,2013,Marseille,38,71.0,61.476346717125935,1.868421052631579,1.6177985978191036,0.25062245481247536
244,Italy,2016,Juventus,38,91.0,81.4795130841377,2.3947368421052633,2.1441977127404654,0.25053912936479783
245,Spain,2018,Barcelona,38,93.0,83.54167640849099,2.4473684210526314,2.1984651686445,0.2489032524081316
246,Italy,2010,Roma,38,80.0,70.54332627887243,2.1052631578947367,1.8564033231282218,0.24885983476651496
247,Italy,2009,Palermo,38,57.0,47.55502613754416,1.5,1.251448056251162,0.24855194374883793
248,Italy,2013,Roma,38,62.0,52.605521139217984,1.631578947368421,1.384355819453105,0.2472231279153161
249,France,2018,Rennes,38,58.0,48.63242353494556,1.5263157894736843,1.2798006193406726,0.24651517013301172
250,France,2019,Reims,19,26.0,21.32840923311362,1.368421052631579,1.1225478543744012,0.2458731982571778
251,France,2019,St Etienne,18,30.0,25.576754726724197,1.6666666666666667,1.4209308181513443,0.24573584851532249
252,Italy,2005,Messina,38,48.0,38.67453967173654,1.263157894736842,1.0177510439930668,0.24540685074377522
253,England,2015,Stoke,38,54.0,44.707796335069816,1.4210526315789473,1.1765209561860477,0.24453167539289966
254,Germany,2010,Leverkusen,34,59.0,50.70633169818153,1.7352941176470589,1.491362697005339,0.2439314206417198
255,Germany,2015,Leverkusen,34,61.0,52.71521859820844,1.7941176470588236,1.55044760582966,0.2436700412291637
