,manager,predicted_points_per_season_added,previous_club_names,previous_club_ids,previous_club_countries,current_club_name,current_club_id,currently_employed
38,Brendan Rodgers,1.12195737720476,"['Swansea', 'Liverpool']","[2288, 31]","['England', 'England']",,,0
39,Christian Streich,1.11378287227168,['Freiburg'],[60],['Germany'],Freiburg,60.0,1
40,Felix Magath,1.10756426963819,"['Bayern Munich', 'Wolfsburg', 'Schalke', 'Wolfsburg', 'Fulham']","[27, 82, 33, 82, 931]","['Germany', 'Germany', 'Germany', 'Germany', 'England']",,,0
41,Javier Aguirre,1.08115981612304,"['Osasuna', 'Atlético Madrid', 'Zaragoza', 'Espanyol']","[331, 13, 142, 714]","['Spain', 'Spain', 'Spain', 'Spain']",,,0
42,Massimiliano Allegri,1.00628821555022,"['Cagliari', 'AC Milan', 'Juventus']","[1390, 5, 506]","['Italy', 'Italy', 'Italy']",Juventus,506.0,1
43,Walter Mazzarri,1.0013891724978,"['Reggina', 'Sampdoria', 'Napoli', 'Inter Milan', 'Watford', 'Torino']","[1386, 1038, 6195, 46, 1010, 416]","['Italy', 'Italy', 'Italy', 'Italy', 'England', 'Italy']",Torino,416.0,1
44,Eusebio Di Francesco,0.990143226987162,"['Lecce', 'Sassuolo', 'Sassuolo', 'Roma']","[1005, 6574, 6574, 12]","['Italy', 'Italy', 'Italy', 'Italy']",Roma,12.0,1
45,Philippe Montanier,0.9684301467610641,"['Valenciennes', 'Real Sociedad', 'Rennes']","[1423, 681, 273]","['France', 'Spain', 'France']",,,0
46,Pablo Correa,0.9265982452029179,"['Nancy', 'Évian Thonon Gaillard', 'Nancy']","[1159, 14171, 1159]","['France', 'France', 'France']",,,0
47,Jupp Heynckes,0.904016390125239,"['Schalke', 'Borussia Mönchengladbach', 'Bayer Leverkusen', 'Bayern Munich', 'Bayern Munich']","[33, 18, 15, 27, 27]","['Germany', 'Germany', 'Germany', 'Germany', 'Germany']",,,0
48,Abelardo,0.8959254562157459,"['Sporting Gijón', 'Alavés']","[2448, 1108]","['Spain', 'Spain']",Alavés,1108.0,1
49,Hubert Fournier,0.891034570174513,"['Reims', 'Lyon']","[1421, 1041]","['France', 'France']",,,0
50,Luigi Cagni,0.857669926472965,"['Empoli', 'Empoli']","[749, 749]","['Italy', 'Italy']",,,0
51,Christian Gourcuff,0.8575915836953392,"['Lorient', 'Rennes']","[1158, 273]","['France', 'France']",,,0
