TM_manager_name,CurrentTeam,PrevCareerMatches,PrevCareerAdjPtsAboveExpectation,ProjPointsAboveAverage
Chris Hughton,Brighton,145,6.47627604928831,0.405940480745327
Franco Colomba,,80,5.67858513313569,0.398686576151326
Ernesto Valverde,Barcelona,365,8.58120470200067,0.394660966942972
Adi Hütter,Ein Frankfurt,17,4.92357486313124,0.391215191254968
Patrick Gabriel,,19,4.936215364384,0.390586152483736
Nigel Pearson,,38,5.12226085242742,0.389882269807525
Gianluca Festa,,7,4.77195120545113,0.38726521676237
Julien Stéphan,Rennes,3,4.53280495747291,0.371026953705999
Roberto D'Aversa,Parma,19,4.59412430135672,0.363517634956934
Huub Stevens,,135,5.66295763496918,0.360914032863709
Massimo Carrera,,7,4.41489117099124,0.358288195479267
Bernard Blaquart,Nimes,18,4.38417991798145,0.347629302190485
Willy Sagnol,,68,4.69085722042259,0.336806806885366
Steve Clarke,,54,4.5089912220546,0.332545490314699
Michel Der Zakarian,Montpellier,186,5.56403511276475,0.326667731721349
Ghislain Printant,,48,4.35638184682163,0.32507580515268
Maurizio Pellegrino,,6,3.98925447000314,0.324438756259332
Massimo Silva,,38,4.2432081184179,0.322972933268422
Imanol Alguacil,,9,3.99308286590982,0.32267830986688
Paulo Sousa,,76,4.53949923330704,0.321085687657845
Néstor Gorosito,,20,4.04971729783806,0.3197746757294
David Guion,Reims,19,4.01977083335971,0.318070972955663
Maurizio D'Angelo,,3,3.69447749190039,0.302406730979087
Javier Clemente,,64,4.08726158076291,0.295703135468927
Marco Giampaolo,Sampdoria,251,5.50879070539764,0.293908270552912
Maik Walpurgis,,24,3.69733041210977,0.289542798730614
Martín Lasarte,,38,3.63570178426907,0.276732424379041
Javi Gracia,Watford,145,4.31976574951406,0.270767918433254
Jacques Santini,,50,3.62537593905243,0.269469395385963
Delio Rossi,,304,5.11517991114681,0.254006753158585
José Luis Mendilibar,Eibar,339,5.29973572133686,0.251661070579085
Sami Hyypiä,,29,3.1160594855886,0.241533914863789
Ivo Pulga,,38,3.06886731226564,0.233587665274257
Niko Kovac,Bayern Munich,94,3.25522089760462,0.22278253081088
Christian Titz,,8,2.61182536527705,0.211509619038033
Eduardo Berizzo,,145,3.20527439382264,0.20091030994456
Ian Holloway,,46,2.65840470057293,0.199153897284881
Juan Ignacio Martínez,,128,2.9339162111836,0.189206924207823
David Moyes,,479,4.68086595501627,0.189177633761164
Giovanni Galeone,,27,2.36491064473834,0.1840613035695
Leonardo,,23,2.29125322944214,0.179801587974492
Thomas Doll,,122,2.68407425853886,0.174875409460152
Ernst Middendorp,,25,2.23065220109515,0.174326047144907
José Ramón Sandoval,,67,2.37080749503076,0.170547873839053
Pietro Carmignani,,23,2.15660246146768,0.16923513395156
Igor Tudor,,4,1.97050486321784,0.160946469911717
Petrik Sander,,40,2.02085975453159,0.153204539016124
Garry Monk,,67,2.04328365068746,0.146986916063518
Massimo Rastelli,,46,1.7993434992337,0.134797486007069
Jens Keller,,67,1.87328993852345,0.134758143277728
Walter Zenga,,93,1.94195820406993,0.133144558672589
Manolo Jiménez,,157,2.03806189222159,0.125268507905553
Pepe Murcia,,20,1.58203115096803,0.12492069472718
Mario Luna,,15,1.50437522450713,0.120035955729145
Juan Esnáider,,6,1.40442132618634,0.114219013040704
Eric Bedouet,Bordeaux,13,1.41388316142729,0.11329125333443
Frank Schaefer,,22,1.39154090874598,0.10942440437534
Craig Shakespeare,,21,1.30706016915735,0.102994357601595
Luis Enrique,,189,1.75118508821085,0.102338748405792
Domenico Tedesco,Schalke 04,51,1.37707609025906,0.102156423453878
Giuseppe Papadopulo,,53,1.01540428543417,0.0750333569089522
Ulrich Ramé,,8,0.894241552544055,0.0724170507803109
Viktor Skripnik,,62,0.982369027553308,0.0713435974965707
Ander Garitano,,1,0.833578225466962,0.0685266989782793
Juanjo González,,12,0.852267849156408,0.0684345940599878
Matthias Sammer,,34,0.787844772550948,0.0604513622892194
Fabio Capello,,114,0.76245549344996,0.0503670958132923
Malky Mackay,,18,0.596587005416315,0.0473044282553694
Giuseppe Pillon,,48,0.601076362714121,0.0448526757841706
Antonio Álvarez,,15,0.485345642615329,0.0387263277945794
Guillermo Barros Schelotto,,2,0.464472764810084,0.0381008952975478
Óscar García,,12,0.434489147788425,0.0348881968055023
Fabrizio Castori,,33,0.451552661565951,0.034717757072302
Paul Sturrock,,2,0.405093141165283,0.0332299599172496
Hristo Stoichkov,,9,0.287554360496993,0.0232370722461528
René Marsiglia,,25,0.194285777421172,0.0151834838159351
Ricardo Gomes,,152,0.224227521023091,0.0138944084287615
Slaven Bilic,,87,0.129556498692675,0.00897986628287049
Voro,,23,0.106904108973182,0.00838908956346835
Juande Ramos,,160,0.11062025934402,0.00676638814733422
Carlos Carvalhal,,18,-0.150395633577358,-0.0119251331220605
Nevio Orlandi,,45,-0.163676266263961,-0.0122859984048456
Hugo Sánchez,,37,-0.183293203582065,-0.0139794129834602
Olivier Pantaloni,,38,-0.199722630794936,-0.0152019420466176
Roberto Donadoni,,326,-0.397431608709397,-0.0191839179867873
Patrick Vieira,Nice,18,-0.244074649452069,-0.0193531063183363
Marco Silva,Everton,62,-0.494040779760453,-0.0358792322941076
Martin Schmidt,,100,-0.711560696111883,-0.0481775568508375
Kurt Jara,,27,-0.650627592122459,-0.0506384302556155
Élie Baup,,241,-0.971159018444127,-0.0525516861031182
Francisco Chaparro Jara,,53,-0.746110038938424,-0.055133843384442
Andrea Manzo,,1,-0.676741704539057,-0.0556335010394698
Gennaro Gattuso,Milan,43,-0.761354763657906,-0.0573760925434095
Devis Mangia,,15,-0.776005991748313,-0.061918475758978
Martin Jol,,235,-1.32345078552988,-0.0722321732125957
Ivan Hasek,,38,-0.97219762277506,-0.0739990849332465
Santiago Solari,Real Madrid,4,-0.957997494857895,-0.0782471121283405
Constantin Galca,,23,-1.05743776440971,-0.0829803475154747
Manolo Márquez,,6,-1.08797927963986,-0.0884833612336594
Miguel Ángel Portugal,,88,-1.35483470899542,-0.0937358119596694
Hans Meyer,,101,-1.43443210891205,-0.0969481886614894
Renzo Gobbo,,3,-1.20545068101105,-0.0986706240869675
Gustavo Poyet,,89,-1.47985359636708,-0.102199315684834
Ronald Koeman,,145,-1.68891067397115,-0.105862876398406
Dirk Schuster,,48,-1.45355447248087,-0.108465099499884
Giovanni Tedesco,,3,-1.34299573715299,-0.109929198778899
Juan Carlos Unzué,,38,-1.60957939936264,-0.122513571201971
Iñaki Tejada,,2,-1.50587978575841,-0.123527949095863
Michael Wiesinger,,25,-1.59071302065545,-0.124314634480739
Giovanni Bosi,,1,-1.51581489683941,-0.12461192959343
Alex Dupont,,89,-1.82901020551056,-0.126312218886138
Roy Keane,,53,-1.75943828943579,-0.130013791574716
Pierre Dréossi,,56,-1.77874227553303,-0.130677909283459
Bernd Schuster,,200,-2.3097269142216,-0.132734335988802
Luigi Simoni,,11,-1.67447066754453,-0.134739770792602
Yves Bertucci,,21,-1.72678235973131,-0.136067829205559
Alan Curbishley,,138,-2.18224631050203,-0.138383575233641
Cosmin Contra,,28,-1.80484418028884,-0.140184137949102
Antonio Mohamed,,12,-1.75533745571932,-0.140948419372321
Xavier Gravelaine,,19,-1.78576883207998,-0.141301893426308
José Pasqualetti,,44,-1.92316675310123,-0.144643996855584
Jocelyn Gourvennec,Guingamp,178,-2.44395099193675,-0.145281478424528
Josep María Nogués,,9,-1.90033387048536,-0.153564687261076
Llompart,,1,-1.89677739366208,-0.155930048930288
Jürgen Kohler,,11,-1.97214029931562,-0.158692377866676
Jordi Roura,,9,-2.03229607421521,-0.164228463169507
Manuel Zambrano,,22,-2.09218956740955,-0.164520206208239
Renzo Ulivieri,,16,-2.06893929130684,-0.164737309006611
Frédéric Hantz,,255,-3.18301451749051,-0.16887367419059
Mauricio Pellegrino,Leganes,99,-2.53045990603435,-0.171635366021883
Pacheta,,15,-2.16712512424116,-0.172917588135736
Ottmar Hitzfeld,,49,-2.34247003259673,-0.174453932274853
Mario Somma,,20,-2.26288988768062,-0.178682813348653
Alexander Nouri,,38,-2.38910294619194,-0.181847216746827
Jean-Luc Vasseur,,31,-2.38638587622232,-0.184223446283693
Markus Weinzierl,Stuttgart,180,-3.23011906024803,-0.191416614868469
Alan Pardew,,321,-3.99493540277603,-0.194067043027692
Sergije Kresic,,23,-2.50007628899629,-0.196188566607434
Davide Ballardini,,220,-3.51934431695942,-0.196310457718911
José Anigo,,21,-2.51057979793955,-0.197829877765326
Lorenzo D'Anna,,11,-2.46524154512062,-0.198370796918794
Christophe Pélissier,Amiens,56,-2.78202394547366,-0.204385468188231
Giuseppe Iachini,Empoli,154,-3.31730000101923,-0.204890495200366
Stéphane Moulin,Angers,131,-3.24298586954518,-0.208079296184529
José Ángel Moreno,,6,-2.56688270980616,-0.20875986731236
Gian Piero Ventura,,225,-3.79386096052485,-0.210081211009221
Jörg Berger,,21,-2.68834330169876,-0.211837372069503
Rui Almeida,,12,-2.67329462794497,-0.214657672288405
Bojan Prasnikar,,61,-2.97311005834037,-0.216332679447152
Neil Adams,,5,-2.66611508188633,-0.217295312978041
Sergi Barjuán,,9,-2.6924170594327,-0.217572390899167
Giovanni Stroppa,,13,-2.75450224010541,-0.220712021762122
Bruno Bolchi,,5,-2.7213907182815,-0.2218004211004
Roberto Mancini,,350,-4.77037735948993,-0.223452635581415
Máximo Hernández,,28,-2.89420705936078,-0.224796093808922
Horst Köppel,,39,-3.05822482280354,-0.23231228004773
Andreas Bergmann,,16,-2.92289735400467,-0.232732901648907
Patrick Remy,,35,-3.05383680746598,-0.233848835443144
Hannes Wolf,,20,-2.99046000645949,-0.236133366484082
Glenn Roeder,,52,-3.191773052178,-0.236315790887354
Angelo Castellazzi,,55,-3.24976117433226,-0.239210942735195
Leo Franco,,8,-2.95674198818786,-0.239441495526265
Frank Kramer,,9,-2.96757263496522,-0.239807525767337
Claude Robin,,7,-2.95748406270902,-0.240013080039025
Nigel Adkins,,30,-3.13919420033418,-0.242831817362598
Fabio Liverani,,6,-3.04502311823494,-0.247646150600234
Vanderlei Luxemburgo,,36,-3.2405402612855,-0.24764668739618
Éric Roy,,62,-3.43849449479568,-0.249717326534468
Jürgen Kramny,,17,-3.18944511834967,-0.253425491976546
Torsten Frings,,18,-3.20011913277626,-0.253743049296577
Falko Götz,,96,-3.7620754727991,-0.256546823705206
Stefano Colantuono,,228,-4.73245940062087,-0.260914527755369
Kasper Hjulmand,,21,-3.31493947590556,-0.26121219961065
Ewald Lienen,,46,-3.48767311000922,-0.261278387058345
Jesualdo Ferreira,,9,-3.23674672175485,-0.26155930059945
Jean-Guy Wallemme,,66,-3.68425402776165,-0.265535452632978
Otto Rehhagel,,12,-3.35650974559772,-0.26951783072157
Fabri,,19,-3.48485730280081,-0.275745060816583
Domingos Paciência,,6,-3.4026826602078,-0.276733945784647
Bernard Casoni,,45,-3.7021113961396,-0.277890837479024
Julio Velázquez,,12,-3.5048446853017,-0.281428688785267
Kevin Keegan,,48,-3.79409042425958,-0.283117284676987
Hervé Renard,,42,-3.7858970530851,-0.285874116228852
Alain Casanova,Toulouse,275,-5.6027438022532,-0.28917670529056
Hanspeter Latour,,17,-3.72555181819056,-0.296023216382414
Serge Romano,,11,-3.68268634821338,-0.296335029377946
Tony Mowbray,,38,-3.91566876941056,-0.298042187154283
Patrice Garande,,152,-4.81449103334862,-0.298333159501267
Daniele Arrigoni,,91,-4.36933660072628,-0.300655424837654
Diego Bortoluzzi,,19,-3.81062739178304,-0.301522154451502
Guy Roux,,42,-4.01687004298404,-0.303314949519943
Aurelio Andreazzoli,,11,-3.79317162271331,-0.30522545717141
Eugenio Corini,,72,-4.32044519507461,-0.307883988870682
Miguel Cardoso,Celta,13,-3.88148888752251,-0.311014907644264
Javier Calleja,,47,-4.1735411327881,-0.312044884792682
Luis Zubeldía,,4,-3.82516276294382,-0.312430816602099
Miguel Ángel Lotina,,270,-6.08925428766474,-0.316436163062678
Markus Babbel,,81,-4.63238429408308,-0.324634289694578
Rudi Völler,,4,-4.01971808580258,-0.328321664171751
Juanma Lillo,,35,-4.32203902498536,-0.330961952603916
Gernot Rohr,,34,-4.33016295915456,-0.332253584633999
Gérard Houllier,,110,-5.02019580199554,-0.333951593977311
Patrice Carteron,,38,-4.45603011784705,-0.339171937300614
Sandro Schwarz,Mainz,51,-4.58873490095558,-0.340408746455992
Frank Pagelsdorf,,34,-4.45674225465821,-0.341966019262498
Roberto Olabe,,8,-4.23776806491587,-0.343180949575785
Roberto Rizzo,,17,-4.33204498582904,-0.344213677006714
Luis García,,141,-5.45720270302065,-0.344335716333035
Serse Cosmi,,94,-5.06327237257152,-0.346522914674192
Loris Dominissini,,6,-4.28135125870955,-0.348194452855738
José Mari Amorrortu,,59,-4.77946719179442,-0.349105757086028
Les Reed,,7,-4.33334426282415,-0.351670298583851
Arsène Wenger,,532,-9.22637798749483,-0.352987574473814
Cristiano Bergodi,,14,-4.45391298277475,-0.356131006478583
Claude Makélélé,,12,-4.50768375110219,-0.361953707350128
Esteban Vigo,,29,-4.68225212444576,-0.362933599704069
Joe Kinnear,,20,-4.62913820720213,-0.365527038123102
Juan Antonio Pizzi,,21,-4.65891195358934,-0.367115191102238
Marco Kurz,,70,-5.13847849896343,-0.367557332368628
Pascal Baills,,3,-4.51001201012354,-0.369161266146009
Laurent Banide,,47,-5.00247232579622,-0.374021927882343
Aurelio Gay,,35,-4.89989353583154,-0.375211404338398
Frank Rijkaard,,152,-6.05913615749691,-0.375458427732734
Harry Redknapp,,333,-7.85950573178549,-0.376032645602543
Michael Skibbe,,159,-6.16025453121077,-0.377416192055609
José Mari Bakero,,16,-4.74387602215262,-0.377726583585148
Bernd Hollerbach,,7,-4.70039982741717,-0.381458501913251
Anquela,,21,-4.86882752550271,-0.3836562195797
Manolo Preciado †,,168,-6.35673574897694,-0.383883553473607
Paul Clement,,36,-5.04347546016803,-0.385429554940653
Enrique Martín,,11,-4.79877734347753,-0.386143616533492
Chris Hutchings,,12,-4.82073716094837,-0.387090972639583
Sir Bobby Robson,,4,-4.74237115986776,-0.387346365613852
Albert Ferrer,,8,-4.82379233261766,-0.390638092483002
Thierry Laurey,Strasbourg,95,-5.72809340816169,-0.39131752029946
Fabien Mercadal,Caen,19,-4.99928912061495,-0.395576967095817
Heiko Herrlich,,73,-5.56884397706974,-0.396104682821807
Klaus Toppmöller,,8,-4.90067725586499,-0.396864351344718
Yvon Pouliquen,,19,-5.04061537413616,-0.398846974817903
Phil Brown,,67,-5.54629695280704,-0.398981846887146
Arnaud Cormier,,23,-5.08480422230154,-0.399020004406852
Rafael Benítez,Newcastle,431,-9.37048134425156,-0.399082284356536
Francisco,,10,-4.98908128099266,-0.402308730130402
Alan Shearer,,8,-4.98050093803795,-0.403328595406007
Roberto Stellone,,38,-5.33947783929459,-0.406415799496937
Pablo Franco,,14,-5.11153880852975,-0.408714195265206
Bob Bradley,,11,-5.15634088378586,-0.41491571173871
Jean Fernandez,,301,-8.32840915442073,-0.415195199957583
Paco Flores,,26,-5.34000650070826,-0.416466391977627
Manolo Villanova,,12,-5.19783505882964,-0.417370821384228
Benito Floro,,8,-5.16206122011035,-0.418031625173656
Olivier Dall'Oglio,,94,-6.14594590144717,-0.420619498713191
Brian McDermott,,29,-5.44776629096005,-0.422270603499091
Cristóbal Parralo,,13,-5.28155218351029,-0.423198806482036
Eric Hély,,57,-5.83477129254131,-0.427832886688136
Ole Gunnar Solskjaer,,18,-5.42520696188934,-0.430174159291547
Ezio Rossi,,11,-5.3729714725734,-0.432347343385445
Edmund Becker,,68,-6.0871518807223,-0.437061733417592
Wolfgang Wolf,,66,-6.06620339534136,-0.437209826523365
Paolo Di Canio,,12,-5.45160232856876,-0.437747584519782
André Schubert,,38,-5.80001812772843,-0.441469948078087
Joe Zinnbauer,,23,-5.65914667637569,-0.444090398179452
Mariano García Remón,,13,-5.59255505491513,-0.44811876171829
Mané,,32,-5.82432186227864,-0.448712550847569
Roberto Di Matteo,,64,-6.23657541135629,-0.451200606392862
Alex Neil,,38,-6.06278370848112,-0.461470421307131
Sergio Buso,,13,-5.76163332978555,-0.461666620688727
Aidy Boothroyd,,38,-6.08371665733768,-0.463063738369477
Juan Carlos Mandiá,,10,-5.7735799438708,-0.465569006537185
Michel Estevan,,5,-5.71835395837931,-0.466060719414298
Rolland Courbis,,148,-7.4761498640056,-0.466306206993071
Luis Fernandez,,22,-6.04303024497489,-0.475196223856937
Julien Sablé,,6,-5.87016670502296,-0.477409901808316
José Francisco Molina,,11,-5.93995642110127,-0.477970968503661
Víctor Espárrago,,38,-6.29513335313832,-0.479155777336001
Onésimo,,10,-5.98605473596967,-0.482702514487773
Olivier Guégan,,42,-6.40613300525844,-0.483728845672225
Mike Phelan,,20,-6.16047773414132,-0.486445009587434
Tintín Márquez,,13,-6.07359197827362,-0.48666316017651
Jürgen Röber,,8,-6.03262534809427,-0.488531241842524
José Antonio Camacho,,96,-7.18318892335384,-0.489842459484133
Andries Jonker,,16,-6.15218233496771,-0.489861624572087
Chuchi Cos,,18,-6.20737508096093,-0.492193638992483
Jacky Duguépéroux,,67,-6.86803469839456,-0.494063190587661
Roberto Martínez,,265,-9.4870838974463,-0.496403121323712
Giuseppe Sannino,,68,-6.93514833456941,-0.497948467856426
Pepe Mel,,152,-8.03686921162147,-0.498009980243714
Alan Irvine,,19,-6.3093570454173,-0.499238244505409
Gertjan Verbeek,,22,-6.35986095282201,-0.500110339766926
Stefan Ruthenbeck,,17,-6.33585324236774,-0.503431369864444
Gonzalo Arconada,,24,-6.44001537481687,-0.504326058981742
Gerardo Martino,,38,-6.64568922449333,-0.505838432272146
Luiz Felipe Scolari,,25,-6.47456859820855,-0.505989212545151
Asier Garitano,,93,-7.38517590926769,-0.506342507834671
Paul Lambert,,154,-8.27246261644949,-0.510942321011089
Michael Laudrup,,143,-8.12590624092593,-0.511027093658809
Georges Eo,,18,-6.44720062917839,-0.51120982663395
Krasimir Balakov,,8,-6.3360783118817,-0.513105327698311
Laurent Roussey,,51,-6.93102394874405,-0.5141681149541
Leonardo Semplici,Spal,57,-7.09720520415725,-0.52040048147117
Billy Davies,,14,-6.54870905725382,-0.523629077782806
Clarence Seedorf,,35,-6.84418503225454,-0.524096341833733
Erick Mombaerts,,76,-7.42713942092552,-0.525332871696789
Marco Pezzaiuoli,,17,-6.66867591488856,-0.529876643695706
Owen Coyle,,114,-8.04407529956389,-0.531384080543795
Christoph Daum,,41,-7.1053888146674,-0.537598109917464
Félix Sarriugarte,,12,-6.74979020373185,-0.541988241184609
Giancarlo Camolese,,37,-7.11016649061933,-0.542278446833002
Valérien Ismaël,,12,-6.7572295442097,-0.542585598278603
Aitor Karanka,,27,-6.97504854333786,-0.542868936804739
Robin Dutt,,139,-8.63951531716444,-0.546947980354346
Giovanni Trapattoni,,20,-6.99848259945362,-0.552615735679341
Nedo Sonetti,,60,-7.65502959354071,-0.558072226204128
Fran Escribá,,152,-9.02731230986291,-0.559383449787613
Fred Rutten,,25,-7.17054097021753,-0.560379633640301
Daniel Sanchez,,85,-8.06301428129444,-0.56091274420488
Ricky Sbragia,,19,-7.09400061616128,-0.561324456460271
Emiliano Mondonico,,13,-7.02831575794979,-0.563163012878986
Stefano Pioli,Fiorentina,298,-11.270425489811,-0.564083286536958
Petar Vasiljevic,,22,-7.18806912505373,-0.565236837576405
Landry Chauvin,,30,-7.36573314764974,-0.569774997119104
Mark Hughes,,467,-13.9374048305659,-0.570563422536635
Daniel Jeandupeux,,17,-7.22607281624295,-0.574166035332904
Marcel Koller,,108,-8.60609478478292,-0.574502843444282
Antonio López Habas,,13,-7.24909795757432,-0.58085379015944
Michael Köllner,Nurnberg,17,-7.32428948458507,-0.58197009107655
Uwe Rapolder,,49,-7.87491897861499,-0.586479469554761
Alexander Zorniger,,13,-7.33273985275944,-0.587555825656648
Thierry Henry,Monaco,9,-7.32867419101704,-0.592225175618435
Philippe Hinschberger,,48,-7.94815141922833,-0.593095787497633
Nigel Worthington,,38,-7.83521043807176,-0.596379161082234
Carlos Bianchi,,18,-7.5316919557611,-0.597201042812221
Marcelo Romero,,10,-7.41355904859098,-0.597813376572602
Domenico Caso,,16,-7.52274089116083,-0.598991036600715
Steve Wigley,,14,-7.50181195236252,-0.59983835592215
Peter Bosz,,15,-7.55576470584998,-0.602883790530642
Víctor Sánchez,,71,-8.45910662709933,-0.603946276951735
Didier Ollé-Nicolle,,27,-7.8108484195932,-0.607919350057797
Manuel Baum,Augsburg,69,-8.5573080130323,-0.613261906144118
Brian Laws,,18,-7.78224717615488,-0.617068004947702
René Meulensteen,,13,-7.75883458840389,-0.621697831132993
Gianluca Atzori,,15,-7.81366428068708,-0.623461915883547
Massimo Ficcadenti,,75,-8.8422531121408,-0.626592327464998
Thorsten Fink,,64,-8.6836109843105,-0.628237499488287
Paul Ince,,17,-7.93360369000076,-0.630384704448442
Zinédine Zidane,,96,-9.26785681727868,-0.632002001612808
Peter Stöger,,135,-9.93931502208824,-0.63345666694966
Slavisa Jokanovic,,12,-7.91152509710961,-0.635272125954315
Tim Sherwood,,44,-8.50080818301083,-0.639357388073884
Fabrizio Ravanelli,,12,-8.07307995431525,-0.648244504394062
Marcus Sorg,,17,-8.18782773831128,-0.650584724240192
Paul Jewell,,100,-9.60972779151635,-0.650644715941501
Jagoba Arrasate,,48,-8.72456199477459,-0.651032006554945
Juri Schlünz,,13,-8.14024508954638,-0.652259390169968
Paulo Duarte,,15,-8.19143071889867,-0.653604366194093
Loïc Amisse,,19,-8.29588475652504,-0.656425514145684
Vahid Halilhodzic,Nantes,34,-8.58368896588044,-0.658626812708664
Vladimir Petkovic,,55,-8.94858441826342,-0.658694347063244
Gennaro Ruotolo,,14,-8.26259156164832,-0.660669631479434
Moreno Longo,,16,-8.31881342091107,-0.662377549136954
Jean-Louis Garcia,,38,-8.71102043607333,-0.663041675893278
Luis César Sampedro,,12,-8.28909928894429,-0.66559021969833
Mohamed Bradja,,14,-8.32541249230999,-0.665692738430779
Andrea Mandorlini,,122,-10.4234547810811,-0.679119035932793
Carlo Mazzone,,53,-9.2409590464126,-0.682861189633454
Markus Kauczinski,,10,-8.48857611871037,-0.684500429356434
Jean-Marc Nobilo,,18,-8.72310002919916,-0.691669875054872
Ariel Jacobs,,29,-8.97349618871249,-0.69555914272465
Attilio Tesser,,42,-9.21493916483434,-0.695822562766984
Rubi,Espanol,66,-9.67241930899612,-0.697120833665926
Pasquale Marino,,189,-11.9476108108986,-0.698214908896971
César Ferrando,,38,-9.19113999137516,-0.699586105666187
