TM_manager_name,CurrentTeam,PrevCareerMatches,PrevCareerAdjPtsAboveExpectation,ProjPointsAboveAverage
Lucien Favre,Dortmund,321,77.4448818498484,3.76213823327036
Rudi Garcia,Marseille,407,77.6744437971058,3.39954318789094
Diego Simeone,Ath Madrid,285,64.1688761384412,3.26759242957988
Maurizio Sarri,Chelsea,172,50.7053342461478,3.04275505365797
Marcelino,Valencia,296,56.8542788213802,2.85306459430475
Jürgen Klopp,Liverpool,466,69.4654528173644,2.84681340611214
Thomas Tuchel,Paris SG,255,52.5196185863442,2.78640920706728
Ralph Hasenhüttl,Southampton,107,40.1708187269121,2.68633608172177
Luciano Spalletti,Inter,306,52.993839363293,2.62467881148286
René Girard,,243,47.3340600994007,2.55408263702906
Gian Piero Gasperini,Atalanta,352,53.5355509794732,2.50152963012101
Mauricio Pochettino,Tottenham,372,50.9646100675561,2.32423875053809
Antonio Conte,,187,39.6385572143677,2.3236126894735
Ralf Rangnick,,159,33.3162410769896,2.04116384756146
Sir Alex Ferguson,,342,42.7889273657709,2.0242687004297
Julian Nagelsmann,,99,28.4287942640573,1.92826074716161
Christophe Galtier,Lille,325,38.6825358895003,1.86957054657451
Pep Guardiola,Man City,350,39.4548139396526,1.84813097514205
Francesco Guidolin,,331,33.5631696450925,1.60986059022926
Bruno Génésio,Lyon,113,23.9381881184371,1.58408806058735
Manuel Pellegrini,West Ham,467,38.6312524072384,1.58146942406462
Nuno Espírito Santo,Wolves,71,21.6508798525555,1.54578596252593
Sam Allardyce,,398,34.4675036319385,1.52432485010146
Simone Inzaghi,Lazio,95,21.5861647563148,1.47466946910833
Leonardo Jardim,,161,24.0127649141568,1.46644538191874
Unai Emery,Arsenal,419,33.6611286746425,1.45314781701813
Martin O'Neill,,207,24.9608864411066,1.41941476672126
Eddie Howe,Bournemouth,134,22.1154435793227,1.41183878117689
Pablo Machín,Sevilla,55,18.9924463631477,1.39801073237626
Pepe Bordalás,Getafe,55,18.7181055778637,1.37781684293084
Cesare Prandelli,Genoa,203,22.3348871725595,1.27773417271743
Tony Pulis,,322,26.126924885983,1.26758031807808
Sascha Lewandowski,,40,16.4981414151116,1.25074990704186
Antonio Tapia,,79,17.1522694574996,1.2064691111123
Paco López,Levante,28,15.0214925298651,1.16673505890742
Claude Puel,Leicester,505,29.6474821519317,1.16596401309208
Gregorio Manzano,,250,21.3038920208885,1.13821596151051
Mirko Slomka,,230,20.5994340240142,1.13242192690306
Brendan Rodgers,,160,18.3423139992676,1.12195737720476
Christian Streich,Freiburg,204,19.4983164761988,1.11378287227168
Felix Magath,,277,21.517140452881,1.10756426963819
Javier Aguirre,,279,21.0610726156285,1.08115981612304
Massimiliano Allegri,Juventus,358,21.6945885756866,1.00628821555022
Walter Mazzarri,Torino,460,24.2769093623482,1.0013891724978
Eusebio Di Francesco,Roma,217,17.6725659312095,0.990143226987162
Philippe Montanier,,249,18.1005402620209,0.968430146761064
Pablo Correa,,289,18.2940435069811,0.926598245202918
Jupp Heynckes,,186,15.3978445029345,0.904016390125239
Abelardo,Alaves,98,13.1852592716373,0.895925456215746
Hubert Fournier,,133,13.9339702505268,0.891034570174513
Luigi Cagni,,76,12.1257101244681,0.857669926472965
Christian Gourcuff,,354,18.3985619974899,0.857591583695339
José Mourinho,,495,21.2295232646581,0.843637088791394
Sérgio Conceição,,22,10.6045308194695,0.833891739227485
Jorge Sampaoli,,38,10.8577140196381,0.826437838457872
Siniša Mihajlovi?,,245,15.3127001326395,0.823912983987984
Dieter Hecking,M'gladbach,401,18.3364461779419,0.808107603033943
Fernando Vázquez,,82,11.4521429136567,0.801080913051275
Quique Setién,Betis,123,11.8272791542438,0.76926342109208
Eric Gerets,,101,11.2339574764886,0.759263420052558
Laurent Blanc,,228,12.777629721972,0.704468637238371
Claudio Ranieri,Fulham,347,14.7426010251323,0.693131872571112
Steve Coppell,,76,9.24046457588183,0.653592118896234
Roy Hodgson,Crystal Palace,220,11.6024685448446,0.647190415479306
Francis Gillot,,284,12.5843824143143,0.641678843140033
Edoardo Reja,,228,11.2771544897101,0.621742985839673
Jean-Louis Gasset,St Etienne,53,8.09046257573943,0.597845188081325
Eusebio,Girona,111,8.87794974874118,0.589543627253451
Tito Vilanova,,25,7.44534578054127,0.581855700728045
Pál Dárdai,Hertha,134,8.46793892272825,0.540588956530039
Sabri Lamouchi,,41,7.11153945311092,0.538063471024121
Sergio,Valladolid,70,7.25655675053875,0.519064279815052
Florian Kohfeldt,Werder Bremen,40,6.79936050856488,0.515470155701417
Eric Sikora,,54,6.96193578270032,0.513454170652074
Sean Dyche,Burnley,134,7.81105945369972,0.498654102019571
Tayfun Korkut,,67,6.91712253672739,0.497594403677111
Christian Gross,,26,5.73484932351197,0.447260130859689
Nando Yosu,,20,5.65369940387461,0.446428666640671
Guus Hiddink,,13,5.47655245892789,0.438823736607322
Juan Carlos Oliva,,5,5.32944400668368,0.434363546907331
Frédéric Antonetti,,341,9.06543595540496,0.429404377743123
Roger Schmidt,,91,6.18402826736715,0.425524928801385
Sven-Göran Eriksson,,38,5.42646787211965,0.413037069366939
Joaquín Caparrós,,385,9.11931918725724,0.40949728961543
