,TM_manager_name,tenure1_overperformance,tenure1_above_expectation,tenure2_overperformance,tenure2_above_expectation,tenure3_overperformance,tenure3_above_expectation,tenure4_overperformance,tenure4_above_expectation,tenure5_overperformance,tenure5_above_expectation
27,Giovanni Trapattoni,0,-0.31561781768180297,,,,,,,,
28,Armin Veh,1,0.099662021747146,0.0,-0.4180091044786314,0.0,-0.2099176627639745,1.0,0.06980887739671604,0.0,-0.3281266188100864
29,Arsène Wenger,1,0.016963496524909694,,,,,,,,
30,Wolfgang Wolf,0,-0.027314422789447623,0.0,-0.12251608374372869,,,,,,
31,Huub Stevens,1,0.2249580078509661,1.0,0.13608038533693745,0.0,-0.04492598410069637,,,,
32,Eric Gerets,0,-0.13808072910396074,1.0,0.2894573105582374,,,,,,
33,Hans Meyer,1,0.07273374801665611,0.0,-0.1317125257224101,,,,,,
34,Dieter Hecking,1,0.06336377210534594,1.0,0.1333749944693816,1.0,0.0167152074801471,1.0,0.14018556599441667,,
35,Ernst Middendorp,1,0.12353240033468316,,,,,,,,
36,Marcus Sorg,0,-0.44733061349213865,,,,,,,,
37,Thomas Doll,1,0.14984964482261853,0.0,-0.11555064146420868,,,,,,
38,Ronald Koeman,0,-1.0552879249819713,1.0,0.3818685030821618,0.0,-0.053620580349677205,,,,
39,Sam Allardyce,1,0.2930512414978621,0.0,-0.22489185439691806,1.0,0.14052785031689918,1.0,0.08990733075934698,1.0,0.07240596523484699
40,David O'Leary,0,-0.10388992054873936,,,,,,,,
41,Steve Bruce,0,-0.2244422621931237,1.0,0.14187010719272242,0.0,-0.015466919349012898,0.0,-0.0342194302991885,,
42,Harry Redknapp,0,-0.18942517990097085,1.0,0.18230073842143413,1.0,0.08129421295660189,0.0,-0.45436964144293845,,
43,Graeme Souness,0,-0.27834985108471244,,,,,,,,
44,David Moyes,1,0.18925207841477776,0.0,-0.38076281279271895,0.0,-0.2475976785156444,0.0,-0.4883848238987898,0.0,-0.09990187217801072
45,Chris Coleman,0,-0.08280709150057342,,,,,,,,
46,Kevin Keegan,1,0.009891462650642335,0.0,-0.12811788690347914,,,,,,
47,Claudio Ranieri,0,-0.2601989285115518,1.0,0.3638905249070199,0.0,-0.08209657363279987,1.0,0.0993957534235157,0.0,-0.5658331257667608
48,Steve McClaren,0,-0.09095009496756745,0.0,-0.5201554053604058,0.0,-0.3557396370363136,,,,
49,Gérard Houllier,1,0.09700412522630097,0.0,-0.24348030977061752,,,,,,
50,Martin Jol,1,0.07991237283500241,1.0,0.29863451864902846,0.0,-0.13893513245798772,,,,
51,Bert van Marwijk,0,-0.09099418129584569,0.0,-0.47697128876146344,,,,,,
52,Giuseppe Papadopulo,0,-0.20299281072144382,1.0,0.462316969924895,0.0,-0.0065060564050583025,,,,
53,Walter Novellino,1,0.03235827615977804,0.0,-0.3362882328563106,,,,,,
54,Delio Rossi,1,0.031086992140854086,1.0,0.06113686444561761,1.0,0.3299390452148381,0.0,-0.2975571069774958,0.0,-0.012587276521611512
55,Luciano Spalletti,1,0.5350876100913411,1.0,0.03152114613775536,1.0,0.5166364106899533,1.0,0.15536333028577243,,
56,Fabio Capello,1,0.09983327338678194,0.0,-0.0766829916522509,,,,,,
57,Franco Colomba,1,0.07567153481568822,1.0,0.18714580589005436,1.0,0.1699808782266634,,,,
58,Serse Cosmi,0,-0.08470458907333556,0.0,-0.006652896265968655,1.0,0.16378059861747607,0.0,-0.12159447321814643,,
59,Cesare Prandelli,1,0.18606932078158644,,,,,,,,
60,Alberto Malesani,0,-0.13470284119764986,0.0,-0.23263229773911576,1.0,0.0357092777121053,1.0,0.1555376647415112,1.0,0.021391425292566657
61,Carlo Ancelotti,0,-0.26475964276263797,0.0,-0.09378769856363212,1.0,0.014238348700989611,1.0,0.028608218786582817,0.0,-0.06085712750823635
62,Roberto Mancini,1,0.033746688904889854,1.0,0.029249158694258703,0.0,-0.027427736577886108,,,,
63,Héctor Cúper,0,-0.20973250138096522,,,,,,,,
64,Silvio Baldini,0,-0.45338426101243234,0.0,-0.4421822166322058,0.0,-0.12861577964578197,,,,
65,Luigi Delneri,0,-0.39073616712242565,1.0,0.042522764906987254,0.0,-0.06919116310209716,1.0,0.07586909797621577,1.0,0.35640721270569165
66,Giovanni De Biasi,0,-0.25134350429082797,0.0,-0.33163549038009765,0.0,-0.2468161327768167,,,,
67,Francesco Guidolin,1,0.2642513398207098,0.0,-0.2839561996055935,1.0,0.0022067330096571247,0.0,-0.3472453231279846,1.0,0.34072911218475843
68,Marcel Koller,0,-0.04537975053118637,,,,,,,,
69,Christian Gross,1,0.2548774401182612,,,,,,,,
70,Lucien Favre,1,0.12246113870955821,1.0,0.31278010975108916,1.0,0.22533767059387166,1.0,0.84068252558544,,
71,Hanspeter Latour,0,-0.18484379466150713,,,,,,,,
72,Michael Laudrup,0,-0.06251324213726717,0.0,-0.05500681322841294,1.0,0.02452729978560475,,,,
73,Bernd Schuster,0,-0.31231924143777334,1.0,0.16652393097489626,1.0,0.12912678372533692,0.0,-0.11052688828872315,,
74,Holger Fach,0,-0.34577150883604113,,,,,,,,
75,Frank Rijkaard,0,-0.005556425587391001,,,,,,,,
76,Petrik Sander,1,0.0848278061541673,,,,,,,,
77,Andreas Bergmann,0,-0.14837477233441487,,,,,,,,
78,Bruno Labbadia,0,-0.014970540090622375,0.0,-0.07401670605950628,1.0,0.032140950005270286,0.0,-0.07373294322235613,0.0,-0.08271591225200026
79,Mick McCarthy,0,-0.6226172324717878,0.0,-0.0037644943855105195,,,,,,
80,Gary Megson,0,-0.07825051878790279,,,,,,,,
81,Paul Hart,0,-0.32676141715150453,,,,,,,,
82,Nigel Worthington,0,-0.17188343607943235,,,,,,,,
83,Paul Jewell,1,0.1321616873622331,0.0,-0.6759743667482632,,,,,,
84,Tony Pulis,1,0.09452922784505713,1.0,0.5803367643580609,1.0,0.03890800263938754,,,,
85,Gregorio Manzano,0,-0.32623983262812495,1.0,0.297589951015129,0.0,-0.166702555124153,0.0,-0.5287553849773508,1.0,0.001033483757645115
86,Alberto Zaccheroni,0,-0.4088614421067981,0.0,-0.7666471291530683,,,,,,
87,Miguel Ángel Lotina,1,0.052456986715556875,0.0,-0.01906568901374217,1.0,0.029000913490388358,,,,
88,Víctor Fernández,0,-0.0069281433470320675,0.0,-0.22738746771703144,,,,,,
89,Alex McLeish,1,0.007849244407239997,0.0,-0.21859600329916828,,,,,,
90,Steve Coppell,1,0.1558913724998492,,,,,,,,
91,Michael Skibbe,1,0.029242395218489037,1.0,0.022925387214370208,,,,,,
92,Jos Luhukay,0,-0.6713693805922464,1.0,0.07185255638677757,0.0,-0.06678868207213129,,,,
93,Mirko Slomka,1,0.2607480838753091,1.0,0.12263974653195375,0.0,-0.5415986598154425,,,,
