FIFA_player_name,FIFA_player_rating,PosGroup,PointsAboveAverage
Cristiano Ronaldo,94,attack,9.24411078306347
Lionel Messi,94,attack,9.24411078306347
Neymar,92,attack,7.47219691648464
Eden Hazard,91,attack,6.65687772286021
Kevin De Bruyne,91,attack,6.65687772286021
Luis Suárez,91,attack,6.65687772286021
Luka Modrić,91,attack,6.65687772286021
Sergio Ramos,91,defence,6.23372340766947
Robert Lewandowski,90,attack,5.88802117947039
Toni Kroos,90,attack,5.88802117947039
Diego Godín,90,defence,5.5530509681701
N'Golo Kanté,89,attack,5.16497130718305
David Silva,89,attack,5.16497130718305
Sergio Agüero,89,attack,5.16497130718305
Harry Kane,89,attack,5.16497130718305
Paulo Dybala,89,attack,5.16497130718305
Edinson Cavani,89,attack,5.16497130718305
Antoine Griezmann,89,attack,5.16497130718305
Isco,89,attack,5.16497130718305
Mats Hummels,89,defence,4.91095534668131
Giorgio Chiellini,89,defence,4.91095534668131
Mohamed Salah,88,attack,4.48694818723161
Paul Pogba,88,attack,4.48694818723161
Christian Eriksen,88,attack,4.48694818723161
James RodríguezL,88,attack,4.48694818723161
Gonzalo HiguaínL,88,attack,4.48694818723161
Lorenzo Insigne,88,attack,4.48694818723161
Sergio Busquets,88,attack,4.48694818723161
Coutinho,88,attack,4.48694818723161
Casemiro,88,attack,4.48694818723161
Gareth Bale,88,attack,4.48694818723161
Thiago Silva,88,defence,4.30706142625264
Marcelo,88,defence,4.30706142625264
Pierre-Emerick Aubameyang,87,attack,3.85306558026273
Romelu Lukaku,87,attack,3.85306558026273
Alexis Sánchez,87,attack,3.85306558026273
Mauro Icardi,87,attack,3.85306558026273
Ciro Immobile,87,attack,3.85306558026273
Marek Hamšík,87,attack,3.85306558026273
Dries Mertens,87,attack,3.85306558026273
Kylian Mbappé,87,attack,3.85306558026273
Ivan Rakitić,87,attack,3.85306558026273
Jan Vertonghen,87,defence,3.74087847490638
Kalidou Koulibaly,87,defence,3.74087847490638
Piqué,87,defence,3.74087847490638
Samuel Umtiti,87,defence,3.74087847490638
Jordi Alba,87,defence,3.74087847490638
Mesut Özil,86,attack,3.26234680124712
Sadio Mané,86,attack,3.26234680124712
Roberto Firmino,86,attack,3.26234680124712
Fernandinho,86,attack,3.26234680124712
Leroy Sané,86,attack,3.26234680124712
Nemanja Matić,86,attack,3.26234680124712
Thomas Müller,86,attack,3.26234680124712
Thiago,86,attack,3.26234680124712
Ivan Perišić,86,attack,3.26234680124712
Miralem Pjanić,86,attack,3.26234680124712
Douglas Costa,86,attack,3.26234680124712
Marco Verratti,86,attack,3.26234680124712
Parejo,86,attack,3.26234680124712
Azpilicueta,86,defence,3.21181286750654
Nicolás Otamendi,86,defence,3.21181286750654
Jérôme Boateng,86,defence,3.21181286750654
Naldo,86,defence,3.21181286750654
Leonardo Bonucci,86,defence,3.21181286750654
Alex Sandro,86,defence,3.21181286750654
Medhi Benatia,86,defence,3.21181286750654
Raphaël Varane,86,defence,3.21181286750654
Virgil van Dijk,85,defence,2.71917982819452
Vincent Kompany,85,defence,2.71917982819452
Toby Alderweireld,85,defence,2.71917982819452
Joshua Kimmich,85,defence,2.71917982819452
David Alaba,85,defence,2.71917982819452
Miranda,85,defence,2.71917982819452
Milan Škriniar,85,defence,2.71917982819452
Kostas Manolas,85,defence,2.71917982819452
Filipe Luís,85,defence,2.71917982819452
Fabinho,85,attack,2.7137387612157
Raheem Sterling,85,attack,2.7137387612157
Riyad Mahrez,85,attack,2.7137387612157
Franck Ribéry,85,attack,2.7137387612157
Arjen Robben,85,attack,2.7137387612157
Marco Reus,85,attack,2.7137387612157
Radja Nainggolan,85,attack,2.7137387612157
Blaise Matuidi,85,attack,2.7137387612157
Sami Khedira,85,attack,2.7137387612157
Sergej Milinković-Savić,85,attack,2.7137387612157
Edin Džeko,85,attack,2.7137387612157
Nabil Fekir,85,attack,2.7137387612157
Falcao,85,attack,2.7137387612157
Diego Costa,85,attack,2.7137387612157
Koke,85,attack,2.7137387612157
Saúl,85,attack,2.7137387612157
Arturo Vidal,85,attack,2.7137387612157
Marco Asensio,85,attack,2.7137387612157
Iago Aspas,85,attack,2.7137387612157
Sokratis,84,defence,2.26221405573109
Kyle Walker,84,defence,2.26221405573109
Davinson Sánchez,84,defence,2.26221405573109
Niklas Süle,84,defence,2.26221405573109
Stefan de Vrij,84,defence,2.26221405573109
Andrea Barzagli,84,defence,2.26221405573109
Raúl Albiol,84,defence,2.26221405573109
Marquinhos,84,defence,2.26221405573109
José María Giménez,84,defence,2.26221405573109
Sergi Roberto,84,defence,2.26221405573109
Carvajal,84,defence,2.26221405573109
Alexandre Lacazette,84,attack,2.20612413337177
Henrikh Mkhitaryan,84,attack,2.20612413337177
Willian,84,attack,2.20612413337177
Jorginho,84,attack,2.20612413337177
Cesc Fàbregas,84,attack,2.20612413337177
Heung Min Son,84,attack,2.20612413337177
Dele Alli,84,attack,2.20612413337177
Moussa Dembélé,84,attack,2.20612413337177
Alejandro Gómez,84,attack,2.20612413337177
Mario Mandžukić,84,attack,2.20612413337177
José Callejón,84,attack,2.20612413337177
Ángel Di María,84,attack,2.20612413337177
Florian Thauvin,84,attack,2.20612413337177
Dimitri Payet,84,attack,2.20612413337177
Karim Benzema,84,attack,2.20612413337177
William Carvalho,84,attack,2.20612413337177
Illarramendi,84,attack,2.20612413337177
Rodrigo,84,attack,2.20612413337177
David Luiz,83,defence,1.84007912931124
Aymeric Laporte,83,defence,1.84007912931124
Jonathan Tah,83,defence,1.84007912931124
Lucas Leiva,83,defence,1.84007912931124
Kamil Glik,83,defence,1.84007912931124
Presnel Kimpembe,83,defence,1.84007912931124
Luiz Gustavo,83,defence,1.84007912931124
Stefan Savić,83,defence,1.84007912931124
Nacho Fernández,83,defence,1.84007912931124
Mateo KovačićL,83,attack,1.73833163732308
Morata,83,attack,1.73833163732308
Naby Keïta,83,attack,1.73833163732308
Anthony Martial,83,attack,1.73833163732308
Juan Mata,83,attack,1.73833163732308
Leon Goretzka,83,attack,1.73833163732308
Shinji Kagawa,83,attack,1.73833163732308
Samu Castillejo,83,attack,1.73833163732308
Daniele De Rossi,83,attack,1.73833163732308
Kevin Strootman,83,attack,1.73833163732308
Memphis Depay,83,attack,1.73833163732308
Mario Balotelli,83,attack,1.73833163732308
Adrien Rabiot,83,attack,1.73833163732308
Julian Draxler,83,attack,1.73833163732308
Thomas Lemar,83,attack,1.73833163732308
Malcom,83,attack,1.73833163732308
Aduriz,83,attack,1.73833163732308
Willian José,83,attack,1.73833163732308
Éver Banega,83,attack,1.73833163732308
Manu Trigueros,83,attack,1.73833163732308
Gerard Moreno,83,attack,1.73833163732308
Timo Werner,83,attack,1.73833163732308
Laurent Koscielny,82,defence,1.45187562187495
Shkodran Mustafi,82,defence,1.45187562187495
Andreas Christensen,82,defence,1.45187562187495
Marcos Alonso,82,defence,1.45187562187495
John Stones,82,defence,1.45187562187495
Antonio Valencia,82,defence,1.45187562187495
Eric Bailly,82,defence,1.45187562187495
Kieran Trippier,82,defence,1.45187562187495
Ömer Toprak,82,defence,1.45187562187495
Lars Bender,82,defence,1.45187562187495
Francesco Acerbi,82,defence,1.45187562187495
Alessio Romagnoli,82,defence,1.45187562187495
Federico Fazio,82,defence,1.45187562187495
Aleksandar Kolarov,82,defence,1.45187562187495
Marcano,82,defence,1.45187562187495
Alessandro Florenzi,82,defence,1.45187562187495
Thomas Meunier,82,defence,1.45187562187495
Dani Alves,82,defence,1.45187562187495
Harry Maguire,82,defence,1.45187562187495
Adil Rami,82,defence,1.45187562187495
Thomas Partey,82,defence,1.45187562187495
Clément Lenglet,82,defence,1.45187562187495
Bartra,82,defence,1.45187562187495
Ezequiel Garay,82,defence,1.45187562187495
Gabriel Paulista,82,defence,1.45187562187495
Víctor Ruiz,82,defence,1.45187562187495
Aaron Ramsey,82,attack,1.3091444611243
Gylfi Sigurðsson,82,attack,1.3091444611243
Idrissa Gueye,82,attack,1.3091444611243
Jordan Henderson,82,attack,1.3091444611243
Georginio Wijnaldum,82,attack,1.3091444611243
Ander Herrera,82,attack,1.3091444611243
Lucas,82,attack,1.3091444611243
Felipe Anderson,82,attack,1.3091444611243
Marko Arnautović,82,attack,1.3091444611243
Mario Götze,82,attack,1.3091444611243
Axel Witsel,82,attack,1.3091444611243
Julian Brandt,82,attack,1.3091444611243
Leon Bailey,82,attack,1.3091444611243
Max Kruse,82,attack,1.3091444611243
Marco Parolo,82,attack,1.3091444611243
Luis Alberto,82,attack,1.3091444611243
Giacomo Bonaventura,82,attack,1.3091444611243
