FIFA_player_name,FIFA_player_rating,PosGroup,PointsAboveAverage
Suso,82,attack,1.3091444611243
Lucas Biglia,82,attack,1.3091444611243
Allan,82,attack,1.3091444611243
Javier Pastore,82,attack,1.3091444611243
Steven Nzonzi,82,attack,1.3091444611243
Simone ZazaL,82,attack,1.3091444611243
Andrea Belotti,82,attack,1.3091444611243
Jamie Vardy,82,attack,1.3091444611243
Jean Michaël Seri,82,attack,1.3091444611243
Rodri,82,attack,1.3091444611243
Gelson Martins,82,attack,1.3091444611243
Dani García,82,attack,1.3091444611243
Andrés Guardado,82,attack,1.3091444611243
Joaquín,82,attack,1.3091444611243
Geoffrey Kondogbia,82,attack,1.3091444611243
Daniel Wass,82,attack,1.3091444611243
Franco Vázquez,82,attack,1.3091444611243
Carlos Bacca,82,attack,1.3091444611243
Wilfried Zaha,82,attack,1.3091444611243
Andrej Kramarić,82,attack,1.3091444611243
Kevin Kampl,82,attack,1.3091444611243
Emil Forsberg,82,attack,1.3091444611243
Antonio Rüdiger,81,defence,1.09664787081729
Andrew Robertson,81,defence,1.09664787081729
Dejan Lovren,81,defence,1.09664787081729
James Milner,81,defence,1.09664787081729
Joel Matip,81,defence,1.09664787081729
Chris Smalling,81,defence,1.09664787081729
Ben Davies,81,defence,1.09664787081729
Łukasz Piszczek,81,defence,1.09664787081729
Sven Bender,81,defence,1.09664787081729
Matija Nastasić,81,defence,1.09664787081729
Salif Sané,81,defence,1.09664787081729
Šime VrsaljkoL,81,defence,1.09664787081729
Elseid Hysaj,81,defence,1.09664787081729
Faouzi Ghoulam,81,defence,1.09664787081729
Marcelo,81,defence,1.09664787081729
Ricardo Pereira,81,defence,1.09664787081729
Jeison MurilloL,81,defence,1.09664787081729
Pablo Sarabia,81,defence,1.09664787081729
Domenico Criscito,81,defence,1.09664787081729
Granit Xhaka,81,attack,0.917306856779641
Manuel Lanzini,81,attack,0.917306856779641
Christoph Kramer,81,attack,0.917306856779641
Thorgan Hazard,81,attack,0.917306856779641
Raffael,81,attack,0.917306856779641
Lars Stindl,81,attack,0.917306856779641
Charles Aránguiz,81,attack,0.917306856779641
Kevin Volland,81,attack,0.917306856779641
Mario Gómez,81,attack,0.917306856779641
Josip Iličić,81,attack,0.917306856779641
Antonio Candreva,81,attack,0.917306856779641
Borja Valero,81,attack,0.917306856779641
João Mário,81,attack,0.917306856779641
Simone Verdi,81,attack,0.917306856779641
Fabián,81,attack,0.917306856779641
Stephan El Shaarawy,81,attack,0.917306856779641
Diego Perotti,81,attack,0.917306856779641
Iborra,81,attack,0.917306856779641
João Moutinho,81,attack,0.917306856779641
Raúl García,81,attack,0.917306856779641
Williams,81,attack,0.917306856779641
Kévin Gameiro,81,attack,0.917306856779641
Michy BatshuayiL,81,attack,0.917306856779641
Pedro León,81,attack,0.917306856779641
Wissam Ben Yedder,81,attack,0.917306856779641
Pablo Fornals,81,attack,0.917306856779641
Bruno,81,attack,0.917306856779641
Abdoulaye Doucouré,81,attack,0.917306856779641
Deulofeu,81,attack,0.917306856779641
Morales,81,attack,0.917306856779641
Kevin-Prince Boateng,81,attack,0.917306856779641
Marcel Sabitzer,81,attack,0.917306856779641
Héctor Bellerín,80,defence,0.773389371570796
Stephan Lichtsteiner,80,defence,0.773389371570796
Séamus Coleman,80,defence,0.773389371570796
Marcos Rojo,80,defence,0.773389371570796
Ashley Young,80,defence,0.773389371570796
Jannik Vestergaard,80,defence,0.773389371570796
Fabián Balbuena,80,defence,0.773389371570796
Matthias Ginter,80,defence,0.773389371570796
Daniel Caligiuri,80,defence,0.773389371570796
Benjamin Pavard,80,defence,0.773389371570796
Ştefan Radu,80,defence,0.773389371570796
Ricardo Rodríguez,80,defence,0.773389371570796
Mateo Musacchio,80,defence,0.773389371570796
Mattia Caldara,80,defence,0.773389371570796
Nicolas Nkoulou,80,defence,0.773389371570796
Djibril Sidibé,80,defence,0.773389371570796
Dante,80,defence,0.773389371570796
John Brooks,80,defence,0.773389371570796
Camacho,80,defence,0.773389371570796
Zouhair Feddal,80,defence,0.773389371570796
Hugo Mallo,80,defence,0.773389371570796
Mario Gaspar,80,defence,0.773389371570796
James Tarkowski,80,defence,0.773389371570796
Ben Mee,80,defence,0.773389371570796
Mamadou Sakho,80,defence,0.773389371570796
Loïc Perrin,80,defence,0.773389371570796
Antunes,80,defence,0.773389371570796
Kevin Vogt,80,defence,0.773389371570796
André GomesL,80,attack,0.561528951000403
Bernard,80,attack,0.561528951000403
Cenk Tosun,80,attack,0.561528951000403
Erik Lamela,80,attack,0.561528951000403
Andriy Yarmolenko,80,attack,0.561528951000403
Jack Wilshere,80,attack,0.561528951000403
Julian Weigl,80,attack,0.561528951000403
Alassane Pléa,80,attack,0.561528951000403
Karim Bellarabi,80,attack,0.561528951000403
Mark Uth,80,attack,0.561528951000403
Daniel Didavi,80,attack,0.561528951000403
Matias Vecino,80,attack,0.561528951000403
Milan Badelj,80,attack,0.561528951000403
Tiémoué BakayokoL,80,attack,0.561528951000403
Hakan Çalhanoğlu,80,attack,0.561528951000403
Iago Falqué,80,attack,0.561528951000403
Adem Ljajić,80,attack,0.561528951000403
Mariano,80,attack,0.561528951000403
Rony Lopes,80,attack,0.561528951000403
Stevan Jovetić,80,attack,0.561528951000403
Wilfred Ndidi,80,attack,0.561528951000403
Valter Birsa,80,attack,0.561528951000403
Morgan Sanson,80,attack,0.561528951000403
Susaeta,80,attack,0.561528951000403
Beñat,80,attack,0.561528951000403
Muniain,80,attack,0.561528951000403
Cristian Tello,80,attack,0.561528951000403
Takashi Inui,80,attack,0.561528951000403
Ryad Boudebouz,80,attack,0.561528951000403
Maximiliano Gómez,80,attack,0.561528951000403
Oyarzabal,80,attack,0.561528951000403
Carlos Soler,80,attack,0.561528951000403
Sergi Enrich,80,attack,0.561528951000403
Kike García,80,attack,0.561528951000403
Nolito,80,attack,0.561528951000403
Luis Muriel,80,attack,0.561528951000403
Santi Cazorla,80,attack,0.561528951000403
Karl Toko-Ekambi,80,attack,0.561528951000403
Steven Defour,80,attack,0.561528951000403
Fabio Quagliarella,80,attack,0.561528951000403
Ángel,80,attack,0.561528951000403
Kerem Demirbay,80,attack,0.561528951000403
Portu,80,attack,0.561528951000403
Cristhian Stuani,80,attack,0.561528951000403
Leighton Baines,79,defence,0.481046766953061
Michael Keane,79,defence,0.481046766953061
Ryan Bertrand,79,defence,0.481046766953061
Holger Badstuber,79,defence,0.481046766953061
Andrea Masiello,79,defence,0.481046766953061
Kwadwo Asamoah,79,defence,0.481046766953061
Rafael,79,defence,0.481046766953061
Jemerson,79,defence,0.481046766953061
JonnyL,79,defence,0.481046766953061
Karim Rekik,79,defence,0.481046766953061
Jean-Philippe Gbamin,79,defence,0.481046766953061
De Marcos,79,defence,0.481046766953061
Iñigo Martínez,79,defence,0.481046766953061
Sidnei,79,defence,0.481046766953061
Aïssa Mandi,79,defence,0.481046766953061
David López,79,defence,0.481046766953061
Francis Coquelin,79,defence,0.481046766953061
Gayà,79,defence,0.481046766953061
Gabriel Mercado,79,defence,0.481046766953061
Simon Kjær,79,defence,0.481046766953061
Escudero,79,defence,0.481046766953061
Álvaro,79,defence,0.481046766953061
Jaume Costa,79,defence,0.481046766953061
David Abraham,79,defence,0.481046766953061
Nathan Aké,79,defence,0.481046766953061
Benjamin Hübner,79,defence,0.481046766953061
Pavel Kadeřábek,79,defence,0.481046766953061
Jeffrey Gouweleeuw,79,defence,0.481046766953061
Germán Pezzella,79,defence,0.481046766953061
Willi Orban,79,defence,0.481046766953061
Theo Walcott,79,attack,0.24048980920652
Morgan Schneiderlin,79,attack,0.24048980920652
Mohamed Elyounoussi,79,attack,0.24048980920652
Javier Hernández,79,attack,0.24048980920652
Lucas Pérez,79,attack,0.24048980920652
Nuri Şahin,79,attack,0.24048980920652
Christian Pulisic,79,attack,0.24048980920652
Ibrahima Traoré,79,attack,0.24048980920652
Nils Petersen,79,attack,0.24048980920652
Kai Havertz,79,attack,0.24048980920652
Lucas Alario,79,attack,0.24048980920652
Guido Burgstaller,79,attack,0.24048980920652
Yevhen Konoplyanka,79,attack,0.24048980920652
Omar Mascarell,79,attack,0.24048980920652
Nabil Bentaleb,79,attack,0.24048980920652
Davy Klaassen,79,attack,0.24048980920652
Daniele Baselli,79,attack,0.24048980920652
Lucas Tousart,79,attack,0.24048980920652
Bertrand Traoré,79,attack,0.24048980920652
Youri Tielemans,79,attack,0.24048980920652
Alexandr Golovin,79,attack,0.24048980920652
Adrien Silva,79,attack,0.24048980920652
Rúben Neves,79,attack,0.24048980920652
Tom Cairney,79,attack,0.24048980920652
Salomon Kalou,79,attack,0.24048980920652
Josuha Guilavogui,79,attack,0.24048980920652
Yunus Mallı,79,attack,0.24048980920652
Canales,79,attack,0.24048980920652
Pablo Piatti,79,attack,0.24048980920652
Leo Baptistao,79,attack,0.24048980920652
Sergi Darder,79,attack,0.24048980920652
Ibai Gómez,79,attack,0.24048980920652
John Guidetti,79,attack,0.24048980920652
Charles,79,attack,0.24048980920652
Fabián Orellana,79,attack,0.24048980920652
Roque Mesa,79,attack,0.24048980920652
Roberto Pereyra,79,attack,0.24048980920652
Jack Cork,79,attack,0.24048980920652
Jóhann Berg Guðmundsson,79,attack,0.24048980920652
Max Meyer,79,attack,0.24048980920652
Luka Milivojević,79,attack,0.24048980920652
Yann M'Vila,79,attack,0.24048980920652
Ante Rebić,79,attack,0.24048980920652
Gastón Ramírez,79,attack,0.24048980920652
Campaña,79,attack,0.24048980920652
Aaron Mooy,79,attack,0.24048980920652
Jefferson Lerma,79,attack,0.24048980920652
Leonardo Bittencourt,79,attack,0.24048980920652
Daniel Baier,79,attack,0.24048980920652
Michael Gregoritsch,79,attack,0.24048980920652
Granell,79,attack,0.24048980920652
Borja García,79,attack,0.24048980920652
Diego Demme,79,attack,0.24048980920652
Bruma,79,attack,0.24048980920652
Kurt ZoumaL,78,defence,0.218522403261306
Lucas Digne,78,defence,0.218522403261306
Jamaal Lascelles,78,defence,0.218522403261306
Florian Lejeune,78,defence,0.218522403261306
Angelo Ogbonna,78,defence,0.218522403261306
Manuel Akanji,78,defence,0.218522403261306
Raphaël Guerreiro,78,defence,0.218522403261306
Abdou Diallo,78,defence,0.218522403261306
Wendell,78,defence,0.218522403261306
Mitchell Weiser,78,defence,0.218522403261306
Benjamin Stambouli,78,defence,0.218522403261306
Pablo Maffeo,78,defence,0.218522403261306
Niklas Moisander,78,defence,0.218522403261306
Rafael Tolói,78,defence,0.218522403261306
Bastos,78,defence,0.218522403261306
Adam Marušić,78,defence,0.218522403261306
Ignazio Abate,78,defence,0.218522403261306
Vlad Chiricheş,78,defence,0.218522403261306
Cristian AnsaldiL,78,defence,0.218522403261306
José Fonte,78,defence,0.218522403261306
Kenny Tete,78,defence,0.218522403261306
Hilton,78,defence,0.218522403261306
Diego Carlos,78,defence,0.218522403261306
Damien Da Silva,78,defence,0.218522403261306
Jonny Evans,78,defence,0.218522403261306
Leander DendonckerL,78,defence,0.218522403261306
Niklas Stark,78,defence,0.218522403261306
Marvin Plattenhardt,78,defence,0.218522403261306
Jérôme Roussillon,78,defence,0.218522403261306
Sebastian De Maio,78,defence,0.218522403261306
Hiroki Sakai,78,defence,0.218522403261306
Capa,78,defence,0.218522403261306
Javi García,78,defence,0.218522403261306
Paulo Oliveira,78,defence,0.218522403261306
Arbilla,78,defence,0.218522403261306
Nicolás Pareja,78,defence,0.218522403261306
Miguel Layún,78,defence,0.218522403261306
Christian Kabasele,78,defence,0.218522403261306
Matthew Lowton,78,defence,0.218522403261306
James Tomkins,78,defence,0.218522403261306
Neven Subotić,78,defence,0.218522403261306
Mathieu Debuchy,78,defence,0.218522403261306
Coke,78,defence,0.218522403261306
Christopher Schindler,78,defence,0.218522403261306
Nico Schulz,78,defence,0.218522403261306
Philipp Max,78,defence,0.218522403261306
Johan Mojica,78,defence,0.218522403261306
Marcel Halstenberg,78,defence,0.218522403261306
De Gea,91,goalkeeper,0.187262637948075
Manuel Neuer,90,goalkeeper,0.166741728110824
Jan Oblak,90,goalkeeper,0.166741728110824
Thibaut Courtois,90,goalkeeper,0.166741728110824
Marc-André ter Stegen,89,goalkeeper,0.146844061258443
Hugo Lloris,88,goalkeeper,0.127667523138723
Samir Handanovič,88,goalkeeper,0.127667523138723
Gianluigi Buffon,88,goalkeeper,0.127667523138723
Ederson,86,goalkeeper,0.0917922187161011
Alisson,85,goalkeeper,0.0752152798189727
Bernd Leno,84,goalkeeper,0.059605318471047
Lukáš Hrádecký,84,goalkeeper,0.059605318471047
Mattia Perin,84,goalkeeper,0.059605318471047
Anthony Lopes,84,goalkeeper,0.059605318471047
Kasper Schmeichel,84,goalkeeper,0.059605318471047
Neto,84,goalkeeper,0.059605318471047
Sergio Asenjo,84,goalkeeper,0.059605318471047
Stéphane Ruffier,84,goalkeeper,0.059605318471047
Kepa,83,goalkeeper,0.0449927957643311
Jordan Pickford,83,goalkeeper,0.0449927957643311
Ralf Fährmann,83,goalkeeper,0.0449927957643311
Pepe Reina,83,goalkeeper,0.0449927957643311
Danijel Subašić,83,goalkeeper,0.0449927957643311
Rui Patrício,83,goalkeeper,0.0449927957643311
Steve Mandanda,83,goalkeeper,0.0449927957643311
Oliver Baumann,83,goalkeeper,0.0449927957643311
Yann Sommer,82,goalkeeper,0.0313978798245543
Jiří Pavlenka,82,goalkeeper,0.0313978798245543
Salvatore Sirigu,82,goalkeeper,0.0313978798245543
Rune Almenning Jarstein,82,goalkeeper,0.0313978798245543
Koen Casteels,82,goalkeeper,0.0313978798245543
Pau López,82,goalkeeper,0.0313978798245543
Andrea Consigli,82,goalkeeper,0.0313978798245543
Roman Bürki,81,goalkeeper,0.0188314056999573
Benjamin Lecomte,81,goalkeeper,0.0188314056999573
Gerónimo Rulli,81,goalkeeper,0.0188314056999573
Guaita,81,goalkeeper,0.0188314056999573
Łukasz Fabiański,80,goalkeeper,0.00729575754997143
Thomas Strakosha,80,goalkeeper,0.00729575754997143
Antonio Mirante,80,goalkeeper,0.00729575754997143
Fabricio,80,goalkeeper,0.00729575754997143
Stefano Sorrentino,80,goalkeeper,0.00729575754997143
Diego López,80,goalkeeper,0.00729575754997143
Nick Pope,80,goalkeeper,0.00729575754997143
Ron-Robert Zieler,79,goalkeeper,-0.00321433608538655
Orestis Karnezis,79,goalkeeper,-0.00321433608538655
René Adler,79,goalkeeper,-0.00321433608538655
Pacheco,79,goalkeeper,-0.00321433608538655
Marko Dmitrović,79,goalkeeper,-0.00321433608538655
Asmir Begović,79,goalkeeper,-0.00321433608538655
Péter Gulácsi,79,goalkeeper,-0.00321433608538655
Etrit Berisha,78,goalkeeper,-0.0127111004710031
Benoît Costil,78,goalkeeper,-0.0127111004710031
Ciprian Tătăruşanu,78,goalkeeper,-0.0127111004710031
Tomáš Koubek,78,goalkeeper,-0.0127111004710031
Herrerín,78,goalkeeper,-0.0127111004710031
Sergio,78,goalkeeper,-0.0127111004710031
Tomáš Vaclík,78,goalkeeper,-0.0127111004710031
Mathew Ryan,78,goalkeeper,-0.0127111004710031
Baptiste Reynet,78,goalkeeper,-0.0127111004710031
David Soria,78,goalkeeper,-0.0127111004710031
Marco SportielloL,78,goalkeeper,-0.0127111004710031
Cédric,77,defence,-0.0153245890328563
Carlos Sánchez,77,defence,-0.0153245890328563
Winston Reid,77,defence,-0.0153245890328563
Nico Elvedi,77,defence,-0.0153245890328563
Michael Lang,77,defence,-0.0153245890328563
Dominique Heintz,77,defence,-0.0153245890328563
Ludwig Augustinsson,77,defence,-0.0153245890328563
Lorenzo De Silvestri,77,defence,-0.0153245890328563
Youssouf Sabaly,77,defence,-0.0153245890328563
Christophe Kerbrat,77,defence,-0.0153245890328563
Jérémy Morel,77,defence,-0.0153245890328563
Ferland Mendy,77,defence,-0.0153245890328563
Ruben Aguilar,77,defence,-0.0153245890328563
Pedro Mendes,77,defence,-0.0153245890328563
Nicolas Pallois,77,defence,-0.0153245890328563
Arnaud Souquet,77,defence,-0.0153245890328563
Aarón MartínL,77,defence,-0.0153245890328563
Giancarlo González,77,defence,-0.0153245890328563
DaniloL,77,defence,-0.0153245890328563
Ivan Radovanović,77,defence,-0.0153245890328563
Jordan Amavi,77,defence,-0.0153245890328563
Bouna Sarr,77,defence,-0.0153245890328563
Yuri Berchiche,77,defence,-0.0153245890328563
Yeray,77,defence,-0.0153245890328563
Gustavo Cabral,77,defence,-0.0153245890328563
Okay Yokuşlu,77,defence,-0.0153245890328563
Victor Sánchez,77,defence,-0.0153245890328563
Iván Ramis,77,defence,-0.0153245890328563
Rubén Peña,77,defence,-0.0153245890328563
Cote,77,defence,-0.0153245890328563
Waldemar Anton,77,defence,-0.0153245890328563
Jose Holebas,77,defence,-0.0153245890328563
Daryl Janmaat,77,defence,-0.0153245890328563
Robbie Brady,77,defence,-0.0153245890328563
Montoya,77,defence,-0.0153245890328563
Lewis Dunk,77,defence,-0.0153245890328563
Makoto Hasebe,77,defence,-0.0153245890328563
Timmy Chandler,77,defence,-0.0153245890328563
Lorenzo TonelliL,77,defence,-0.0153245890328563
Ragnar Klavan,77,defence,-0.0153245890328563
Damián Suárez,77,defence,-0.0153245890328563
Dakonam Djené,77,defence,-0.0153245890328563
Bruno,77,defence,-0.0153245890328563
Mathias Jørgensen,77,defence,-0.0153245890328563
Steve Cook,77,defence,-0.0153245890328563
Martin Hinteregger,77,defence,-0.0153245890328563
Juanpe,77,defence,-0.0153245890328563
Bernardo Espinosa,77,defence,-0.0153245890328563
Lisandro LópezL,77,defence,-0.0153245890328563
Nordi Mukiele,77,defence,-0.0153245890328563
Martin Dúbravka,77,goalkeeper,-0.0212131110748302
Alex McCarthy,77,goalkeeper,-0.0212131110748302
Alexander Schwolow,77,goalkeeper,-0.0212131110748302
Ben Foster,77,goalkeeper,-0.0212131110748302
Régis Gurtner,77,goalkeeper,-0.0212131110748302
Yassine Bounou,77,goalkeeper,-0.0212131110748302
Alban Lafont,77,goalkeeper,-0.0212131110748302
Federico Marchetti,77,goalkeeper,-0.0212131110748302
Vincent Enyeama,76,goalkeeper,-0.028744792162
Walter Benítez,76,goalkeeper,-0.028744792162
Łukasz Skorupski,76,goalkeeper,-0.028744792162
Philipp Tschauner,76,goalkeeper,-0.028744792162
Serantes,76,goalkeeper,-0.028744792162
Karl-Johan Johnsson,75,goalkeeper,-0.0353360219856498
Matz Sels,75,goalkeeper,-0.0353360219856498
Ludovic Butelle,75,goalkeeper,-0.0353360219856498
Frederik Rønnow,75,goalkeeper,-0.0353360219856498
Alessio Cragno,75,goalkeeper,-0.0353360219856498
Oier,75,goalkeeper,-0.0353360219856498
Jonas Lössl,75,goalkeeper,-0.0353360219856498
Alfred Gomis,75,goalkeeper,-0.0353360219856498
Luigi SepeL,74,goalkeeper,-0.0410218509479506
Juan Musso,74,goalkeeper,-0.0410218509479506
Jordi Masip,74,goalkeeper,-0.0410218509479506
Alberto,74,goalkeeper,-0.0410218509479506
Rafael,74,goalkeeper,-0.0410218509479506
Christian Mathenia,73,goalkeeper,-0.0458423433272543
Alex Smithies,73,goalkeeper,-0.0458423433272543
Michael Rensing,73,goalkeeper,-0.0458423433272543
Lucas Torreira,78,attack,-0.0471612237329822
