country,party_id,party_abbrev,party_name_english,previous_election_date,previous_election_source,previous_election_share,previous_election_notes,previous_election_total_votes,previous_election_party_votes,latest_election,latest_election_source,latest_election_share,latest_election_notes,last_election_total_votes,last_election_party_votes
Germany,308,CSU,"Christian Social Union in Bavaria	Christlich Soziale Union in Bayern",2013,http://www.parlgov.org/explore/DEU/election/2013-09-22/,7.4,,43726856,3235787,2017,http://www.parlgov.org/explore/DEU/election/2017-09-24/,6.2,,46515492,2883961
Germany,309,NPD,"National Democratic Party of Germany	Nationaldemokratische Partei Deutschlands",2013,http://www.parlgov.org/explore/DEU/election/2013-09-22/,1.3,,43726856,568449,2017,http://www.parlgov.org/explore/DEU/election/2017-09-24/,0,,46515492,0
Germany,310,AfD,"Alternative for Germany	Alternative für Deutschland",2013,http://www.parlgov.org/explore/DEU/election/2013-09-22/,4.7,,43726856,2055162,2017,http://www.parlgov.org/explore/DEU/election/2017-09-24/,12.6,,46515492,5860952
Germany,311,Piraten,"Pirate Party of Germany	Piratenpartei Deutschland",2013,http://www.parlgov.org/explore/DEU/election/2013-09-22/,2.2,,43726856,961991,2017,http://www.parlgov.org/explore/DEU/election/2017-09-24/,0,,46515492,0
Germany,312,DieTier,"Human Environment Animal Protection	Mensch Umwelt Tierschutz",2013,http://www.parlgov.org/explore/DEU/election/2013-09-22/,0,,43726856,0,2017,http://www.parlgov.org/explore/DEU/election/2017-09-24/,0,,46515492,0
Germany,350,LKR,"Liberal-Konservative Reformer	Liberal Conservative Party",2013,http://www.parlgov.org/explore/DEU/election/2013-09-22/,0,,43726856,0,2017,http://www.parlgov.org/explore/DEU/election/2017-09-24/,0,,46515492,0
Germany,351,BLAU,"Die Blaue Partei	The Blue Party",2013,http://www.parlgov.org/explore/DEU/election/2013-09-22/,0,,43726856,0,2017,http://www.parlgov.org/explore/DEU/election/2017-09-24/,0,,46515492,0
Greece,401,PASOK,"Panhellenic Socialist Movement	Panellinio Sosialistikó Kínima",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,12.3,,6155665,757147,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,4.2,"Coalition PASOK, DIMAR (split 6.3% votes proportional to last election)",5431850,168387
Greece,402,ND,"New Democracy	Néa Dimokratía",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,29.7,,6155665,1828233,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,28.1,,5431850,1526350
Greece,403,SYRIZA,"Coalition of the Radical Left	Synaspismós Rizospastikís Aristerás",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,26.9,,6155665,1655874,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,35.5,,5431850,1928307
Greece,404,KKE,"Communist Party of Greece	Kommounistikó Kómma Elládas",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,4.5,,6155665,277005,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,5.6,,5431850,304184
Greece,410,LAOS,"Popular Orthodox Rally	Laïkós Orthódoxos Synagermós",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,0,,6155665,0,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,0,,5431850,0
Greece,412,ANEL,"Independent Greeks	Anexartitoi Ellines",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,7.5,,6155665,461675,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,3.7,,5431850,200978
Greece,413,Potami,"The River	To Potami",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,0,,6155665,0,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,4.1,,5431850,222706
Greece,414,DIMAR,"Democratic Left	Dimokratiki Aristera",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,6.3,,6155665,387807,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,2.1,"Coalition PASOK, DIMAR (split 6.3% votes proportional to last election)",5431850,168387
Greece,415,XA,"Popular Association—Golden Dawn	Laïkós Sýndesmos—Chrysí Avgí",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,6.9,,6155665,424741,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,7,,5431850,380230
