sex,age_bucket,lgbtq,inc_bucket,educ_n,region6,tenure3,poli_int_bucket,ge15_5,ge17_5,pop,pred_deal,pred_no_deal,pred_remain
Female,75+,straight,15_25,3,Midlands,rent,middling,Con,Con,2800,49.9,37,13.1
Male,30-44,straight,50+,3,North,mortgage,middling,Con,Con,7500,37.4,34.2,28.4
Male,18-29,straight,25_35,3,North,rent,high,DNV,Oth,1800,12.7,13.1,74.2
Female,60-75,straight,25_35,3,South,own,middling,Con,Con,124900,45.7,34.9,19.4
Male,60-75,straight,25_35,4,North,own,middling,Lab,Lab,15300,12.3,15.3,72.4
Female,18-29,straight,25_35,5,South,rent,middling,DNV,Oth,1300,9.6,3.6,86.9
Female,60-75,straight,25_35,5,South,mortgage,low,UKIP,Con,2700,35,56.9,8.1
Male,45-60,gay,35_50,3,South,own,middling,Lab,Lab,1400,10.7,14.7,74.6
Male,30-44,straight,35_50,3,North,mortgage,middling,UKIP,Lab,2100,20.3,48.9,30.8
Female,60-75,straight,35_50,4,Wales,own,high,DNV,Con,300,35.1,37.2,27.6
Female,60-75,straight,25_35,5,Midlands,own,high,Lab,Lab,4600,8.3,9.4,82.3
Female,30-44,straight,35_50,4,London,rent,low,Lab,Lab,2700,11.8,5.8,82.3
Male,60-75,straight,5_15,3,South,rent,middling,Oth,Con,1400,27.7,56.5,15.8
Female,30-44,straight,25_35,4,South,rent,middling,DNV,DNV,2000,23.7,20.3,55.9
Male,45-60,straight,35_50,5,North,mortgage,middling,DNV,Oth,1100,11.3,10.6,78.1
Female,30-44,gay,25_35,4,North,mortgage,middling,Lab,Lab,3800,11.2,8.8,80
Male,75+,straight,15_25,4,South,own,middling,Con,Con,4900,37.4,39.7,22.9
Female,45-60,straight,15_25,3,South,mortgage,middling,UKIP,Con,2300,27.6,68.3,4.1
Female,60-75,straight,15_25,2,South,rent,middling,Con,Con,13500,42.8,45.6,11.6
Female,60-75,straight,15_25,3,South,own,low,Oth,Oth,10600,24.4,12.8,62.8
Male,60-75,straight,15_25,3,London,rent,middling,Lab,Lab,3900,14.4,22,63.6
Male,60-75,straight,5_15,1,Midlands,rent,middling,Con,Con,2900,31.5,62.4,6.1
Female,60-75,gay,15_25,2,Midlands,own,middling,Con,Con,4100,45.4,43.7,10.9
Male,30-44,straight,15_25,4,Wales,rent,middling,Oth,Oth,1600,11.8,10.8,77.5
Female,60-75,straight,15_25,4,South,rent,middling,UKIP,Con,1100,27.2,68.2,4.6
Female,75+,straight,5_15,3,North,own,low,Lab,Lab,3500,27.6,17.1,55.3
Male,60-75,straight,15_25,5,South,own,high,Lab,Lab,2200,5.9,12.8,81.3
Male,30-44,straight,50+,4,North,mortgage,middling,Lab,Lab,12200,7.9,7.2,84.9
Male,30-44,straight,50+,5,Midlands,mortgage,high,Con,Con,5900,22.2,28.8,48.9
Male,45-60,straight,35_50,4,Scotland,own,high,Oth,Lab,600,5.7,10.7,83.6
Male,30-44,straight,5_15,3,North,rent,middling,DNV,Lab,6100,17.7,26.9,55.4
Male,75+,straight,35_50,4,South,own,high,Con,Con,10500,29.1,40.6,30.2
Female,60-75,gay,25_35,3,South,own,low,Oth,DNV,1100,30.5,25.5,44.1
Female,60-75,straight,5_15,1,Wales,rent,low,Lab,Lab,800,30.6,29,40.4
Male,30-44,straight,25_35,5,Midlands,rent,high,Lab,Lab,3200,5.2,9.5,85.2
Female,60-75,straight,35_50,3,London,own,high,Lab,Oth,600,13.1,10.6,76.3
Male,60-75,straight,15_25,3,Midlands,rent,high,Con,Con,6700,25.6,62.1,12.3
Female,60-75,straight,15_25,2,North,own,low,Lab,Lab,6200,28,20.9,51.1
Male,75+,straight,15_25,1,South,own,low,UKIP,Con,5000,26.6,71.6,1.8
Male,75+,straight,5_15,1,North,rent,middling,Con,Con,1200,34.3,59.4,6.3
Male,30-44,straight,50+,3,South,own,middling,Con,Con,1500,35.9,30.1,34
Male,45-60,straight,50+,2,Scotland,mortgage,high,Lab,Lab,400,8.3,16.5,75.2
Male,60-75,straight,5_15,3,North,own,low,Lab,Lab,2800,20.4,25.6,54.1
Female,60-75,straight,15_25,3,South,own,low,Con,Con,39300,50.8,34,15.1
Male,30-44,straight,25_35,3,South,own,middling,Con,Con,4700,35.8,37.4,26.7
Male,75+,straight,15_25,3,Scotland,own,middling,Oth,Oth,1900,16.3,14.2,69.5
Male,18-29,straight,50+,4,Midlands,mortgage,high,DNV,Lab,1100,7,6.1,86.9
Female,60-75,straight,15_25,1,London,rent,low,DNV,Con,5000,47,44.9,8.1
Male,45-60,straight,25_35,3,Scotland,rent,middling,Oth,Lab,1700,11.3,17.8,70.9
Male,45-60,gay,5_15,3,North,rent,middling,Lab,Lab,7200,14.1,31.3,54.6
Female,60-75,gay,25_35,3,North,own,middling,DNV,Con,1300,42.8,42,15.2
Female,60-75,straight,15_25,1,South,rent,middling,Oth,Oth,1200,26.1,24.1,49.8
Female,45-60,straight,25_35,3,North,rent,low,UKIP,Lab,3800,29,51.7,19.2
Male,30-44,gay,50+,4,North,mortgage,middling,Lab,Lab,3400,7.6,7.8,84.5
Female,30-44,straight,35_50,4,South,rent,middling,Con,Con,5600,39.2,25.8,34.9
Male,75+,straight,15_25,1,South,own,middling,Con,Con,6300,38.9,50.7,10.4
Male,75+,straight,35_50,3,North,own,high,DNV,Lab,300,15.4,22.5,62.2
Male,18-29,straight,35_50,4,London,own,low,Lab,Lab,7400,7.8,3.6,88.7
Male,60-75,gay,25_35,5,London,mortgage,high,Con,Con,500,21,45.6,33.4
Male,60-75,straight,15_25,3,Midlands,rent,middling,Oth,Con,1300,31.1,53.3,15.6
Female,60-75,straight,25_35,3,North,own,middling,Lab,Con,8800,41.9,37.1,21
Female,60-75,straight,15_25,3,North,own,middling,Lab,Lab,46600,20.1,17.7,62.3
Female,60-75,straight,35_50,4,South,own,middling,Con,Con,32500,42.9,28.6,28.5
Male,60-75,straight,25_35,4,London,own,middling,Lab,Lab,1500,10.5,11.9,77.6
Male,45-60,straight,35_50,3,Midlands,mortgage,low,UKIP,Con,1100,28.1,68.1,3.9
Male,75+,straight,35_50,4,North,own,high,Con,Lab,300,12.5,15.9,71.6
Male,75+,straight,35_50,3,North,own,high,Con,Con,7200,32.6,48,19.4
Male,60-75,straight,15_25,2,Midlands,own,low,DNV,DNV,4200,34.3,43.7,22
Female,18-29,straight,35_50,4,Midlands,mortgage,low,Lab,Lab,3300,11.7,3.6,84.8
Male,75+,straight,25_35,3,South,mortgage,middling,Con,Con,4200,39.4,41.9,18.7
Male,60-75,gay,15_25,3,North,own,low,DNV,Con,3200,37,51.7,11.3
Female,18-29,straight,25_35,4,North,rent,low,DNV,Lab,11200,17.7,6.9,75.4
Male,30-44,straight,25_35,3,Scotland,rent,high,Oth,Oth,3100,8.3,13,78.6
Female,45-60,straight,35_50,3,South,mortgage,high,Lab,Lab,4000,10.2,13,76.8
Male,30-44,straight,50+,5,London,mortgage,middling,Con,Lab,4400,6.4,4.6,88.9
Male,60-75,straight,15_25,1,South,mortgage,low,Lab,Lab,3000,21.6,30.5,47.9
Male,45-60,straight,25_35,2,South,mortgage,low,Con,Con,8000,39.5,46.6,13.9
Male,30-44,straight,50+,3,South,mortgage,middling,DNV,DNV,3200,20.8,21.9,57.3
Female,60-75,straight,15_25,1,Wales,rent,low,Lab,Lab,1300,30.2,25.7,44.1
Male,30-44,straight,15_25,2,North,rent,low,Lab,Oth,2800,22,20.2,57.8
Male,30-44,straight,50+,3,London,mortgage,high,DNV,Con,2500,26.3,39.1,34.6
Male,30-44,straight,50+,3,London,mortgage,high,Con,Con,6700,27.3,36.6,36
Female,60-75,straight,5_15,3,South,own,middling,UKIP,Con,6200,28,68.7,3.3
Female,45-60,straight,25_35,3,South,own,middling,Con,Con,38200,43.5,34.9,21.6
Female,60-75,straight,25_35,1,North,own,low,UKIP,UKIP,2000,27.6,71.3,1
Male,45-60,straight,50+,4,South,mortgage,high,Lab,Lab,13400,5.7,10.1,84.3
Male,18-29,gay,15_25,2,South,rent,low,DNV,DNV,2100,29,30.1,40.9
Male,60-75,straight,15_25,1,Midlands,own,middling,UKIP,UKIP,1500,15.6,83.6,0.8
Female,30-44,straight,25_35,5,South,rent,low,Oth,Con,3200,33.3,21.8,44.9
Female,75+,straight,25_35,3,Scotland,own,middling,Oth,Oth,2100,18.8,9.1,72.1
Female,30-44,gay,5_15,4,Midlands,rent,middling,Con,Con,1200,40.1,38.2,21.7
Male,30-44,straight,25_35,2,South,own,high,DNV,Lab,600,12.3,22,65.6
Male,30-44,straight,25_35,4,North,rent,high,Lab,Lab,5200,7.2,14.2,78.6
Female,60-75,straight,5_15,3,Wales,mortgage,high,Con,Con,300,35,50.7,14.3
Female,60-75,straight,15_25,3,Midlands,own,high,Con,Con,18500,37.1,47.2,15.7
Male,30-44,straight,50+,2,London,mortgage,high,Con,Oth,600,12.5,12.4,75.1
Male,45-60,straight,35_50,3,South,rent,high,Oth,Oth,900,9.7,17,73.3
Female,45-60,straight,15_25,2,Midlands,mortgage,low,Lab,Lab,2500,26,20,54
Male,30-44,straight,50+,4,London,mortgage,middling,Lab,Lab,19000,6.6,5.4,88
Male,30-44,straight,25_35,3,North,rent,high,Oth,Lab,1000,9.3,19.2,71.4
Female,60-75,straight,15_25,2,North,own,middling,UKIP,Con,12300,28.7,69,2.3
Male,60-75,straight,25_35,3,Midlands,own,middling,Con,Con,51600,38.9,45,16
Female,45-60,straight,15_25,2,Midlands,rent,middling,UKIP,Con,3700,26.3,71.5,2.2
Female,60-75,straight,35_50,4,South,own,middling,Lab,Lab,3900,12.1,8.2,79.7
Female,18-29,straight,15_25,4,Wales,rent,middling,Oth,Lab,1700,10.9,5.4,83.7
Female,60-75,straight,5_15,1,South,own,low,UKIP,Con,5800,29.8,68.6,1.7
Male,60-75,straight,35_50,3,Scotland,own,middling,Oth,Oth,9700,13.3,11.8,74.9
Female,30-44,straight,15_25,1,North,own,middling,Lab,DNV,1300,30.9,32.1,36.9
Male,60-75,gay,15_25,3,South,own,middling,UKIP,Con,1500,19.1,77.8,3.1
Male,45-60,gay,25_35,3,Midlands,mortgage,low,Con,Con,2000,39.1,45.9,15
Female,60-75,straight,25_35,4,Scotland,own,high,Lab,Lab,4000,8.6,10.6,80.8
Male,30-44,straight,35_50,5,South,mortgage,middling,DNV,Lab,4500,7.2,7,85.8
Female,45-60,straight,50+,4,North,own,middling,Oth,Oth,1600,12.9,6.4,80.7
Female,60-75,straight,25_35,2,North,own,high,Con,Con,7500,37,49.7,13.4
Female,60-75,gay,5_15,2,South,own,low,Oth,Con,1700,42.7,44.2,13
Female,45-60,straight,50+,3,South,mortgage,middling,Con,Lab,1300,17,10.5,72.4
Female,18-29,straight,25_35,4,South,rent,middling,Lab,DNV,900,16.9,10,73.1
Female,45-60,straight,5_15,3,South,rent,middling,Lab,Lab,8800,16.8,19.8,63.4
Male,60-75,straight,15_25,3,North,own,middling,Con,Lab,3600,20.6,25.9,53.5
Female,45-60,straight,50+,4,Scotland,mortgage,middling,Con,Con,4000,37.5,25.1,37.4
Male,30-44,straight,35_50,3,London,rent,low,Lab,Lab,8100,12.7,10.6,76.7
Female,30-44,straight,50+,3,South,mortgage,low,Con,Con,6000,49.2,21.6,29.2
Female,30-44,straight,35_50,4,Scotland,mortgage,low,DNV,DNV,4700,25,14.1,61
Male,60-75,straight,35_50,4,London,own,middling,Lab,Lab,4400,9.8,10,80.2
Male,45-60,straight,35_50,2,Scotland,mortgage,middling,Oth,DNV,4200,19.7,32.3,48
Male,60-75,straight,35_50,3,Midlands,own,high,DNV,Con,2400,28.6,53.3,18
Female,18-29,straight,15_25,3,South,rent,middling,DNV,Con,15800,44.2,27.4,28.4
Male,45-60,straight,50+,3,North,mortgage,middling,Con,Oth,1200,18.2,14.3,67.5
Male,45-60,straight,15_25,2,North,mortgage,low,Lab,Lab,9800,20.2,27.5,52.3
Female,60-75,straight,5_15,3,Scotland,rent,middling,Lab,Con,1200,35.6,45.2,19.2
Female,30-44,straight,35_50,3,North,mortgage,middling,Con,Con,10900,45.9,29.1,25
Female,75+,straight,5_15,1,South,own,low,Con,Con,5800,53.8,38,8.2
Female,45-60,straight,25_35,2,North,mortgage,middling,DNV,Con,4500,42.8,44.3,12.9
Male,30-44,straight,35_50,4,Wales,mortgage,high,UKIP,Con,700,19.5,71.5,9
Female,60-75,straight,15_25,2,North,own,middling,Con,Con,59900,46.3,42.7,11
Male,18-29,straight,15_25,5,South,rent,middling,Oth,Lab,2300,5.4,4.9,89.7
Male,45-60,straight,50+,2,North,mortgage,high,Con,Con,1400,27.7,54.4,18
Male,18-29,straight,25_35,3,North,rent,high,Con,Con,1700,30.1,40.6,29.3
Female,45-60,straight,35_50,3,North,mortgage,middling,Con,Con,18300,44.8,35.3,19.8
Female,30-44,gay,25_35,4,South,rent,middling,Lab,Lab,700,9.9,8.4,81.8
Female,60-75,straight,35_50,4,North,rent,high,DNV,Lab,600,14.3,18.3,67.4
Female,30-44,straight,5_15,1,South,rent,middling,Lab,Lab,1000,20,22.5,57.4
Male,60-75,gay,35_50,3,South,own,high,Con,Con,6400,25.7,53,21.3
Male,60-75,straight,35_50,4,London,own,middling,Oth,Lab,1500,9.9,10.1,80
Male,45-60,straight,35_50,4,Midlands,own,middling,Lab,Lab,6900,10.4,11.2,78.3
Male,75+,straight,25_35,1,Midlands,own,middling,Con,Con,2200,42.9,47.1,10
Male,18-29,straight,5_15,2,North,rent,middling,Con,Con,2900,39.4,43.4,17.2
Female,30-44,straight,15_25,3,South,mortgage,low,DNV,Con,4100,47.8,31.9,20.2
Female,45-60,straight,25_35,3,London,own,middling,Lab,Lab,4800,14.7,11.2,74.1
Female,45-60,straight,35_50,4,London,mortgage,middling,Lab,Lab,9100,10.5,7.5,82
Male,45-60,straight,15_25,2,North,mortgage,high,UKIP,Con,3000,12.2,85.9,1.9
Male,30-44,straight,35_50,3,North,mortgage,middling,Con,Con,15100,37.1,38.2,24.7
Female,45-60,gay,15_25,3,North,own,high,Lab,Lab,800,12.6,21.4,66
Female,18-29,straight,15_25,3,Midlands,rent,low,DNV,DNV,12100,37.7,18.4,43.9
Female,18-29,straight,35_50,5,South,rent,high,Con,Con,400,24.8,17.6,57.7
Male,45-60,straight,50+,4,North,mortgage,middling,Con,Con,21000,33.7,37,29.4
Male,18-29,straight,5_15,2,Midlands,rent,middling,DNV,Lab,4000,20.3,20.4,59.3
Female,60-75,straight,25_35,3,Scotland,own,high,Oth,Oth,9100,12.9,12.6,74.5
Male,60-75,straight,5_15,2,Midlands,own,middling,Oth,Oth,1000,22.7,27.1,50.3
Male,30-44,straight,25_35,4,North,rent,middling,DNV,Lab,4700,13.2,15.8,71.1
Male,60-75,straight,15_25,3,North,own,high,UKIP,Con,9700,14.2,83.3,2.5
Male,60-75,straight,25_35,3,South,own,middling,Oth,Oth,16800,15.5,15.1,69.4
Male,45-60,straight,35_50,3,North,mortgage,middling,Oth,Lab,8800,13.1,17.2,69.7
Male,45-60,straight,25_35,3,Scotland,mortgage,high,DNV,Con,400,22.5,56.3,21.2
Female,30-44,straight,25_35,4,North,mortgage,middling,Lab,Lab,19900,11.6,8.1,80.3
Male,30-44,straight,35_50,1,South,mortgage,middling,Lab,Lab,2800,13.8,16.8,69.4
Female,45-60,straight,50+,3,London,mortgage,high,Lab,Lab,3500,9.3,9.7,81
Female,60-75,straight,15_25,4,South,own,high,Oth,Lab,2400,10.3,13.8,75.9
Male,45-60,straight,50+,3,South,mortgage,middling,Oth,Oth,7100,11.8,10.3,77.9
Male,45-60,straight,50+,4,South,mortgage,middling,Con,Oth,3200,12.2,9,78.8
Male,30-44,straight,50+,5,South,mortgage,middling,Con,Lab,3000,6.5,5,88.5
Male,18-29,straight,50+,5,Midlands,mortgage,high,DNV,Con,700,21.3,20.4,58.3
Female,30-44,straight,35_50,2,North,mortgage,low,Con,Con,2600,53.9,28.9,17.2
Female,60-75,straight,5_15,3,South,own,low,Con,Con,4800,49.7,36.9,13.4
Male,30-44,straight,35_50,4,South,rent,high,UKIP,Con,600,16.7,74.9,8.4
Female,60-75,straight,5_15,3,South,own,middling,Con,Con,35500,43.7,41,15.2
Female,45-60,gay,25_35,3,Midlands,rent,middling,Con,Con,2600,42,42,16
Female,60-75,gay,35_50,2,Midlands,own,middling,Con,Con,2800,48.1,37.8,14.1
Male,60-75,straight,15_25,1,Midlands,own,middling,Con,Con,17900,36.4,55.2,8.4
Female,30-44,straight,35_50,4,London,rent,middling,Con,Con,1000,39.8,24.3,35.9
Female,30-44,straight,35_50,5,South,rent,low,Con,Oth,700,13.1,4.7,82.1
Male,30-44,gay,35_50,5,Midlands,mortgage,middling,Lab,Lab,2000,6.1,6.4,87.5
Male,60-75,straight,15_25,1,North,rent,middling,Con,Con,4400,31.6,61.5,6.9
Male,75+,straight,15_25,1,South,rent,high,Lab,Lab,1000,14.4,36.3,49.4
Female,30-44,straight,25_35,5,London,rent,high,Lab,Lab,1800,5.2,5.8,88.9
Female,60-75,straight,35_50,4,Midlands,own,high,Lab,Lab,4600,10.7,11,78.3
Male,45-60,straight,15_25,3,Midlands,rent,high,Con,Con,900,24.4,61.9,13.7
Male,45-60,straight,50+,3,London,own,high,UKIP,Con,1300,18.4,74.9,6.7
Female,60-75,straight,25_35,4,Scotland,own,high,Lab,DNV,300,15.4,22.3,62.3
Female,60-75,straight,5_15,3,Wales,own,low,Con,Con,1100,52.8,35,12.2
Male,75+,straight,25_35,3,South,own,middling,DNV,Con,4500,38.8,42.7,18.5
Male,30-44,straight,50+,2,Scotland,mortgage,low,Oth,Oth,1600,14.3,8.6,77.1
Female,45-60,straight,5_15,2,South,own,middling,DNV,Oth,1400,27.4,22,50.7
Male,45-60,straight,25_35,4,Scotland,own,middling,Oth,Oth,7200,9.6,9.5,80.8
Male,45-60,straight,25_35,1,South,rent,high,DNV,Con,800,21.2,68.6,10.2
Female,18-29,straight,35_50,3,London,mortgage,middling,Con,Lab,1400,14,4.9,81.2
Female,45-60,straight,35_50,2,Wales,mortgage,middling,Con,Con,1000,47.7,35.3,16.9
Male,60-75,straight,15_25,3,North,own,low,Con,DNV,3700,32.9,38.6,28.5
Female,45-60,straight,15_25,3,South,mortgage,middling,Oth,Lab,2400,15.8,15.3,69
Female,60-75,straight,5_15,1,North,rent,middling,DNV,Lab,3400,29.2,38.6,32.1
Male,60-75,straight,5_15,4,Midlands,rent,high,UKIP,Con,500,12.5,84.9,2.6
Male,60-75,gay,25_35,3,South,own,high,UKIP,Con,900,13.9,82.7,3.5
Male,45-60,straight,35_50,4,London,mortgage,middling,Lab,Lab,12100,8.6,9.8,81.6
Female,45-60,straight,15_25,2,South,own,middling,Lab,Con,800,38.7,41.9,19.4
Male,60-75,straight,5_15,3,South,own,high,DNV,Lab,400,13.4,32.8,53.8
Female,30-44,straight,5_15,4,Scotland,rent,middling,Oth,Oth,2200,12.2,8.7,79.1
Male,45-60,straight,50+,4,London,mortgage,high,Lab,Lab,10100,5.6,9.3,85.1
Female,18-29,straight,25_35,3,North,rent,low,DNV,Con,1500,52.7,23.9,23.4
Female,60-75,gay,5_15,1,Scotland,rent,high,Oth,Oth,400,17.5,33.3,49.2
Male,60-75,straight,35_50,4,Scotland,own,middling,Con,Con,6500,33.2,36.2,30.6
Female,45-60,gay,5_15,4,South,rent,low,DNV,Lab,2300,20.3,20.3,59.3
Male,30-44,straight,35_50,5,Midlands,rent,high,UKIP,Con,600,17.3,72.2,10.5
Female,18-29,straight,35_50,5,London,rent,middling,Lab,Lab,12400,5.4,2.3,92.3
Male,60-75,gay,25_35,2,South,own,middling,Con,Con,4200,34.2,51.8,14
Male,30-44,straight,35_50,4,Midlands,mortgage,high,Lab,Lab,6200,6.6,9.9,83.6
Male,30-44,straight,50+,5,Scotland,mortgage,low,Oth,Oth,1600,6,3.2,90.8
Male,45-60,straight,15_25,2,North,rent,middling,DNV,DNV,5000,24.4,52.9,22.6
Female,18-29,straight,25_35,4,North,rent,middling,Lab,Lab,19500,10.4,5.3,84.3
Male,60-75,straight,25_35,3,North,mortgage,middling,DNV,Con,1500,34.4,51.4,14.2
Female,45-60,straight,25_35,3,Midlands,own,low,DNV,Con,6400,51,33.4,15.5
Female,45-60,straight,50+,5,Scotland,mortgage,high,Con,Con,200,24,25.8,50.2
Male,30-44,straight,25_35,4,London,rent,middling,DNV,Lab,3600,11.3,12.3,76.4
Female,45-60,straight,35_50,3,South,mortgage,middling,Oth,Oth,5000,15.8,9.6,74.6
Female,45-60,straight,15_25,3,South,own,middling,Con,Con,12800,42.8,37.9,19.3
Female,60-75,straight,25_35,1,Scotland,own,middling,Oth,Con,900,40.5,42.2,17.3
Male,60-75,straight,35_50,3,London,mortgage,middling,Oth,Oth,1200,14.6,12.7,72.8
Female,45-60,straight,15_25,2,South,own,middling,UKIP,Con,6600,27.8,69,3.2
Female,30-44,straight,5_15,3,North,rent,middling,Lab,Lab,12200,17.4,16.9,65.7
Female,75+,straight,5_15,2,South,own,middling,Con,Con,6400,48.8,39.3,11.9
Female,30-44,straight,35_50,2,Wales,mortgage,middling,Lab,Lab,800,16.8,10.2,73
Male,60-75,straight,25_35,1,Wales,own,high,Lab,Lab,700,14.4,31.1,54.5
Male,45-60,straight,35_50,3,Wales,mortgage,middling,Lab,UKIP,1600,30.2,52.3,17.5
Female,18-29,straight,35_50,2,London,rent,high,DNV,Lab,800,13.4,9.8,76.8
Female,45-60,straight,5_15,4,South,rent,middling,UKIP,Oth,1000,24.5,49.1,26.4
Male,60-75,straight,15_25,2,North,mortgage,middling,UKIP,Oth,1000,22.4,64.6,12.9
Female,60-75,straight,25_35,5,London,rent,middling,Lab,Lab,2000,9.7,7.9,82.4
Male,18-29,straight,25_35,3,Wales,rent,high,Oth,Lab,1900,8.1,9.8,82.1
Female,45-60,straight,50+,4,South,own,middling,UKIP,Con,1900,34.3,55.5,10.2
Male,75+,straight,5_15,2,South,own,middling,Con,Con,1200,38.4,50.2,11.4
Male,60-75,straight,15_25,3,North,own,high,Lab,Lab,23700,11.7,26.9,61.4
Female,45-60,straight,5_15,1,South,rent,low,Lab,Lab,2700,25.5,28.4,46.1
Male,45-60,straight,35_50,3,London,mortgage,middling,Con,Con,14500,35.2,41,23.8
Male,60-75,straight,25_35,4,Scotland,own,middling,Oth,DNV,1500,16.7,24.4,58.9
Male,45-60,straight,25_35,2,London,own,low,Con,Con,4700,41.9,42.9,15.2
Female,30-44,straight,5_15,2,North,rent,low,Lab,Lab,4000,24.8,20.3,54.9
Male,18-29,straight,35_50,4,London,rent,high,DNV,Lab,7500,6.6,7.1,86.3
Male,60-75,gay,5_15,3,London,rent,middling,Con,Con,1600,30.2,57.2,12.6
Male,30-44,straight,25_35,3,South,rent,low,Con,Con,2800,39.8,38.7,21.4
Female,60-75,straight,15_25,2,Midlands,mortgage,middling,DNV,Lab,1200,28.9,26,45.1
Male,45-60,straight,35_50,3,Midlands,mortgage,middling,Con,Con,22500,37,43.4,19.6
Female,75+,straight,5_15,2,South,own,high,Con,DNV,400,29.6,40.9,29.5
Male,60-75,straight,15_25,1,North,own,middling,UKIP,Lab,1500,18.5,71.6,9.9
Female,75+,straight,15_25,3,London,rent,high,Oth,Lab,600,14.8,17.9,67.3
Male,30-44,straight,35_50,4,North,rent,high,Con,Con,4200,25.2,44.1,30.7
Male,60-75,straight,15_25,3,Midlands,mortgage,middling,Oth,Oth,700,19,20.4,60.7
Female,18-29,straight,15_25,2,South,own,middling,UKIP,Con,1300,39.8,53.1,7
Male,60-75,straight,15_25,4,London,rent,high,Lab,Lab,2500,8.3,19.8,71.9
Female,30-44,straight,35_50,4,South,mortgage,middling,Con,Con,25300,39.3,23.5,37.2
Male,75+,straight,5_15,1,North,rent,middling,Lab,Lab,1300,21.8,38.6,39.6
Female,60-75,straight,15_25,5,North,own,low,Oth,Oth,2100,16.8,8.6,74.6
Female,30-44,straight,50+,3,South,mortgage,high,Con,DNV,300,19.7,18.6,61.7
Male,60-75,straight,35_50,4,Midlands,own,middling,Lab,Lab,6900,11.8,12.2,76
Female,60-75,straight,15_25,1,South,own,middling,Con,Con,44200,44.7,44.7,10.6
Male,60-75,straight,15_25,3,South,mortgage,middling,Lab,Oth,900,16,18.5,65.5
Male,60-75,straight,15_25,3,South,own,middling,Oth,Oth,12000,16.3,17.5,66.2
Female,60-75,straight,5_15,3,North,own,high,UKIP,Con,1300,19.4,78.1,2.5
Female,45-60,straight,50+,4,South,mortgage,high,Oth,Oth,2500,8.1,6.8,85.2
Female,18-29,straight,25_35,4,Scotland,rent,middling,Con,Oth,900,12.2,4.2,83.6
Male,60-75,straight,35_50,4,North,mortgage,middling,Lab,Lab,6000,11.5,13.9,74.6
Male,30-44,straight,35_50,3,Scotland,own,high,Con,Con,1200,26.1,40,33.9
Female,18-29,straight,25_35,3,Midlands,rent,middling,Oth,Oth,500,16,5.9,78.1
Male,30-44,straight,50+,4,North,mortgage,middling,Oth,Oth,4100,9.1,6.3,84.6
Male,60-75,straight,25_35,4,South,own,middling,Con,Con,19100,34.2,40.9,25
Female,75+,straight,5_15,3,North,rent,low,DNV,DNV,4400,41.9,35.1,23.1
Male,30-44,straight,35_50,5,London,rent,middling,Lab,Lab,11600,5.4,5.4,89.2
Female,60-75,straight,35_50,3,North,own,middling,Con,Con,25300,48,33.7,18.3
Female,75+,straight,15_25,2,Midlands,own,low,DNV,DNV,4900,47.3,29.8,23
Female,30-44,straight,25_35,3,Scotland,rent,middling,DNV,Lab,2000,16.3,12.3,71.4
Female,60-75,straight,35_50,3,North,own,high,Oth,Oth,800,15.5,13.8,70.8
Male,18-29,straight,35_50,4,South,mortgage,high,DNV,Lab,1200,6.4,6.7,86.9
Female,45-60,gay,5_15,2,Midlands,rent,high,UKIP,Lab,400,14.9,74,11.2
Female,30-44,straight,15_25,4,Scotland,mortgage,middling,Oth,Lab,1100,9.6,7.3,83.1
Male,30-44,straight,35_50,4,London,mortgage,high,Oth,Lab,2100,5.4,8.1,86.5
Male,60-75,straight,15_25,2,North,mortgage,low,Lab,Lab,4500,22.2,28.8,49
Female,30-44,straight,50+,3,Wales,mortgage,middling,Oth,Oth,700,14.1,5.5,80.4
Female,60-75,straight,15_25,3,South,own,middling,Con,Oth,9700,25.7,15,59.3
Female,45-60,straight,50+,4,South,mortgage,low,Con,Con,6000,45.3,23.8,30.9
Male,45-60,straight,35_50,4,North,own,middling,UKIP,Con,2500,23.4,70.5,6
Male,45-60,straight,50+,4,Scotland,mortgage,middling,Lab,Con,3000,24.9,30.8,44.4
Male,60-75,gay,15_25,1,North,own,middling,Con,Con,7600,31.9,60.3,7.8
Female,30-44,straight,35_50,4,South,mortgage,low,Con,Con,16800,45.3,21.5,33.2
Female,30-44,gay,25_35,4,North,rent,middling,Con,Con,1200,39.7,33.6,26.7
Female,60-75,straight,15_25,3,Wales,own,middling,Con,Con,17600,48,36.2,15.8
Female,45-60,gay,25_35,4,South,own,middling,Lab,Lab,1500,10.9,9.8,79.2
Female,60-75,straight,15_25,2,South,own,middling,Oth,Lab,9200,20.9,19.3,59.8
Female,45-60,straight,25_35,3,Wales,mortgage,middling,Con,Con,3400,45.7,35,19.3
Female,60-75,straight,5_15,4,South,own,middling,UKIP,Con,3300,28.3,67,4.7
Male,30-44,straight,50+,5,South,mortgage,high,Lab,Lab,13100,3.3,4.7,91.9
Female,30-44,straight,50+,5,North,mortgage,high,Oth,Oth,1000,5.7,3.9,90.4
Male,60-75,straight,15_25,2,Scotland,own,middling,Oth,Con,1200,30.6,51.6,17.8
Male,45-60,straight,25_35,2,South,own,high,UKIP,UKIP,600,11,87.4,1.6
Female,60-75,straight,35_50,4,London,mortgage,middling,Lab,Lab,1700,12,8.1,79.9
