sex,age_bucket,lgbtq,inc_bucket,educ_n,region6,tenure3,poli_int_bucket,ge15_5,ge17_5,pop,pred_deal,pred_no_deal,pred_remain
Female,18-29,straight,35_50,5,Wales,own,middling,Con,DNV,800,16.9,6,77.1
Male,45-60,straight,35_50,3,North,own,middling,Lab,Lab,10100,13.1,16,71
Female,45-60,straight,15_25,2,Scotland,own,middling,DNV,Oth,2100,24.7,18,57.3
Male,45-60,straight,25_35,2,Scotland,own,middling,Oth,Oth,4000,15.1,16.6,68.3
Male,45-60,straight,35_50,3,South,mortgage,middling,UKIP,Con,8400,22.2,72.8,5
Female,45-60,straight,15_25,4,South,own,middling,Oth,Oth,700,14,9.3,76.7
Female,18-29,straight,35_50,5,North,mortgage,middling,Lab,Lab,1100,6.3,2.6,91.1
Male,18-29,straight,25_35,4,North,own,high,DNV,Lab,800,8.2,9.1,82.7
Female,60-75,straight,35_50,4,North,own,high,UKIP,Con,3300,24.4,69.5,6.1
Male,30-44,straight,25_35,5,North,rent,middling,Lab,Oth,1500,8,7.5,84.4
Male,60-75,straight,25_35,3,North,own,high,UKIP,Con,11300,15.4,81.7,3
Female,30-44,straight,35_50,4,Scotland,mortgage,middling,DNV,Oth,4500,12.7,5.8,81.5
Female,45-60,gay,35_50,3,North,mortgage,low,DNV,DNV,3500,34.7,29.1,36.2
Male,60-75,straight,5_15,1,North,rent,low,DNV,Con,3400,32.8,62.2,5
Female,30-44,straight,15_25,5,Wales,rent,middling,Lab,Lab,1000,9,6.6,84.4
Female,45-60,straight,15_25,2,North,rent,middling,Oth,Lab,2100,21.3,24.7,53.9
Female,30-44,straight,15_25,1,South,rent,low,DNV,DNV,5000,37.8,34.9,27.3
Male,30-44,straight,5_15,2,North,rent,low,DNV,Lab,12100,24.2,31.3,44.5
Male,45-60,straight,35_50,3,South,mortgage,middling,DNV,Oth,5000,16.8,16.1,67.1
Female,45-60,straight,15_25,3,North,rent,middling,Lab,Lab,17700,18.3,19.8,61.9
Male,18-29,straight,15_25,3,South,rent,middling,DNV,Con,5300,35.8,36.1,28.1
Male,60-75,gay,15_25,3,Midlands,own,middling,UKIP,Con,1900,20.2,77.1,2.6
Female,30-44,gay,25_35,2,North,rent,high,Lab,Lab,300,13.2,20.5,66.3
Male,60-75,straight,25_35,3,North,own,high,UKIP,UKIP,1300,12,86.4,1.6
Male,30-44,straight,5_15,3,Scotland,rent,middling,Lab,Oth,1300,12.7,15.1,72.2
Female,30-44,straight,35_50,4,South,mortgage,middling,Lab,Lab,20600,9,5.5,85.4
Female,60-75,straight,15_25,2,London,rent,middling,DNV,Lab,2100,26,25.4,48.6
Male,45-60,straight,25_35,2,London,rent,middling,Lab,Lab,11800,14.5,22.5,63
