country,LogTourists,NoPopModPredictedLogCases,LogCases,NoPopModResidualLogCases,NoPopModPredictedCases,cases,NoPopModResidualCases,oecd
Algeria,7.31777744909453,-0.158064839599401,2.56494935746154,2.72301419706094,0.853794420485498,12,11.1462055795145,FALSE
Angola,7.29966552314102,-0.178554018695852,0,0.178554018695852,0.836478870159266,0,-0.836478870159266,FALSE
Argentina,8.12565686384444,0.755851552265042,0.693147180559945,-0.0627043717050971,2.1294240673956,1,-1.1294240673956,FALSE
Australia,11.95285318955,5.0853806788717,3.97029191355212,-1.11508876531958,161.641461015836,52,-109.641461015836,TRUE
Austria,9.22000681396884,1.99383873153279,3.40119738166216,1.40735865012936,7.34367010181791,29,21.6563298981821,TRUE
Azerbaijan,9.56517233288266,2.38430842277922,1.38629436111989,-0.99801406165933,10.851555380775,3,-7.85155538077501,FALSE
Bahrain,9.44348826879624,2.24665290294933,3.97029191355212,1.7236390106028,9.45603255030849,52,42.5439674496915,FALSE
Bangladesh,9.72469900646193,2.56477352593924,0,-2.56477352593924,12.9977143911571,0,-12.9977143911571,FALSE
Belarus,9.22435269698769,1.99875502678124,1.94591014905531,-0.0528448777259316,7.37986264596442,6,-1.37986264596442,FALSE
Belgium,9.23585078280349,2.01176227626708,3.17805383034795,1.16629155408087,7.4764813702698,23,15.5235186297302,TRUE
Bolivia,8.04493810732829,0.664538178803415,0,-0.664538178803415,1.94359272172492,0,-1.94359272172492,FALSE
Bosnia and Herzegovina,9.15685690862441,1.92240018193585,0,-1.92240018193585,6.83734967366129,0,-6.83734967366129,FALSE
Botswana,7.13525597175908,-0.364542894317285,0,0.364542894317285,0.694514044647738,0,-0.694514044647738,FALSE
Brazil,8.2099575871073,0.85121703804092,1.6094379124341,0.758220874393181,2.34249602457117,4,1.65750397542883,FALSE
Brunei Darussalam,9.34816853444928,2.13882212264059,0,-2.13882212264059,8.48943222746007,0,-8.48943222746007,FALSE
Bulgaria,9.20547859303717,1.97740363118037,0,-1.97740363118037,7.22396254413158,0,-7.22396254413158,FALSE
Cambodia,9.59520657222188,2.41828476027234,0.693147180559945,-1.7251375797124,11.2265865036841,1,-10.2265865036841,FALSE
Cameroon,7.28798287281753,-0.191770057421582,0,0.191770057421582,0.82549666350115,0,-0.82549666350115,FALSE
Canada,9.59715544162816,2.42048942555219,3.52636052461616,1.10587109906397,11.2513646729084,33,21.7486353270916,TRUE
Chile,8.07528290392103,0.698865835267442,0.693147180559945,-0.00571865470749711,2.01147007485496,1,-1.01147007485496,TRUE
Colombia,8.13186044424277,0.76286937412158,0,-0.76286937412158,2.1444205459172,0,-2.1444205459172,FALSE
Cote D'Ivoire,7.28763986050875,-0.192158091286389,0,0.192158091286389,0.825176404980021,0,-0.825176404980021,FALSE
Croatia,9.17056320793058,1.93790548059677,2.39789527279837,0.459989792201597,6.94419098511605,10,3.05580901488395,FALSE
Cyprus,9.42385423272077,2.22444183149458,0,-2.22444183149458,9.24831924244305,0,-9.24831924244305,FALSE
Czech Republic,9.23139385482774,2.00672036102574,2.19722457733622,0.190504216310483,7.43888045486574,8,0.561119545134256,TRUE
Denmark,10.3776779166843,3.30345818443965,2.39789527279837,-0.905562911641276,27.2065617342952,10,-17.2065617342952,TRUE
Djibouti,7.07507555615235,-0.43262219834217,0,0.43262219834217,0.64880556532566,0,-0.64880556532566,FALSE
Ecuador,8.06977953081712,0.692640125342942,2.39789527279837,1.70525514745543,1.99898614662754,10,8.00101385337246,FALSE
Egypt,10.2303602896128,3.13680460751577,1.09861228866811,-2.03819231884766,23.0301587620707,2,-21.0301587620707,FALSE
Estonia,9.09343605849163,1.85065512510671,1.09861228866811,-0.752042836438597,6.36398736512529,2,-4.36398736512529,TRUE
Eswatini,7.08731074568397,-0.418781097719526,0,0.418781097719526,0.657848183975192,0,-0.657848183975192,FALSE
Fiji,8.21465693714227,0.856533194078139,0,-0.856533194078139,2.35498225893281,0,-2.35498225893281,FALSE
Finland,9.19005232863695,1.95995261603726,1.94591014905531,-0.0140424669819483,7.09899067887723,6,-1.09899067887723,TRUE
France,12.061119125205,5.20785689434284,5.65599181081985,0.448134916477017,182.702088448123,285,102.297911551877,TRUE
Gabon,7.13103168414707,-0.369321634339711,0,0.369321634339711,0.691203060054637,0,-0.691203060054637,FALSE
Georgia,9.50241493631223,2.31331390009515,1.38629436111989,-0.927019538975259,10.1078656713261,3,-7.10786567132607,FALSE
Germany,11.9682246366397,5.10276968174196,5.57215403217777,0.469384350435802,164.47682548031,262,97.5231745196902,TRUE
Ghana,7.29766763197742,-0.180814140008806,0,0.180814140008806,0.834590461257443,0,-0.834590461257443,FALSE
Greece,9.23198399729955,2.00738796174519,2.30258509299405,0.295197131248854,7.44384831489831,9,1.5561516851017,TRUE
Guam,8.08432546707929,0.709095266224493,0,-0.709095266224493,2.03215187025983,0,-2.03215187025983,FALSE
Guyana,7.86473411124821,0.460681782799014,0,-0.460681782799014,1.5851543476343,0,-1.5851543476343,FALSE
Hungary,9.22618344258797,2.00082606409557,1.09861228866811,-0.90221377542746,7.3951624546475,2,-5.3951624546475,TRUE
Iceland,8.99526255646895,1.73959601021016,3.29583686600433,1.55624085579417,5.69504221896273,26,20.3049577810373,TRUE
India,10.6366844294709,3.59646020097021,3.36729582998647,-0.229164370983736,36.4689130697741,28,-8.46891306977411,FALSE
Indonesia,12.5839181532622,5.79927510932511,1.09861228866811,-4.700662820657,330.06021559846,2,-328.06021559846,FALSE
Iran,9.68809298018786,2.52336283166719,7.98036576511125,5.45700293344405,12.4704622961004,2922,2909.5295377039,FALSE
Iraq,9.64575286003068,2.47546542378839,3.58351893845611,1.10805351466772,11.8872384293398,35,23.1127615706602,FALSE
Ireland,9.18175203312058,1.95056287792631,1.94591014905531,-0.00465272887099943,7.03264498734332,6,-1.03264498734332,TRUE
Israel,9.55816132608489,2.37637719700595,2.77258872223978,0.396211525233836,10.7658296494998,15,4.2341703505002,TRUE
Italy,11.9192202288189,5.0473332753138,8.03592636989179,2.988593094578,155.606949806616,3089,2933.39305019338,TRUE
