"","country","cases","continent","km_centroid_dist_to_china","oecd","pop","gdppc_ppp","temp_jan","temp_feb","temp_year","outbound_tour_groups_Q3_2019","outbound_tour_groups_Q3_2019_improved","outbound_tour_groups_Q1_Q3_2019","outbound_tour_groups_Q1_Q3_2019_improved","inbound_tour_groups_Q3_2019_1","inbound_tour_groups_Q3_2019_1_improved","inbound_tour_groups_Q3_2019_2","inbound_tour_groups_Q3_2019_2_improved","inbound_tour_groups_Q1_Q3_2019_1","inbound_tour_groups_Q1_Q3_2019_1_improved","inbound_tour_groups_Q1_Q3_2019_2","inbound_tour_groups_Q1_Q3_2019_2_improved","total_tourists_Q3","in_tourists_Q3","out_tourists_Q3","total_tourists_Q3_improved","in_tourists_Q3_improved","out_tourists_Q3_improved","wuhan_flights_october","wuhan_flights_november","wuhan_flights_december","wuhan_flights_january","wuhan_flights_february","wuhan_flights_total","wuhan_flight_passengers_december","predicted_rf_all_vars"
"1","Algeria",5,"Africa",9102.51491602468,FALSE,42228429,15481.7876195754,11.2808193,12.028022,17.598158,0,3012.70238360563,0,7915.1721109495,0,0,0,0,0,0,0,0,0,0,0,3012.70238360563,0,3012.70238360563,0,0,0,0,0,0,48,21.9460833333334
"2","Angola",0,"Africa",10489.8740365683,FALSE,30809762,6452.35516529031,26.7,28.5,25.8,0,2958.60976861858,0,7773.05639454692,0,0,0,0,0,0,0,0,0,0,0,2958.60976861858,0,2958.60976861858,0,0,0,0,0,0,3,18.08645
"3","Argentina",1,"Americas",19016.0102016356,FALSE,44494502,20610.5685495282,24.6960946,23.416969,17.697453,0,5588.71297268984,0,14260.8900111889,0,1170.46194705666,0,1892.34583826166,0,3578.37068651079,0,4798.0890148338,0,0,0,6759.1749197465,1170.46194705666,5588.71297268984,0,0,0,0,0,0,10,30.3884233333334
"4","Australia",33,"Oceania",7593.29903004739,TRUE,24992369,51663.3650948449,22.4552224,22.509158,17.510351,260700,260700,688594,688594,49818,49818,93884,93884,144659,144659,269254,269254,310518,49818,260700,310518,49818,260700,13,13,13,12,0,51,4508,181.362083333334
"5","Austria",24,"Europe",7097.26449545223,TRUE,8847037,55454.689293289,0.3,1.5,10.4,0,18268.9044780545,0,44697.618704424,0,1924.36178087425,0,3166.39406622491,0,5366.4242509906,0,7733.58816592787,0,0,0,20193.2662589288,1924.36178087425,18268.9044780545,0,0,0,0,0,0,61,19.2595833333333
"6","Azerbaijan",3,"Asia",4833.83738798431,FALSE,9942334,18044.1367837983,4.4,4.2,15.1,0,25530.3804123198,0,73656.0657586852,0,2987.43999391304,0,2899.278267018,0,8340.09278994338,0,8048.58712472892,0,0,0,28517.8204062328,2987.43999391304,25530.3804123198,0,0,0,0,0,0,17,25.8533833333333
"7","Bahrain",49,"Asia",5137.2332581795,FALSE,1569439,47303.0485062895,17.2,18,26.5,0,22605.2127023567,0,65216.851703878,0,2645.1512044585,0,2567.09069159173,0,7384.51869612901,0,7126.41257081115,0,0,0,25250.3639068152,2645.1512044585,22605.2127023567,0,0,0,0,0,0,19,39.8769633333334
"8","Bangladesh",0,"Asia",1918.8695754178,FALSE,161356039,4371.75498582046,18.6,22,25.9,0,29946.1562029753,0,86395.737740039,0,3504.1524356435,0,3400.74211421136,0,9782.6086960472,0,9440.68374061833,0,0,0,33450.3086386188,3504.1524356435,29946.1562029753,0,0,0,0,0,0,224,250.975976666667
"9","Belarus",1,"Europe",5945.70433192033,FALSE,9485386,19994.8040788005,-7,-5,6.7,0,18348.4757099275,0,44892.3016744056,0,1932.74344588637,0,3180.18547209423,0,5389.79801097261,0,7767.27224030136,0,0,0,20281.2191558139,1932.74344588637,18348.4757099275,0,0,0,0,0,0,14,70.1139633333334
"10","Belgium",8,"Europe",7540.91409975606,TRUE,11422068,51407.9983373414,3.3,3.7,10.5,0,18560.6760717236,0,45411.481730982,0,1955.09564914074,0,3216.96435871271,0,5452.13109553056,0,7857.10084544644,0,0,0,20515.7717208644,1955.09564914074,18560.6760717236,0,0,0,0,0,0,27,15.56083
