participant_country,participant_country_id,participant_maddison_code,participant_region,participant_deaths,conflict_name,conflict_start_year,conflict_end_year,COW_id,UCDP_id,state_conflict_type,year,year_deaths_share,year_deaths
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2010,0.101265823,16
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2011,0.025316456,4
Czech Republic,316,CZE,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2007,0.1,1
Czech Republic,316,CZE,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2008,0.2,2
Czech Republic,316,CZE,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2011,0.2,2
Czech Republic,316,CZE,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2014,0.5,5
Denmark,390,DNK,Europe,43,War in Afghanistan,2001,2017,,418,Interstate,2002,0.069767442,3
Denmark,390,DNK,Europe,43,War in Afghanistan,2001,2017,,418,Interstate,2004,0.023255814,1
Denmark,390,DNK,Europe,43,War in Afghanistan,2001,2017,,418,Interstate,2007,0.139534884,6
Denmark,390,DNK,Europe,43,War in Afghanistan,2001,2017,,418,Interstate,2008,0.302325581,13
Denmark,390,DNK,Europe,43,War in Afghanistan,2001,2017,,418,Interstate,2009,0.162790698,7
Denmark,390,DNK,Europe,43,War in Afghanistan,2001,2017,,418,Interstate,2010,0.209302326,9
Denmark,390,DNK,Europe,43,War in Afghanistan,2001,2017,,418,Interstate,2011,0.069767442,3
Denmark,390,DNK,Europe,43,War in Afghanistan,2001,2017,,418,Interstate,2013,0.023255814,1
Estonia,366,EST,Europe,9,War in Afghanistan,2001,2017,,418,Interstate,2007,0.222222222,2
Estonia,366,EST,Europe,9,War in Afghanistan,2001,2017,,418,Interstate,2008,0.111111111,1
Estonia,366,EST,Europe,9,War in Afghanistan,2001,2017,,418,Interstate,2009,0.444444444,4
Estonia,366,EST,Europe,9,War in Afghanistan,2001,2017,,418,Interstate,2010,0.111111111,1
Estonia,366,EST,Europe,9,War in Afghanistan,2001,2017,,418,Interstate,2011,0.111111111,1
Finland,375,FIN,Europe,2,War in Afghanistan,2001,2017,,418,Interstate,2007,0.5,1
Finland,375,FIN,Europe,2,War in Afghanistan,2001,2017,,418,Interstate,2011,0.5,1
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2004,0.034883721,3
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2005,0.023255814,2
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2006,0.069767442,6
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2007,0.034883721,3
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2008,0.127906977,11
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2009,0.127906977,11
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2010,0.186046512,16
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2011,0.302325581,26
France,220,FRA,Europe,86,War in Afghanistan,2001,2017,,418,Interstate,2012,0.093023256,8
Georgia,372,GEO,Europe,29,War in Afghanistan,2001,2017,,418,Interstate,2010,0.172413793,5
Georgia,372,GEO,Europe,29,War in Afghanistan,2001,2017,,418,Interstate,2011,0.172413793,5
Georgia,372,GEO,Europe,29,War in Afghanistan,2001,2017,,418,Interstate,2012,0.24137931,7
Georgia,372,GEO,Europe,29,War in Afghanistan,2001,2017,,418,Interstate,2013,0.344827586,10
Georgia,372,GEO,Europe,29,War in Afghanistan,2001,2017,,418,Interstate,2015,0.034482759,1
Georgia,372,GEO,Europe,29,War in Afghanistan,2001,2017,,418,Interstate,2017,0.034482759,1
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2002,0.185185185,10
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2003,0.111111111,6
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2005,0.074074074,4
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2007,0.12962963,7
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2008,0.055555556,3
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2009,0.12962963,7
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2010,0.166666667,9
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2011,0.12962963,7
Germany,255,DEU,Europe,54,War in Afghanistan,2001,2017,,418,Interstate,2013,0.018518519,1
Hungary,310,HUN,Europe,7,War in Afghanistan,2001,2017,,418,Interstate,2008,0.285714286,2
Hungary,310,HUN,Europe,7,War in Afghanistan,2001,2017,,418,Interstate,2010,0.285714286,2
Hungary,310,HUN,Europe,7,War in Afghanistan,2001,2017,,418,Interstate,2011,0.428571429,3
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2004,0.020833333,1
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2005,0.041666667,2
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2006,0.125,6
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2007,0.041666667,2
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2008,0.041666667,2
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2009,0.1875,9
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2010,0.25,12
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2011,0.166666667,8
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2012,0.104166667,5
Italy,325,ITA,Europe,48,War in Afghanistan,2001,2017,,418,Interstate,2013,0.020833333,1
Jordan,663,JOR,Middle East,2,War in Afghanistan,2001,2017,,418,Interstate,2009,0.5,1
Jordan,663,JOR,Middle East,2,War in Afghanistan,2001,2017,,418,Interstate,2011,0.5,1
Latvia,367,LVA,Europe,3,War in Afghanistan,2001,2017,,418,Interstate,2008,0.333333333,1
Latvia,367,LVA,Europe,3,War in Afghanistan,2001,2017,,418,Interstate,2009,0.666666667,2
Lithuania,368,LTU,Europe,1,War in Afghanistan,2001,2017,,418,Interstate,2008,1,1
Netherlands,210,NLD,Europe,25,War in Afghanistan,2001,2017,,418,Interstate,2006,0.16,4
Netherlands,210,NLD,Europe,25,War in Afghanistan,2001,2017,,418,Interstate,2007,0.32,8
Netherlands,210,NLD,Europe,25,War in Afghanistan,2001,2017,,418,Interstate,2008,0.24,6
Netherlands,210,NLD,Europe,25,War in Afghanistan,2001,2017,,418,Interstate,2009,0.12,3
Netherlands,210,NLD,Europe,25,War in Afghanistan,2001,2017,,418,Interstate,2010,0.16,4
New Zealand,920,NZL,Asia,11,War in Afghanistan,2001,2017,,418,Interstate,2010,0.090909091,1
New Zealand,920,NZL,Asia,11,War in Afghanistan,2001,2017,,418,Interstate,2011,0.363636364,4
New Zealand,920,NZL,Asia,11,War in Afghanistan,2001,2017,,418,Interstate,2012,0.545454545,6
Norway,385,NOR,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2004,0.1,1
Norway,385,NOR,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2007,0.2,2
Norway,385,NOR,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2009,0.1,1
Norway,385,NOR,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2010,0.5,5
Norway,385,NOR,Europe,10,War in Afghanistan,2001,2017,,418,Interstate,2011,0.1,1
Poland,290,POL,Europe,40,War in Afghanistan,2001,2017,,418,Interstate,2007,0.025,1
Poland,290,POL,Europe,40,War in Afghanistan,2001,2017,,418,Interstate,2008,0.175,7
Poland,290,POL,Europe,40,War in Afghanistan,2001,2017,,418,Interstate,2009,0.2,8
Poland,290,POL,Europe,40,War in Afghanistan,2001,2017,,418,Interstate,2010,0.15,6
Poland,290,POL,Europe,40,War in Afghanistan,2001,2017,,418,Interstate,2011,0.325,13
Poland,290,POL,Europe,40,War in Afghanistan,2001,2017,,418,Interstate,2013,0.1,4
Poland,290,POL,Europe,40,War in Afghanistan,2001,2017,,418,Interstate,2014,0.025,1
Portugal,235,PRT,Europe,2,War in Afghanistan,2001,2017,,418,Interstate,2005,0.5,1
Portugal,235,PRT,Europe,2,War in Afghanistan,2001,2017,,418,Interstate,2007,0.5,1
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2003,0.083333333,2
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2005,0.041666667,1
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2006,0.041666667,1
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2007,0.041666667,1
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2008,0.125,3
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2009,0.125,3
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2010,0.25,6
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2011,0.083333333,2
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2013,0.083333333,2
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2016,0.083333333,2
Romania,360,ROU,Europe,24,War in Afghanistan,2001,2017,,418,Interstate,2017,0.041666667,1
Slovakia,317,SVK,Europe,3,War in Afghanistan,2001,2017,,418,Interstate,2013,1,3
South Korea,732,KOR,Asia,1,War in Afghanistan,2001,2017,,418,Interstate,2007,1,1
Spain,230,ESP,Europe,34,War in Afghanistan,2001,2017,,418,Interstate,2005,0.529411765,18
Spain,230,ESP,Europe,34,War in Afghanistan,2001,2017,,418,Interstate,2006,0.029411765,1
Spain,230,ESP,Europe,34,War in Afghanistan,2001,2017,,418,Interstate,2007,0.117647059,4
Spain,230,ESP,Europe,34,War in Afghanistan,2001,2017,,418,Interstate,2008,0.058823529,2
Spain,230,ESP,Europe,34,War in Afghanistan,2001,2017,,418,Interstate,2009,0.029411765,1
Spain,230,ESP,Europe,34,War in Afghanistan,2001,2017,,418,Interstate,2010,0.117647059,4
Spain,230,ESP,Europe,34,War in Afghanistan,2001,2017,,418,Interstate,2011,0.117647059,4
Sweden,380,SWE,Europe,5,War in Afghanistan,2001,2017,,418,Interstate,2005,0.4,2
Sweden,380,SWE,Europe,5,War in Afghanistan,2001,2017,,418,Interstate,2010,0.6,3
Turkey,640,TUR,Europe,14,War in Afghanistan,2001,2017,,418,Interstate,2009,0.142857143,2
Turkey,640,TUR,Europe,14,War in Afghanistan,2001,2017,,418,Interstate,2012,0.857142857,12
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2002,0.006593407,3
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2004,0.002197802,1
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2005,0.002197802,1
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2006,0.085714286,39
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2007,0.092307692,42
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2008,0.112087912,51
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2009,0.237362637,108
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2010,0.226373626,103
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2011,0.101098901,46
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2012,0.096703297,44
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2013,0.01978022,9
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2014,0.013186813,6
United Kingdom,200,GBR,Europe,455,War in Afghanistan,2001,2017,,418,Interstate,2015,0.004395604,2
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2001,0.004987531,12
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2002,0.020365752,49
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2003,0.019950125,48
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2004,0.021612635,52
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2005,0.041147132,99
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2006,0.040731505,98
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2007,0.048628429,117
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2008,0.064422278,155
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2009,0.131753948,317
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2010,0.207398171,499
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2011,0.173732336,418
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2012,0.128844555,310
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2013,0.053200333,128
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2014,0.022859518,55
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2015,0.00872818,21
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2016,0.005403159,13
United States,2,USA,Americas,2406,War in Afghanistan,2001,2017,,418,Interstate,2017,0.006234414,15
Australia,900,AUS,Asia,2,War in Iraq,2003,2017,,259,Interstate,2005,0.5,1
Australia,900,AUS,Asia,2,War in Iraq,2003,2017,,259,Interstate,2006,0.5,1
Azerbaijan,373,AZE,Europe,1,War in Iraq,2003,2017,,259,Interstate,2008,1,1
Bulgaria,355,BGR,Europe,13,War in Iraq,2003,2017,,259,Interstate,2003,0.384615385,5
Bulgaria,355,BGR,Europe,13,War in Iraq,2003,2017,,259,Interstate,2004,0.153846154,2
Bulgaria,355,BGR,Europe,13,War in Iraq,2003,2017,,259,Interstate,2005,0.461538462,6
Canada,20,CAN,Americas,1,War in Iraq,2003,2017,,259,Interstate,2015,1,1
Czech Republic,316,CZE,Europe,1,War in Iraq,2003,2017,,259,Interstate,2003,1,1
Denmark,390,DNK,Europe,7,War in Iraq,2003,2017,,259,Interstate,2003,0.142857143,1
Denmark,390,DNK,Europe,7,War in Iraq,2003,2017,,259,Interstate,2005,0.142857143,1
Denmark,390,DNK,Europe,7,War in Iraq,2003,2017,,259,Interstate,2006,0.571428571,4
Denmark,390,DNK,Europe,7,War in Iraq,2003,2017,,259,Interstate,2007,0.142857143,1
El Salvador,92,SLV,Americas,5,War in Iraq,2003,2017,,259,Interstate,2004,0.2,1
El Salvador,92,SLV,Americas,5,War in Iraq,2003,2017,,259,Interstate,2005,0.2,1
El Salvador,92,SLV,Americas,5,War in Iraq,2003,2017,,259,Interstate,2006,0.6,3
Estonia,366,EST,Europe,2,War in Iraq,2003,2017,,259,Interstate,2004,1,2
France,220,FRA,Europe,1,War in Iraq,2003,2017,,259,Interstate,2017,1,1
Georgia,372,GEO,Europe,5,War in Iraq,2003,2017,,259,Interstate,2007,0.4,2
Georgia,372,GEO,Europe,5,War in Iraq,2003,2017,,259,Interstate,2008,0.6,3
Germany,255,DEU,Europe,1,War in Iraq,2003,2017,,259,Interstate,2015,1,1
Hungary,310,HUN,Europe,1,War in Iraq,2003,2017,,259,Interstate,2004,1,1
Italy,325,ITA,Europe,33,War in Iraq,2003,2017,,259,Interstate,2003,0.515151515,17
Italy,325,ITA,Europe,33,War in Iraq,2003,2017,,259,Interstate,2004,0.060606061,2
Italy,325,ITA,Europe,33,War in Iraq,2003,2017,,259,Interstate,2005,0.242424242,8
Italy,325,ITA,Europe,33,War in Iraq,2003,2017,,259,Interstate,2006,0.181818182,6
Kazakhstan,705,KAZ,Asia,1,War in Iraq,2003,2017,,259,Interstate,2005,1,1
Latvia,367,LVA,Europe,3,War in Iraq,2003,2017,,259,Interstate,2004,0.333333333,1
Latvia,367,LVA,Europe,3,War in Iraq,2003,2017,,259,Interstate,2006,0.666666667,2
Netherlands,210,NLD,Europe,2,War in Iraq,2003,2017,,259,Interstate,2004,1,2
Poland,290,POL,Europe,23,War in Iraq,2003,2017,,259,Interstate,2003,0.086956522,2
Poland,290,POL,Europe,23,War in Iraq,2003,2017,,259,Interstate,2004,0.608695652,14
Poland,290,POL,Europe,23,War in Iraq,2003,2017,,259,Interstate,2005,0.043478261,1
Poland,290,POL,Europe,23,War in Iraq,2003,2017,,259,Interstate,2006,0.043478261,1
Poland,290,POL,Europe,23,War in Iraq,2003,2017,,259,Interstate,2007,0.217391304,5
Romania,360,ROU,Europe,3,War in Iraq,2003,2017,,259,Interstate,2006,0.666666667,2
Romania,360,ROU,Europe,3,War in Iraq,2003,2017,,259,Interstate,2007,0.333333333,1
Slovakia,317,SVK,Europe,4,War in Iraq,2003,2017,,259,Interstate,2004,0.75,3
Slovakia,317,SVK,Europe,4,War in Iraq,2003,2017,,259,Interstate,2006,0.25,1
South Korea,732,KOR,Asia,1,War in Iraq,2003,2017,,259,Interstate,2007,1,1
Spain,230,ESP,Europe,11,War in Iraq,2003,2017,,259,Interstate,2003,0.909090909,10
Spain,230,ESP,Europe,11,War in Iraq,2003,2017,,259,Interstate,2004,0.090909091,1
Thailand,800,THA,Asia,2,War in Iraq,2003,2017,,259,Interstate,2003,1,2
Ukraine,369,UKR,Europe,18,War in Iraq,2003,2017,,259,Interstate,2003,0.166666667,3
Ukraine,369,UKR,Europe,18,War in Iraq,2003,2017,,259,Interstate,2004,0.333333333,6
Ukraine,369,UKR,Europe,18,War in Iraq,2003,2017,,259,Interstate,2005,0.5,9
United Kingdom,200,GBR,Europe,180,War in Iraq,2003,2017,,259,Interstate,2003,0.294444444,53
United Kingdom,200,GBR,Europe,180,War in Iraq,2003,2017,,259,Interstate,2004,0.122222222,22
United Kingdom,200,GBR,Europe,180,War in Iraq,2003,2017,,259,Interstate,2005,0.127777778,23
United Kingdom,200,GBR,Europe,180,War in Iraq,2003,2017,,259,Interstate,2006,0.161111111,29
United Kingdom,200,GBR,Europe,180,War in Iraq,2003,2017,,259,Interstate,2007,0.261111111,47
United Kingdom,200,GBR,Europe,180,War in Iraq,2003,2017,,259,Interstate,2008,0.022222222,4
United Kingdom,200,GBR,Europe,180,War in Iraq,2003,2017,,259,Interstate,2009,0.005555556,1
United Kingdom,200,GBR,Europe,180,War in Iraq,2003,2017,,259,Interstate,2017,0.005555556,1
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2003,0.107024884,486
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2004,0.186963224,849
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2005,0.186302577,846
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2006,0.181237613,823
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2007,0.199075094,904
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2008,0.069147765,314
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2009,0.032812156,149
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2010,0.013212949,60
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2011,0.011891654,54
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2012,0.000220216,1
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2014,0.000880863,4
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2015,0.001761726,8
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2016,0.004624532,21
United States,2,USA,Americas,4541,War in Iraq,2003,2017,,259,Interstate,2017,0.004844748,22
