participant_country,participant_country_id,participant_maddison_code,participant_region,participant_deaths,conflict_name,conflict_start_year,conflict_end_year,COW_id,UCDP_id,state_conflict_type,year,year_deaths_share,year_deaths
Albania,339,ALB,Europe,1,War in Afghanistan,2001,2017,,418,Interstate,2012,1,1
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2002,0.024390244,1
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2007,0.073170732,3
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2008,0.073170732,3
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2009,0.097560976,4
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2010,0.243902439,10
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2011,0.268292683,11
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2012,0.170731707,7
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2013,0.024390244,1
Australia,900,AUS,Asia,41,War in Afghanistan,2001,2017,,418,Interstate,2014,0.024390244,1
Belgium,211,BEL,Europe,1,War in Afghanistan,2001,2017,,418,Interstate,2009,1,1
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2002,0.025316456,4
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2003,0.012658228,2
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2004,0.006329114,1
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2005,0.006329114,1
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2006,0.227848101,36
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2007,0.189873418,30
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2008,0.202531646,32
Canada,20,CAN,Americas,158,War in Afghanistan,2001,2017,,418,Interstate,2009,0.202531646,32
