warno,statenum,stateabb,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,mindur,maxdur,deaths,intside,initiate,sysstat,prwarpop,prwararm,westhem,europe,africa,mideast,asia,oceania,version
420,200,UKG,400,400,400,5000,5000,5000,1945,11,10,1946,10,15,-999,-999,-999,-999,-999,-999,340,340,1000,1,0,4,49110,5090,0,0,0,0,1,0,3
420,210,NTH,1000,1000,1000,5000,5000,5000,1945,11,10,1946,10,15,-999,-999,-999,-999,-999,-999,340,340,400,0,0,1,9167,87,0,0,0,0,1,0,3
420,850,Indonesia,,,3600,5000,5000,5000,1945,11,10,1946,10,15,-999,-999,-999,-999,-999,-999,340,340,400,0,0,1,9167,87,0,0,0,0,1,0,3
421,220,FRN,40000,40000,40000,365000,365000,365000,1945,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,3105,3105,300000,0,0,4,41330,578,0,0,0,0,1,0,3
421,816,Vietnam (North Vietnam),,,325000,365000,365000,365000,1945,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,3105,3105,300000,0,0,4,41330,578,0,0,0,0,1,0,3
422,220,FRN,1180,1180,1180,6952,12180,6952,1947,3,29,1948,12,1,-999,-999,-999,-999,-999,-999,614,614,1800,0,0,4,41580,580,0,0,1,0,0,0,3
422,580,Madagascar,,,5772,6952,12180,6952,1947,3,29,1948,12,1,-999,-999,-999,-999,-999,-999,614,614,1800,0,0,4,41580,580,0,0,1,0,0,0,3
424,200,UKG,502,502,502,10845,10845,10845,1948,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,3362,3362,13000,0,0,4,50080,847,0,0,0,0,1,0,3
424,820,Malaysia,,,10343,10845,10845,10845,1948,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,3362,3362,13000,0,0,4,50080,847,0,0,0,0,1,0,3
425,750,IND,,,2360,2360,2360,2360,1948,9,13,1948,9,17,-999,-999,-999,-999,-999,-999,5,5,1000,0,1,1,349430,321,0,0,0,0,1,0,3
426,710,CHN,,,5000,2000,5000,5000,1950,2,-999,1951,4,-999,-999,-999,-999,-999,-999,-999,398,454,1000,0,1,4,571889,4000,0,0,0,0,1,0,3
428,220,FRN,38,38,38,715,3000,2000,1952,-999,-999,1954,-999,-999,-999,-999,-999,-999,-999,-999,367,1096,3000,0,0,4,43330,655,0,0,0,1,0,0,3
428,616,Tunisia,,,1962,715,3000,2000,1952,-999,-999,1954,-999,-999,-999,-999,-999,-999,-999,-999,367,1096,3000,0,0,4,43330,655,0,0,0,1,0,0,3
429,200,UKG,199,199,199,12955,12955,12955,1952,10,20,1956,-999,-999,-999,-999,-999,-999,-999,-999,1169,1534,11000,0,0,4,50884,872,0,0,1,0,0,0,3
429,501,Kenya,,,12756,12955,12955,12955,1952,10,20,1956,-999,-999,-999,-999,-999,-999,-999,-999,1169,1534,11000,0,0,4,50884,872,0,0,1,0,0,0,3
430,600,Morocco,-999,-999,3000,3000,3000,3000,1953,-999,-999,1956,-999,-999,-999,-999,-999,-999,-999,-999,732,1461,3000,0,0,4,43628,699,0,0,0,1,0,0,3
432,220,FRN,15788,15788,15788,252026,252026,252026,1954,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2694,2694,18000,0,0,4,43934,745,0,0,0,1,0,0,3
432,615,Algeria,,,236238,252026,252026,252026,1954,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2694,2694,18000,0,0,4,43934,745,0,0,0,1,0,0,3
433,471,Cameroon,-999,-999,3853,100,32000,4270,1955,-999,-999,1960,-999,-999,-999,-999,-999,-999,-999,-999,1463,2192,32000,1,0,4,51358,809,0,0,1,0,0,0,3
433,220,FRN,-999,417,417,100,32000,4270,1955,-999,-999,1960,-999,-999,-999,-999,-999,-999,-999,-999,1463,2192,0,0,0,4,44270,802,0,0,1,0,0,0,3
434,235,POR,4000,8000,4000,55000,90000,79000,1961,2,3,1975,11,11,-999,-999,-999,-999,-999,-999,5395,5395,8000,0,0,1,8872,81,0,0,1,0,0,0,3
434,540,Angola,,,75000,55000,90000,79000,1961,2,3,1975,11,11,-999,-999,-999,-999,-999,-999,5395,5395,8000,0,0,1,8872,81,0,0,1,0,0,0,3
436,235,POR,1000,1000,1000,7155,9990,7155,1962,12,-999,1974,12,-999,-999,-999,-999,-999,-999,-999,4354,4414,1500,0,0,1,8970,81,0,0,1,0,0,0,3
436,438,Guinea,,,6155,7155,9990,7155,1962,12,-999,1974,12,-999,-999,-999,-999,-999,-999,-999,4354,4414,1500,0,0,1,8970,81,0,0,1,0,0,0,3
437,235,POR,3500,3500,3500,30000,43500,36750,1964,10,-999,1975,11,-999,-999,-999,-999,-999,-999,-999,4019,4078,5000,0,0,1,9110,123,0,0,1,0,0,0,3
437,541,Mozambique,,,33250,30000,43500,36750,1964,10,-999,1975,11,-999,-999,-999,-999,-999,-999,-999,4019,4078,5000,0,0,1,9110,123,0,0,1,0,0,0,3
439,850,Indonesia,,,32000,16000,59250,32000,1975,12,7,1977,7,4,-999,-999,-999,-999,-999,-999,576,576,6000,0,1,1,134044,266,0,0,0,0,1,0,3
440,560,SAF,800,800,800,25000,25000,25000,1975,10,17,1988,12,13,-999,-999,-999,-999,-999,-999,4807,4807,1000,0,1,1,25446,51,0,0,1,0,0,0,3
440,565,Namibia,,,24200,25000,25000,25000,1975,10,17,1988,12,13,-999,-999,-999,-999,-999,-999,4807,4807,1000,0,1,1,25446,51,0,0,1,0,0,0,3
441,600,MOR,10600,10600,10600,13000,13000,13000,1975,12,11,1983,12,23,-999,-999,-999,-999,-999,-999,2935,2935,9500,0,0,1,17305,61,0,0,0,1,0,0,3
441,435,MAA,2000,2000,2000,13000,13000,13000,1975,12,11,1979,8,5,-999,-999,-999,-999,-999,-999,1334,1334,2000,1,0,1,1421,1,0,0,0,1,0,0,3
441,615,ALG,400,400,400,13000,13000,13000,1975,12,11,1979,8,5,-999,-999,-999,-999,-999,-999,1334,1334,500,2,0,1,16108,63,0,0,0,1,0,0,3
