warno,statenum,stateabb,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,mindur,maxdur,deaths,intside,initiate,sysstat,prwarpop,prwararm
582,100,COL,50000,50000,50000,50000,50000,50000,1899,9,1,1903,6,15,-999,-999,-999,-999,-999,-999,1383,1383,100000,0,1,4109,1,3
583,101,VEN,2000,2000,2000,2000,2000,2000,1899,5,24,1899,10,22,-999,-999,-999,-999,-999,-999,152,152,2000,0,1,2436,4,3
584,101,VEN,1050,1050,1050,1050,1050,1050,1901,12,-999,1903,7,-999,-999,-999,-999,-999,-999,-999,548,608,1050,0,1,2473,9,3
585,640,TUR,6322,11016,6322,6322,11016,6322,1903,8,2,1903,11,2,-999,-999,-999,-999,-999,-999,93,93,2000,0,2,24028,266,3
587,165,URU,770,1000,880,770,1000,880,1904,1,1,1904,9,1,-999,-999,-999,-999,-999,-999,245,245,1000,0,1,1005,5,3
588,364,USR,1000,16500,16500,1000,16500,16500,1905,1,22,1906,1,1,-999,-999,-999,-999,-999,-999,345,345,1000,0,3,147147,2365,3
589,360,RUM,2000,11000,6500,2000,11000,6500,1907,3,15,1907,4,30,-999,-999,-999,-999,-999,-999,47,47,2000,0,2,6684,69,3
590,220,FRN,200,200,200,1200,1200,1200,1907,8,7,1908,6,15,-999,-999,-999,-999,-999,-999,314,314,200,1,3,39321,619,3
590,600,MOR,1000,1000,1000,1200,1200,1200,1907,8,1,1908,8,19,-999,-999,-999,-999,-999,-999,385,385,1000,0,1,4728,6,3
591,630,IRN,1000,1000,1000,1100,1100,1100,1908,6,23,1909,7,17,-999,-999,-999,-999,-999,-999,390,390,1000,0,1,10509,30,3
591,364,USR,100,100,100,1100,1100,1100,1909,4,30,1909,7,17,-999,-999,-999,-999,-999,-999,79,79,100,1,3,159359,1434,3
592,70,MEX,250000,250000,250000,250000,250000,250000,1910,11,20,1914,7,15,1914,12,1,1920,5,21,3333,3333,250000,0,1,15159,31,3
593,600,MOR,1500,1500,1500,1650,1650,1650,1911,1,15,1911,6,10,-999,-999,-999,-999,-999,-999,147,147,1500,0,1,4940,6,3
593,220,FRN,150,150,150,1650,1650,1650,1911,5,11,1911,6,10,-999,-999,-999,-999,-999,-999,31,31,150,1,3,39602,638,3
594,150,PAR,2000,2000,2000,2000,2000,2000,1911,7,15,1912,5,11,-999,-999,-999,-999,-999,-999,302,302,2000,0,1,547,3,3
595,710,CHN,1000,2000,1500,1000,2000,1500,1911,10,11,1911,12,31,-999,-999,-999,-999,-999,-999,82,82,1000,0,2,451576,1003,3
597,710,CHN,5000,10000,7500,5000,10000,7500,1913,7,12,1913,9,1,-999,-999,-999,-999,-999,-999,52,52,5000,0,2,454203,450,3
598,710,CHN,5000,5000,5000,5000,5000,5000,1914,3,15,1914,9,15,-999,-999,-999,-999,-999,-999,185,185,5000,0,2,455522,460,3
599,364,USR,1134,8885,3000,1134,8885,3000,1916,7,4,1917,2,27,-999,-999,-999,-999,-999,-999,239,239,3000,0,3,158974,10900,3
600,364,USR,591533,1091533,822775,593758,1093758,825000,1917,12,9,1921,3,18,-999,-999,-999,-999,-999,-999,1196,1196,50000,0,2,147841,9050,3
600,220,FRN,50,50,50,593758,1093758,825000,1918,6,23,1919,9,30,-999,-999,-999,-999,-999,-999,465,465,50,2,3,38843,5277,3
600,740,JPN,1500,1500,1500,593758,1093758,825000,1918,8,3,1920,10,15,-999,-999,-999,-999,-999,-999,805,805,1500,2,3,54739,660,3
600,2,USA,275,275,275,593758,1093758,825000,1918,7,1,1920,4,20,-999,-999,-999,-999,-999,-999,660,660,275,2,3,103208,2897,3
600,200,UKG,350,350,350,593758,1093758,825000,1918,6,23,1920,3,15,-999,-999,-999,-999,-999,-999,632,632,350,2,3,46410,4222,3
600,375,FIN,50,50,50,593758,1093758,825000,1919,4,15,1919,4,30,-999,-999,-999,-999,-999,-999,16,16,50,2,1,3333,38,3
602,710,CHN,1000,1000,1000,1000,1000,1000,1917,-999,-999,1918,-999,-999,-999,-999,-999,-999,-999,-999,2,730,1000,0,2,459503,900,3
603,375,FIN,7500,20000,11750,7500,20000,11750,1918,1,28,1918,4,30,-999,-999,-999,-999,-999,-999,93,93,20000,0,1,3333,38,3
604,310,HUN,4000,4000,4000,4000,4000,4000,1919,3,25,1920,2,15,-999,-999,-999,-999,-999,-999,328,328,4000,0,2,7874,27,3
605,364,USR,6700,6700,6700,6700,6700,6700,1920,8,-999,1921,8,-999,-999,-999,-999,-999,-999,-999,336,396,-999,0,1,126696,3050,3
607,70,MEX,7000,7000,7000,7000,7000,7000,1923,12,4,1924,2,-999,-999,-999,-999,-999,-999,-999,60,87,7000,0,1,14693,66,3
608,355,BUL,3000,3000,3000,3000,3000,3000,1923,9,23,1923,9,28,-999,-999,-999,-999,-999,-999,6,6,3000,0,1,5101,20,3
609,91,HON,1000,1000,1000,1000,1000,1000,1924,2,9,1924,3,31,-999,-999,-999,-999,-999,-999,52,52,1000,0,1,826,3,3
610,700,AFG,1500,1500,1500,1500,1500,1500,1924,3,15,1925,1,15,-999,-999,-999,-999,-999,-999,307,307,1500,0,1,6590,65,3
612,710,CHN,10000,10000,10000,10500,10500,10500,1926,7,1,1928,6,30,-999,-999,-999,-999,-999,-999,731,731,10000,0,1,471654,1700,3
612,740,JPN,500,500,500,10500,10500,10500,1927,6,1,1928,6,1,-999,-999,-999,-999,-999,-999,367,367,500,1,4,61659,274,3
613,70,MEX,10000,70000,40000,10000,70000,40000,1926,8,31,1930,6,15,-999,-999,-999,-999,-999,-999,1385,1385,10000,0,1,15468,64,3
614,700,AFG,7500,30000,18750,7500,30000,18750,1928,11,10,1929,10,15,-999,-999,-999,-999,-999,-999,340,340,7500,0,1,7131,60,3
615,710,CHN,1000,200000,200000,1000,200000,200000,1928,-999,-999,1928,-999,-999,-999,-999,-999,-999,-999,-999,1,366,200000,0,1,474787,1700,3
617,70,MEX,2000,2000,2000,2000,2000,2000,1929,3,3,1929,5,4,-999,-999,-999,-999,-999,-999,63,63,2000,0,1,16296,70,3
618,670,SAU,700,1000,850,700,1000,850,1929,3,30,1930,1,10,-999,-999,-999,-999,-999,-999,287,287,1000,0,1,2620,4,3
619,710,CHN,75000,75000,75000,75000,75000,75000,1929,3,1,1930,10,13,-999,-999,-999,-999,-999,-999,592,592,75000,0,1,478830,1700,3
620,710,CHN,200000,500000,500000,200000,500000,500000,1930,11,15,1935,10,15,-999,-999,-999,-999,-999,-999,1796,1796,200000,0,1,482917,1700,3
622,364,USR,1000,20000,20000,1000,20000,20000,1931,-999,-999,1934,-999,-999,-999,-999,-999,-999,-999,-999,733,1461,1000,0,4,160430,562,3
623,92,SAL,1100,8000,2600,1100,8000,2600,1932,1,22,1932,1,25,-999,-999,-999,-999,-999,-999,4,4,8000,0,1,1474,3,3
624,135,PER,1000,2000,1500,1000,2000,1500,1932,7,7,1932,7,17,-999,-999,-999,-999,-999,-999,11,11,2000,0,1,6187,11,3
625,140,BRA,1000,5000,3000,1000,5000,3000,1932,6,9,1932,8,31,-999,-999,-999,-999,-999,-999,84,84,1000,0,1,34957,71,3
627,305,AUS,311,2000,311,311,2000,311,1934,2,12,1934,7,30,-999,-999,-999,-999,-999,-999,169,169,1000,0,1,6755,21,3
628,230,SPN,1335,1335,1335,1335,1335,1335,1934,10,4,1934,10,8,-999,-999,-999,-999,-999,-999,5,5,1300,0,1,24348,138,3
629,230,SPN,154200,257000,218700,160500,320000,225000,1936,7,18,1939,3,29,-999,-999,-999,-999,-999,-999,985,985,650000,0,1,24810,475,3
629,255,GMY,300,300,300,160500,320000,225000,1936,8,27,1939,3,29,-999,-999,-999,-999,-999,-999,945,945,300,2,4,67348,596,3
629,235,POR,2000,2000,2000,160500,320000,225000,1936,8,1,1939,3,29,-999,-999,-999,-999,-999,-999,971,971,2000,2,1,7300,37,3
629,325,ITA,4000,4000,4000,160500,320000,225000,1936,7,30,1939,3,29,-999,-999,-999,-999,-999,-999,973,973,4000,2,1,43150,343,3
630,200,UKG,135,135,135,154000,154000,154000,1944,12,5,1945,1,11,-999,-999,-999,-999,-999,-999,38,38,135,1,4,48898,4900,3
630,350,GRC,153865,153865,153865,154000,154000,154000,1944,12,3,1945,2,12,1946,11,15,1949,10,16,1139,1139,160000,0,1,7456,15,3
632,710,CHN,1209900,1245000,1209900,1209900,1245000,1209900,1946,3,15,1950,4,21,-999,-999,-999,-999,-999,-999,1499,1499,1000000,0,1,553269,4158,3
633,150,PAR,4000,4000,4000,4000,4000,4000,1947,3,7,1947,8,20,-999,-999,-999,-999,-999,-999,167,167,1000,0,1,1305,9,3
634,710,CHN,540,1000,1000,540,1000,1000,1947,2,28,1947,3,21,-999,-999,-999,-999,-999,-999,22,22,1000,0,1,557992,4013,3
635,678,YAR,4000,4000,4000,4000,4000,4000,1948,2,17,1948,3,20,-999,-999,-999,-999,-999,-999,33,33,4000,0,1,3212,18,3
637,94,COS,2000,2000,2000,2000,2000,2000,1948,3,12,1948,4,17,-999,-999,-999,-999,-999,-999,37,37,2000,0,1,808,1,3
638,100,COL,549,1400,549,549,1400,549,1948,4,9,1949,4,12,-999,-999,-999,-999,-999,-999,369,369,1400,0,1,10845,17,3
639,775,MYA,10235,10375,10375,10235,10375,10375,1948,9,15,1951,7,31,-999,-999,-999,-999,-999,-999,1050,1050,8000,0,1,18119,3,3
