id,year,bdeadlow,bdeadhig,bdeadbes,annualdata,source,bdversion,location,sidea,sidea2nd,sideb,sideb2nd,incomp,terr,int,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,gwnoa,gwnoa2nd,gwnob,gwnob2nd,gwnoloc,region,version
1,1946,1000,9999,1000,2,1,3.1,Bolivia,Bolivia,,Popular Revolutionary Movement,,2,,2,1,3,01/06/1946,4,01/06/1946,4,1,21/07/1946,-99,145,,,,145,5,2009-4
1,1952,450,3000,-999,2,1,3.1,Bolivia,Bolivia,,MNR,,2,,1,1,3,01/06/1946,4,09/04/1952,1,1,12/04/1952,-99,145,,,,145,5,2009-4
1,1967,25,999,82,2,1,3.1,Bolivia,Bolivia,,ELN,,2,,1,1,3,01/06/1946,4,01/03/1967,3,1,16/10/1967,-99,145,,,,145,5,2009-4
2,1946,25,999,-999,0,0,3.1,Cambodia,France,,Khmer Issarak,,1,Cambodia,1,0,1,01/08/1946,3,01/08/1946,3,0,,,220,,,,811,3,2009-4
2,1947,25,999,-999,0,0,3.1,Cambodia,France,,Khmer Issarak,,1,Cambodia,1,0,1,01/08/1946,3,01/08/1946,3,0,,,220,,,,811,3,2009-4
2,1948,25,999,-999,0,0,3.1,Cambodia,France,,Khmer Issarak,,1,Cambodia,1,0,1,01/08/1946,3,01/08/1946,3,0,,,220,,,,811,3,2009-4
2,1949,25,999,-999,0,0,3.1,Cambodia,France,,Khmer Issarak,,1,Cambodia,1,0,1,01/08/1946,3,01/08/1946,3,0,,,220,,,,811,3,2009-4
2,1950,25,999,-999,0,0,3.1,Cambodia,France,,Khmer Issarak,,1,Cambodia,1,0,1,01/08/1946,3,01/08/1946,3,0,,,220,,,,811,3,2009-4
2,1951,25,999,-999,0,0,3.1,Cambodia,France,,Khmer Issarak,,1,Cambodia,1,0,1,01/08/1946,3,01/08/1946,3,0,,,220,,,,811,3,2009-4
2,1952,25,999,-999,0,0,3.1,Cambodia,France,,Khmer Issarak,,1,Cambodia,1,0,1,01/08/1946,3,01/08/1946,3,0,,,220,,,,811,3,2009-4
2,1953,25,999,-999,0,0,3.1,Cambodia,France,,Khmer Issarak,,1,Cambodia,1,0,1,01/08/1946,3,01/08/1946,3,1,31/12/1953,-99,220,,,,811,3,2009-4
3,1946,16666,333333,200000,1,1,3.1,China,China,,PLA,,2,,2,1,3,01/01/1946,7,01/01/1946,7,0,,,710,,,,710,3,2009-4
3,1947,25000,500000,300000,1,1,3.1,China,China,,PLA,,2,,2,1,3,01/01/1946,7,01/01/1946,7,0,,,710,,,,710,3,2009-4
3,1948,29167,583333,350000,1,1,3.1,China,China,,PLA,,2,,2,1,3,01/01/1946,7,01/01/1946,7,0,,,710,,,,710,3,2009-4
3,1949,29167,583334,350000,1,1,3.1,China,China,,PLA,,2,,2,1,3,01/01/1946,7,01/01/1946,7,1,01/10/1949,-99,710,,,,710,3,2009-4
4,1946,6000,40000,38500,0,1,3.1,Greece,Greece,,DSE,,2,,2,1,3,01/03/1946,4,01/03/1946,4,0,,,350,,,,350,1,2009-4
4,1947,6000,40000,38500,0,1,3.1,Greece,Greece,,DSE,,2,,2,1,3,01/03/1946,4,01/03/1946,4,0,,,350,,,,350,1,2009-4
4,1948,6000,40000,38500,0,1,3.1,Greece,Greece,,DSE,,2,,2,1,3,01/03/1946,4,01/03/1946,4,0,,,350,,,,350,1,2009-4
