Year,WarNo,WarName,YrBeg1,bdeadlow,bdeadhigh,bdeadbest,yrlydata,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,WarType,Insurgnt,Winner,Interven,MinDur,MaxDur,StDeaths,ToDeaths,InCenSub,InMajor,WestHem,Europe,Africa,MidEast,Asia,Oceania,Version
1899,582,Colombia vs. Liberals of 1899,1899,13492,13492,13492,0,9,1,1903,6,15,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,1383,1383,100000,-999,0,0,1,0,0,0,0,0,3
1900,582,Colombia vs. Liberals of 1899,1899,9127,9127,9127,0,9,1,1903,6,15,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,1383,1383,100000,-999,0,0,1,0,0,0,0,0,3
1901,582,Colombia vs. Liberals of 1899,1899,9127,9127,9127,0,9,1,1903,6,15,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,1383,1383,100000,-999,0,0,1,0,0,0,0,0,3
1902,582,Colombia vs. Liberals of 1899,1899,9127,9127,9127,0,9,1,1903,6,15,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,1383,1383,100000,-999,0,0,1,0,0,0,0,0,3
1903,582,Colombia vs. Liberals of 1899,1899,9127,9127,9127,0,9,1,1903,6,15,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,1383,1383,100000,-999,0,0,1,0,0,0,0,0,3
1899,583,Venezuela vs. Castro Led Rebels,1899,2000,2000,2000,1,5,24,1899,10,22,-999,-999,-999,-999,-999,-999,4,Castro Led Rebels,2,0,152,152,2000,-999,0,0,1,0,0,0,0,0,3
1901,584,Venezuela vs. Matos Led Rebels,1901,350,350,350,0,12,-999,1903,7,-999,-999,-999,-999,-999,-999,-999,4,Matos Led Rebels,1,0,548,608,1050,-999,0,0,1,0,0,0,0,0,3
1902,584,Venezuela vs. Matos Led Rebels,1901,350,350,350,0,12,-999,1903,7,-999,-999,-999,-999,-999,-999,-999,4,Matos Led Rebels,1,0,548,608,1050,-999,0,0,1,0,0,0,0,0,3
1903,584,Venezuela vs. Matos Led Rebels,1901,350,350,350,0,12,-999,1903,7,-999,-999,-999,-999,-999,-999,-999,4,Matos Led Rebels,1,0,548,608,1050,-999,0,0,1,0,0,0,0,0,3
1903,585,Ottoman Empire vs. VMRO Rebels,1903,6322,11016,6322,1,8,2,1903,11,2,-999,-999,-999,-999,-999,-999,5,VMRO Rebels,1,0,93,93,2000,4000,1,0,0,1,0,0,0,,3
