Year,WarNo,WarName,YrBeg1,bdeadlow,bdeadhigh,bdeadbest,yrlydata,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,WarType,Insurgnt,Winner,Interven,MinDur,MaxDur,StDeaths,ToDeaths,InCenSub,InMajor,WestHem,Europe,Africa,MidEast,Asia,Oceania,Version
1904,587,Uruguay vs. Blancos,1904,770,1000,880,1,1,1,1904,9,1,-999,-999,-999,-999,-999,-999,4,Blancos,1,0,245,245,1000,-999,0,0,1,0,0,0,0,0,3
1905,588,Russia vs. Workers/Peasants,1905,500,8250,8250,0,1,22,1906,1,1,-999,-999,-999,-999,-999,-999,4,Workers/Peasants,1,0,345,345,1000,-999,1,1,0,1,0,0,0,0,3
1906,588,Russia vs. Workers/Peasants,1905,500,8250,8250,0,1,22,1906,1,1,-999,-999,-999,-999,-999,-999,4,Workers/Peasants,1,0,345,345,1000,-999,1,1,0,1,0,0,0,0,3
1907,589,Rumania vs. Peasants,1907,2000,11000,6500,1,3,15,1907,4,30,-999,-999,-999,-999,-999,-999,4,Peasants,1,0,47,47,2000,-999,1,0,0,1,0,0,0,0,3
1907,590,Morocco vs. Fez Caids of 1907,1907,600,600,600,0,8,1,1908,8,19,-999,-999,-999,-999,-999,-999,4,Fez Caids,1,1,385,385,1200,-999,0,0,0,0,0,1,0,0,3
1908,590,Morocco vs. Fez Caids of 1907,1907,600,600,600,0,8,1,1908,8,19,-999,-999,-999,-999,-999,-999,4,Fez Caids,1,1,385,385,1200,-999,0,0,0,0,0,1,0,0,3
1908,591,Iran vs. Constitutionalists,1908,550,550,550,0,6,23,1909,7,17,-999,-999,-999,-999,-999,-999,4,Constitutionalists,2,1,390,390,1100,-999,0,0,0,0,0,1,0,0,3
1909,591,Iran vs. Constitutionalists,1908,550,550,550,0,6,23,1909,7,17,-999,-999,-999,-999,-999,-999,4,Constitutionalists,2,1,390,390,1100,-999,0,0,0,0,0,1,0,0,3
1910,592,Mexico vs. Liberals & Radicals,1910,18888,18888,18888,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1911,592,Mexico vs. Liberals & Radicals,1910,18889,18889,18889,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1912,592,Mexico vs. Liberals & Radicals,1910,18889,18889,18889,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1913,592,Mexico vs. Liberals & Radicals,1910,40000,40000,40000,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1914,592,Mexico vs. Liberals & Radicals,1910,40000,40000,40000,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1915,592,Mexico vs. Liberals & Radicals,1910,18889,18889,18889,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1916,592,Mexico vs. Liberals & Radicals,1910,18889,18889,18889,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1917,592,Mexico vs. Liberals & Radicals,1910,18889,18889,18889,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1918,592,Mexico vs. Liberals & Radicals,1910,18889,18889,18889,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1919,592,Mexico vs. Liberals & Radicals,1910,18889,18889,18889,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1920,592,Mexico vs. Liberals & Radicals,1910,18889,18889,18889,0,11,20,1914,7,15,1914,12,1,1920,5,21,4,Liberals & Radicals,2,0,3333,3333,250000,-999,0,0,1,0,0,0,0,0,3
1911,593,Morocco vs. Fez Caids of 1911,1911,1650,1650,1650,0,1,15,1911,6,10,-999,-999,-999,-999,-999,-999,4,Fez Caids,1,1,147,147,1650,-999,0,0,0,0,0,1,0,0,3
1911,594,Paraguay vs. Liberals,1911,1000,1000,1000,0,7,15,1912,5,11,-999,-999,-999,-999,-999,-999,4,Liberals,2,0,302,302,2000,-999,0,0,1,0,0,0,0,0,3
1912,594,Paraguay vs. Liberals,1911,1000,1000,1000,0,7,15,1912,5,11,-999,-999,-999,-999,-999,-999,4,Liberals,2,0,302,302,2000,-999,0,0,1,0,0,0,0,0,3
1911,595,China vs. Republicans of 1911,1911,1000,2000,1500,1,10,11,1911,12,31,-999,-999,-999,-999,-999,-999,4,Republicans,2,0,82,82,1000,-999,1,0,0,0,0,0,1,0,3
1913,597,China vs. Republicans of 1913,1913,5000,10000,7500,1,7,12,1913,9,1,-999,-999,-999,-999,-999,-999,4,Republicans,1,0,52,52,5000,-999,1,0,0,0,0,0,1,0,3
1914,598,China vs. Pai-Lings,1914,5000,5000,5000,1,3,15,1914,9,15,-999,-999,-999,-999,-999,-999,5,Pai-Lings,1,0,185,185,5000,-999,1,0,0,0,0,0,1,0,3
1916,599,Russia vs. Kirghiz & Kazables,1916,567,4442,1500,0,7,4,1917,2,27,-999,-999,-999,-999,-999,-999,5,Kirghiz & Kazables,1,0,239,239,3000,103000,1,1,0,1,0,0,0,0,3
1917,599,Russia vs. Kirghiz & Kazables,1916,567,4443,1500,0,7,4,1917,2,27,-999,-999,-999,-999,-999,-999,5,Kirghiz & Kazables,1,0,239,239,3000,103000,1,1,0,1,0,0,0,0,3
1917,600,Russia vs. Anti-Bolsheviks,1917,118751,218751,165000,0,12,9,1921,3,18,-999,-999,-999,-999,-999,-999,4,Anti-Bolsheviks,1,1,1196,1196,52225,800000,1,1,0,1,0,0,0,0,3
1918,600,Russia vs. Anti-Bolsheviks,1917,118751,218751,165000,0,12,9,1921,3,18,-999,-999,-999,-999,-999,-999,4,Anti-Bolsheviks,1,1,1196,1196,52225,800000,1,1,0,1,0,0,0,0,3
1919,600,Russia vs. Anti-Bolsheviks,1917,118752,218752,165000,0,12,9,1921,3,18,-999,-999,-999,-999,-999,-999,4,Anti-Bolsheviks,1,1,1196,1196,52225,800000,1,1,0,1,0,0,0,0,3
1920,600,Russia vs. Anti-Bolsheviks,1917,118752,218752,165000,0,12,9,1921,3,18,-999,-999,-999,-999,-999,-999,4,Anti-Bolsheviks,1,1,1196,1196,52225,800000,1,1,0,1,0,0,0,0,3
1921,600,Russia vs. Anti-Bolsheviks,1917,118752,218752,165000,0,12,9,1921,3,18,-999,-999,-999,-999,-999,-999,4,Anti-Bolsheviks,1,1,1196,1196,52225,800000,1,1,0,1,0,0,0,0,3
1917,602,China vs. Yunnan Rebels,1917,500,500,500,0,-999,-999,1918,-999,-999,-999,-999,-999,-999,-999,-999,5,Yunnan Rebels,1,0,2,730,1000,-999,1,0,0,0,0,0,1,0,3
1918,602,China vs. Yunnan Rebels,1917,500,500,500,0,-999,-999,1918,-999,-999,-999,-999,-999,-999,-999,-999,5,Yunnan Rebels,1,0,2,730,1000,-999,1,0,0,0,0,0,1,0,3
1918,603,Finland vs. Communists,1918,7500,20000,11750,1,1,28,1918,4,30,-999,-999,-999,-999,-999,-999,4,Communists,1,0,93,93,20000,-999,0,0,0,1,0,0,0,0,3
1919,604,Hungary vs. Anti-Communists,1919,2000,2000,2000,0,3,25,1920,2,15,-999,-999,-999,-999,-999,-999,4,Anti-Communists,2,0,328,328,4000,-999,1,0,0,1,0,0,0,0,3
1920,604,Hungary vs. Anti-Communists,1919,2000,2000,2000,0,3,25,1920,2,15,-999,-999,-999,-999,-999,-999,4,Anti-Communists,2,0,328,328,4000,-999,1,0,0,1,0,0,0,0,3
1920,605,USSR vs. Peasants in Ta,1920,3350,3350,3350,0,8,-999,1921,8,-999,-999,-999,-999,-999,-999,-999,5,Peasants in Ta,1,0,336,396,6700,-999,0,0,0,1,0,0,0,0,3
1921,605,USSR vs. Peasants in Ta,1920,3350,3350,3350,0,8,-999,1921,8,-999,-999,-999,-999,-999,-999,-999,5,Peasants in Ta,1,0,336,396,6700,-999,0,0,0,1,0,0,0,0,3
1923,607,Mexico vs. Huerta Led Rebels,1923,3500,3500,3500,0,12,4,1924,2,-999,-999,-999,-999,-999,-999,-999,4,Huerta Led Rebels,1,0,60,87,7000,-999,0,0,1,0,0,0,0,0,3
1924,607,Mexico vs. Huerta Led Rebels,1923,3500,3500,3500,0,12,4,1924,2,-999,-999,-999,-999,-999,-999,-999,4,Huerta Led Rebels,1,0,60,87,7000,-999,0,0,1,0,0,0,0,0,3
1923,608,Bulgaria vs. Agrarian League,1923,3000,3000,3000,1,9,23,1923,9,28,-999,-999,-999,-999,-999,-999,4,Agrarian League,1,0,6,6,3000,-999,0,0,0,1,0,0,0,0,3
1924,609,Honduras vs. Conservatives,1924,1000,1000,1000,1,2,9,1924,3,31,-999,-999,-999,-999,-999,-999,4,Conservatives,2,0,52,52,1000,-999,0,0,1,0,0,0,0,0,3
1924,610,Afghanistan vs. Anti-Reformists of 1924,1924,750,750,750,0,3,15,1925,1,15,-999,-999,-999,-999,-999,-999,4,Anti-Reformists,1,0,307,307,1500,-999,0,0,0,0,0,1,0,0,3
1925,610,Afghanistan vs. Anti-Reformists of 1924,1924,750,750,750,0,3,15,1925,1,15,-999,-999,-999,-999,-999,-999,4,Anti-Reformists,1,0,307,307,1500,-999,0,0,0,0,0,1,0,0,3
1926,612,China vs. Kuomintang,1926,3500,3500,3500,0,7,1,1928,6,30,-999,-999,-999,-999,-999,-999,4,Kuomintang,2,1,731,731,10500,-999,0,0,0,0,0,0,1,0,3
1927,612,China vs. Kuomintang,1926,3500,3500,3500,0,7,1,1928,6,30,-999,-999,-999,-999,-999,-999,4,Kuomintang,2,1,731,731,10500,-999,0,0,0,0,0,0,1,0,3
1928,612,China vs. Kuomintang,1926,3500,3500,3500,0,7,1,1928,6,30,-999,-999,-999,-999,-999,-999,4,Kuomintang,2,1,731,731,10500,-999,0,0,0,0,0,0,1,0,3
1926,613,Mexico vs. Cristeros,1926,2000,14000,8000,0,8,31,1930,6,15,-999,-999,-999,-999,-999,-999,4,Cristeros,1,0,1385,1385,10000,-999,0,0,1,0,0,0,0,0,3
1927,613,Mexico vs. Cristeros,1926,2000,14000,8000,0,8,31,1930,6,15,-999,-999,-999,-999,-999,-999,4,Cristeros,1,0,1385,1385,10000,-999,0,0,1,0,0,0,0,0,3
1928,613,Mexico vs. Cristeros,1926,2000,14000,8000,0,8,31,1930,6,15,-999,-999,-999,-999,-999,-999,4,Cristeros,1,0,1385,1385,10000,-999,0,0,1,0,0,0,0,0,3
1929,613,Mexico vs. Cristeros,1926,2000,14000,8000,0,8,31,1930,6,15,-999,-999,-999,-999,-999,-999,4,Cristeros,1,0,1385,1385,10000,-999,0,0,1,0,0,0,0,0,3
1930,613,Mexico vs. Cristeros,1926,2000,14000,8000,0,8,31,1930,6,15,-999,-999,-999,-999,-999,-999,4,Cristeros,1,0,1385,1385,10000,-999,0,0,1,0,0,0,0,0,3
1928,614,Afghanistan vs. Anti-Reformists of 1928,1928,3750,15000,9375,0,11,10,1929,10,15,-999,-999,-999,-999,-999,-999,4,Anti-Reformists,2,0,340,340,7500,-999,0,0,0,0,0,1,0,0,3
1929,614,Afghanistan vs. Anti-Reformists of 1928,1928,3750,15000,9375,0,11,10,1929,10,15,-999,-999,-999,-999,-999,-999,4,Anti-Reformists,2,0,340,340,7500,-999,0,0,0,0,0,1,0,0,3
1928,615,China vs. Muslims of 1928,1928,1000,200000,200000,1,-999,-999,1928,-999,-999,-999,-999,-999,-999,-999,-999,5,Muslims,1,0,1,366,200000,-999,0,0,0,0,0,0,1,0,3
1929,617,Mexico vs. Escoban Led Rebels,1929,2000,2000,2000,1,3,3,1929,5,4,-999,-999,-999,-999,-999,-999,4,Escoban Led Rebels,1,0,63,63,2000,-999,0,0,1,0,0,0,0,0,3
1929,618,Saudi Arabia vs. Ikhwan,1929,350,500,425,0,3,30,1930,1,10,-999,-999,-999,-999,-999,-999,4,Ikhwan,1,0,287,287,1000,-999,0,0,0,0,0,1,0,0,3
1930,618,Saudi Arabia vs. Ikhwan,1929,350,500,425,0,3,30,1930,1,10,-999,-999,-999,-999,-999,-999,4,Ikhwan,1,0,287,287,1000,-999,0,0,0,0,0,1,0,0,3
1929,619,China vs. War Lords,1929,37500,37500,37500,0,3,1,1930,10,13,-999,-999,-999,-999,-999,-999,4,War Lords,1,0,592,592,75000,-999,0,0,0,0,0,0,1,0,3
1930,619,China vs. War Lords,1929,37500,37500,37500,0,3,1,1930,10,13,-999,-999,-999,-999,-999,-999,4,War Lords,1,0,592,592,75000,-999,0,0,0,0,0,0,1,0,3
1930,620,China vs. Communists of 1930,1930,40000,100000,100000,0,11,15,1935,10,15,-999,-999,-999,-999,-999,-999,4,Communists,1,0,1796,1796,200000,-999,0,0,0,0,0,0,1,0,3
1931,620,China vs. Communists of 1930,1930,20000,50000,50000,0,11,15,1935,10,15,-999,-999,-999,-999,-999,-999,4,Communists,1,0,1796,1796,200000,-999,0,0,0,0,0,0,1,0,3
1932,620,China vs. Communists of 1930,1930,20000,50000,50000,0,11,15,1935,10,15,-999,-999,-999,-999,-999,-999,4,Communists,1,0,1796,1796,200000,-999,0,0,0,0,0,0,1,0,3
1933,620,China vs. Communists of 1930,1930,40000,100000,100000,0,11,15,1935,10,15,-999,-999,-999,-999,-999,-999,4,Communists,1,0,1796,1796,200000,-999,0,0,0,0,0,0,1,0,3
1934,620,China vs. Communists of 1930,1930,40000,100000,100000,0,11,15,1935,10,15,-999,-999,-999,-999,-999,-999,4,Communists,1,0,1796,1796,200000,-999,0,0,0,0,0,0,1,0,3
1935,620,China vs. Communists of 1930,1930,40000,100000,100000,0,11,15,1935,10,15,-999,-999,-999,-999,-999,-999,4,Communists,1,0,1796,1796,200000,-999,0,0,0,0,0,0,1,0,3
1931,622,Russia vs. Central Asian Rebels,1931,250,5000,5000,0,-999,-999,1934,-999,-999,-999,-999,-999,-999,-999,-999,5,Central Asian Rebels,1,0,733,1461,1000,20000,0,1,0,0,0,0,1,0,3
1932,622,Russia vs. Central Asian Rebels,1931,250,5000,5000,0,-999,-999,1934,-999,-999,-999,-999,-999,-999,-999,-999,5,Central Asian Rebels,1,0,733,1461,1000,20000,0,1,0,0,0,0,1,0,3
1933,622,Russia vs. Central Asian Rebels,1931,250,5000,5000,0,-999,-999,1934,-999,-999,-999,-999,-999,-999,-999,-999,5,Central Asian Rebels,1,0,733,1461,1000,20000,0,1,0,0,0,0,1,0,3
1934,622,Russia vs. Central Asian Rebels,1931,250,5000,5000,0,-999,-999,1934,-999,-999,-999,-999,-999,-999,-999,-999,5,Central Asian Rebels,1,0,733,1461,1000,20000,0,1,0,0,0,0,1,0,3
1932,623,El Salvador vs. Leftists,1932,1100,8000,2600,1,1,22,1932,1,25,-999,-999,-999,-999,-999,-999,4,Leftists,1,0,4,4,8000,32000,0,0,1,0,0,0,0,0,3
1932,624,Peru vs. Aprista Rebels,1932,1000,2000,1500,1,7,7,1932,7,17,-999,-999,-999,-999,-999,-999,4,Aprista Rebels,1,0,11,11,2000,-999,0,0,1,0,0,0,0,0,3
1932,625,Brazil vs. Paolistas,1932,1000,5000,3000,1,6,9,1932,8,31,-999,-999,-999,-999,-999,-999,5,Paolistas,1,0,84,84,1000,-999,0,0,1,0,0,0,0,0,3
1934,627,Austria vs. Socialists,1934,311,2000,311,1,2,12,1934,7,30,-999,-999,-999,-999,-999,-999,4,Socialists,1,0,169,169,1000,2000,0,0,0,1,0,0,0,0,3
1934,628,Spain vs. Asturian Miners,1934,1335,1335,1335,1,10,4,1934,10,8,-999,-999,-999,-999,-999,-999,4,Asturian Miners,1,0,5,5,1300,-999,0,0,0,1,0,0,0,0,3
1936,629,Spain vs. Fascists,1936,5700,11400,8000,1,7,18,1939,3,29,-999,-999,-999,-999,-999,-999,4,Fascists,2,1,985,985,656300,-999,0,0,0,1,0,0,0,0,3
1937,629,Spain vs. Fascists,1936,103300,206500,145000,1,7,18,1939,3,29,-999,-999,-999,-999,-999,-999,4,Fascists,2,1,985,985,656300,-999,0,0,0,1,0,0,0,0,3
1938,629,Spain vs. Fascists,1936,48000,95000,67000,1,7,18,1939,3,29,-999,-999,-999,-999,-999,-999,4,Fascists,2,1,985,985,656300,-999,0,0,0,1,0,0,0,0,3
1939,629,Spain vs. Fascists,1936,3500,7100,5000,1,7,18,1939,3,29,-999,-999,-999,-999,-999,-999,4,Fascists,2,1,985,985,656300,-999,0,0,0,1,0,0,0,0,3
1944,630,Greece vs. Communists,1944,25666,25666,25666,0,12,3,1945,2,12,1946,11,15,1949,10,16,4,Communists,1,1,1139,1139,160135,-999,0,0,0,1,0,0,0,0,3
1945,630,Greece vs. Communists,1944,25666,25666,25666,0,12,3,1945,2,12,1946,11,15,1949,10,16,4,Communists,1,1,1139,1139,160135,-999,0,0,0,1,0,0,0,0,3
1946,630,Greece vs. Communists,1944,25667,25667,25667,0,12,3,1945,2,12,1946,11,15,1949,10,16,4,Communists,1,1,1139,1139,160135,-999,0,0,0,1,0,0,0,0,3
1947,630,Greece vs. Communists,1944,25667,25667,25667,0,12,3,1945,2,12,1946,11,15,1949,10,16,4,Communists,1,1,1139,1139,160135,-999,0,0,0,1,0,0,0,0,3
1948,630,Greece vs. Communists,1944,25667,25667,25667,0,12,3,1945,2,12,1946,11,15,1949,10,16,4,Communists,1,1,1139,1139,160135,-999,0,0,0,1,0,0,0,0,3
1949,630,Greece vs. Communists,1944,25667,25667,25667,0,12,3,1945,2,12,1946,11,15,1949,10,16,4,Communists,1,1,1139,1139,160135,-999,0,0,0,1,0,0,0,0,3
1946,632,China vs. Communists of 1946,1946,200000,200000,200000,1,3,15,1950,4,21,-999,-999,-999,-999,-999,-999,4,Communists,2,0,1499,1499,1000000,-999,0,0,0,0,0,0,1,0,3
1947,632,China vs. Communists of 1946,1946,300000,300000,300000,1,3,15,1950,4,21,-999,-999,-999,-999,-999,-999,4,Communists,2,0,1499,1499,1000000,-999,0,0,0,0,0,0,1,0,3
1948,632,China vs. Communists of 1946,1946,350000,350000,350000,1,3,15,1950,4,21,-999,-999,-999,-999,-999,-999,4,Communists,2,0,1499,1499,1000000,-999,0,0,0,0,0,0,1,0,3
1949,632,China vs. Communists of 1946,1946,359000,363000,359000,1,3,15,1950,4,21,-999,-999,-999,-999,-999,-999,4,Communists,2,0,1499,1499,1000000,-999,0,0,0,0,0,0,1,0,3
1950,632,China vs. Communists of 1946,1946,900,32000,900,1,3,15,1950,4,21,-999,-999,-999,-999,-999,-999,4,Communists,2,0,1499,1499,1000000,-999,0,0,0,0,0,0,1,0,3
1947,633,Paraguay vs. Leftists,1947,4000,4000,4000,1,3,7,1947,8,20,-999,-999,-999,-999,-999,-999,4,Leftists,1,0,167,167,1000,-999,0,0,1,0,0,0,0,0,3
1947,634,China vs. Taiwanese,1947,540,1000,1000,1,2,28,1947,3,21,-999,-999,-999,-999,-999,-999,5,Taiwanese,1,0,22,22,1000,-999,0,0,0,0,0,0,1,0,3
1948,635,Yemen Arab Republic vs. Yahya Family,1948,4000,4000,4000,1,2,17,1948,3,20,-999,-999,-999,-999,-999,-999,4,Yahya Family,2,0,33,33,4000,-999,0,0,0,0,0,1,0,0,3
1948,637,Costa Rica vs. National Union Party,1948,2000,2000,2000,1,3,12,1948,4,17,-999,-999,-999,-999,-999,-999,4,National Union Party,2,0,37,37,2000,-999,0,0,1,0,0,0,0,0,3
1948,638,Colombia vs. Conservatives,1948,549,700,549,1,4,9,1949,4,12,-999,-999,-999,-999,-999,-999,4,Conservatives,1,0,369,369,1400,-999,0,0,1,0,0,0,0,0,3
1949,638,Colombia vs. Conservatives,1948,0,700,0,1,4,9,1949,4,12,-999,-999,-999,-999,-999,-999,4,Conservatives,1,0,369,369,1400,-999,0,0,1,0,0,0,0,0,3
1948,639,Burma vs. Karens,1948,2650,2685,2685,0,9,15,1951,7,31,-999,-999,-999,-999,-999,-999,5,Karens,1,0,1050,1050,8000,-999,0,0,0,0,0,0,1,0,3
1949,639,Burma vs. Karens,1948,2935,2970,2970,0,9,15,1951,7,31,-999,-999,-999,-999,-999,-999,5,Karens,1,0,1050,1050,8000,-999,0,0,0,0,0,0,1,0,3
1950,639,Burma vs. Karens,1948,2325,2360,2360,0,9,15,1951,7,31,-999,-999,-999,-999,-999,-999,5,Karens,1,0,1050,1050,8000,-999,0,0,0,0,0,0,1,0,3
1951,639,Burma vs. Karens,1948,2325,2360,2360,0,9,15,1951,7,31,-999,-999,-999,-999,-999,-999,5,Karens,1,0,1050,1050,8000,-999,0,0,0,0,0,0,1,0,3
1949,640,Colombia vs. Liberals of 1949,1949,12133,12133,12133,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1950,640,Colombia vs. Liberals of 1949,1949,12133,12133,12133,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1951,640,Colombia vs. Liberals of 1949,1949,12134,12134,12134,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1952,640,Colombia vs. Liberals of 1949,1949,12134,12134,12134,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1953,640,Colombia vs. Liberals of 1949,1949,12134,12134,12134,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1954,640,Colombia vs. Liberals of 1949,1949,12134,12134,12134,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1955,640,Colombia vs. Liberals of 1949,1949,12134,12134,12134,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1956,640,Colombia vs. Liberals of 1949,1949,12134,12134,12134,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1957,640,Colombia vs. Liberals of 1949,1949,12134,12134,12134,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1958,640,Colombia vs. Liberals of 1949,1949,12134,12134,12134,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1959,640,Colombia vs. Liberals of 1949,1949,3370,3370,3370,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1960,640,Colombia vs. Liberals of 1949,1949,3370,3370,3370,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1961,640,Colombia vs. Liberals of 1949,1949,3371,3371,3371,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1962,640,Colombia vs. Liberals of 1949,1949,3371,3371,3371,0,9,15,1962,12,31,-999,-999,-999,-999,-999,-999,4,Liberals,1,0,4856,4856,300000,-999,0,0,1,0,0,0,0,0,3
1950,641,Indonesia vs. Moluccans,1950,5000,5000,5000,1,5,31,1950,11,3,-999,-999,-999,-999,-999,-999,5,Moluccans,1,0,157,157,5000,-999,0,0,0,0,0,0,1,0,3
1950,642,Philippines vs. Huks,1950,3000,3000,3000,0,9,1,1952,7,1,-999,-999,-999,-999,-999,-999,4,Huks,1,0,670,670,9000,-999,0,0,0,0,0,0,1,0,3
1951,642,Philippines vs. Huks,1950,3000,3000,3000,0,9,1,1952,7,1,-999,-999,-999,-999,-999,-999,4,Huks,1,0,670,670,9000,-999,0,0,0,0,0,0,1,0,3
1952,642,Philippines vs. Huks,1950,3000,3000,3000,0,9,1,1952,7,1,-999,-999,-999,-999,-999,-999,4,Huks,1,0,670,670,9000,-999,0,0,0,0,0,0,1,0,3
1952,643,Bolivia vs. Leftists,1952,450,1500,600,1,4,9,1952,4,11,-999,-999,-999,-999,-999,-999,4,Leftists,2,0,3,3,1500,-999,0,0,0,0,0,0,0,0,3
