new_id,old_id
9293,1-X129
9327,1-X178
9328,1-X179
9329,1-X180
9330,1-X181
9331,1-X182
9332,1-X183
9335,1-X224
9336,1-X225
9337,1-X226
9338,1-X227
9339,1-X228
9340,1-X229
9353,1-X263
9355,1-X270
9356,1-X272
9357,1-X274
9389,1-X335
9390,1-X392
9396,1-X411
9397,1-X413
9398,1-X414
9399,1-X415
9400,1-X416
9401,1-X418
9403,1-X420
9404,1-X421
9405,1-X422
9406,1-X423
9407,1-X424
9441,1-X489
9442,1-X492
9444,1-X495
9445,1-X496
9446,1-X497
9447,1-X499
9459,1-X525
9460,1-X526
9461,1-X528
9462,1-X530
9463,1-X532
9464,1-X535
9465,1-X537
9466,1-X539
9467,1-X540
9468,1-X542
9469,1-X544
9470,1-X546
9471,1-X548
9472,1-X549
9473,1-X551
9474,1-X553
9475,1-X555
9476,1-X557
9477,1-X559
9478,1-X561
9528,1-X825
9529,1-X827
9530,1-X828
9531,1-X829
9532,1-X830
9533,1-X831
9534,1-X832
9535,1-X833
9536,1-X835
9537,1-X836
9538,1-X838
9539,1-X839
9540,1-X840
9549,1-X863
9556,1-X888
9557,1-X890
9594,1-X944
9595,1-X945
9596,1-X952
9597,1-X953
9598,1-X956
9600,1-X4896
9604,1-X1020
9605,1-X1035
9610,1-X1049
9613,1-X1052
9617,1-X1070
9618,1-X1074
9630,1-X1101
9632,1-X1108
9640,1-X1141
9641,1-X1142
9642,1-X1143
9644,1-X1146
9645,1-X1148
9646,1-X1151
9647,1-X1152
9648,1-X1154
9649,1-X1155
9650,1-X1156
9651,1-X1157
9698,1-X1210
9736,1-X1251
9737,1-X1253
9738,1-X1255
9739,1-X1256
9740,1-X1257
9741,1-X1258
9742,1-X1259
9743,1-X1260
9744,1-X1261
9745,1-X1262
9746,1-X1263
9747,1-X1264
9762,1-X1315
9763,1-X1316
9764,1-X1338
9767,1-X1354
9768,1-X1355
9818,1-X1459
9876,1-X1561
9877,1-X1563
9878,1-X1565
9882,1-X1587
9883,1-X1589
9884,1-X1591
9886,1-X1595
9888,1-X1599
9891,1-X1612
9892,1-X1614
9899,1-X1756
9900,1-X1757
9901,1-X1758
9905,1-X1769
9906,1-X1771
9913,1-X1788
9914,1-X1789
9915,1-X1790
9916,1-X1792
9918,1-X1800
9919,1-X1802
9920,1-X1803
9927,1-X1821
9934,1-X1842
9948,1-X1874
9949,1-X1876
9950,1-X1882
9954,1-X1890
9955,1-X1891
9956,1-X1892
9964,1-X1907
9965,1-X1910
9966,1-X1911
9967,1-X1912
9968,1-X1913
9969,1-X1914
9971,1-X1916
9974,1-X1935
9975,1-X1938
9976,1-X1939
9977,1-X1945
9979,1-X1950
9985,1-X1969
9987,1-X1978
9988,1-X1979
9989,1-X1980
9990,1-X1982
9991,1-X1984
9992,1-X1992
9993,1-X1993
9994,1-X1997
9996,1-X2012
9997,1-X2014
9998,1-X2016
9999,1-X2018
10020,1-X2075
10027,1-X2089
10028,1-X2091
10029,1-X2093
10030,1-X2095
10031,1-X2097
10032,1-X2098
10052,1-X2172
10056,1-X2209
10135,1-X2294
10139,1-X2306
10148,1-X2330
10158,1-X2368
10180,1-X2426
10184,1-X2440
10186,1-X2441
10187,1-X2442
10188,1-X2445
10189,1-X2446
10207,1-X2514
10209,1-X2525
10211,1-X2530
10216,1-X2545
10217,1-X2549
10219,1-X2553
10222,1-X2561
10224,1-X2566
10227,1-X2574
10228,1-X2578
10229,1-X2579
10232,1-X2596
10233,1-X2597
10234,1-X2599
10235,1-X2600
10236,1-X2602
10237,1-X2603
10240,1-X2610
10241,1-X2614
10245,1-X2626
10246,1-X2627
10247,1-X2628
10248,1-X2629
10249,1-X2630
10250,1-X2631
10251,1-X2642
10258,1-X2660
10263,1-X2670
10264,1-X2672
10265,1-X2676
10266,1-X2678
10267,1-X2679
10272,1-X2698
10275,1-X2710
10276,1-X2716
10277,1-X2718
10278,1-X2720
10279,1-X2722
10280,1-X2725
10282,1-X2729
10283,1-X2733
10284,1-X2735
10285,1-X2737
10286,1-X2739
10287,1-X2743
10288,1-X2748
10303,1-X2786
10304,1-X2788
10307,1-X2796
10309,1-X2808
10311,1-X2813
10312,1-X2817
10313,1-X2819
10315,1-X2823
10326,1-X2854
10330,1-X2874
10331,1-X2876
10332,1-X2877
10335,1-X2884
10336,1-X2886
10337,1-X2888
10342,1-X2908
10348,1-X2914
10349,1-X2915
10350,1-X2916
10351,1-X2917
10352,1-X2918
10353,1-X2919
10357,1-X2208
10368,1-X3072
10369,1-X3074
10370,1-X3076
10372,1-X3081
10373,1-X3082
10375,1-X3087
10376,1-X3089
10377,1-X3090
10378,1-X3093
10379,1-X3096
10380,1-X3097
10381,1-X3098
10382,1-X3099
10384,1-X3101
10385,1-X3102
10386,1-X3103
10388,1-X3108
10389,1-X3110
10390,1-X3113
10391,1-X3116
10392,1-X3117
10393,1-X3119
10395,1-X3122
10396,1-X3126
10397,1-X3128
10398,1-X3130
10399,1-X3132
10400,1-X3134
10401,1-X3136
10402,1-X3138
10403,1-X3140
10404,1-X3142
10405,1-X3144
10407,1-X3150
10408,1-X3152
10409,1-X3154
10410,1-X3157
10411,1-X3159
10412,1-X3161
10413,1-X3163
10414,1-X3165
10415,1-X3166
10416,1-X3168
10417,1-X3169
10418,1-X3170
10419,1-X3172
10420,1-X3174
10421,1-X3177
10422,1-X3179
10423,1-X3181
10424,1-X3183
10425,1-X3185
10427,1-X3190
10431,1-X3197
10435,1-X3202
10439,1-X3208
10447,1-X3228
10451,1-X3234
10452,1-X3236
10453,1-X3238
10454,1-X3239
10455,1-X3241
10456,1-X3243
10457,1-X3248
10458,1-X3250
10459,1-X3252
10460,1-X3254
10461,1-X3256
10462,1-X3258
10463,1-X3260
10464,1-X3262
10465,1-X3264
10466,1-X3266
10473,1-X3278
10478,1-X3291
10480,1-X3297
10481,1-X3300
10482,1-X3302
10483,1-X3303
10486,1-X3313
10487,1-X3315
10488,1-X3316
10489,1-X3318
10494,1-X3330
10533,1-X3413
10535,1-X3419
10536,1-X3421
10573,1-X3481
10583,1-X3498
10584,1-X3500
10591,1-X3512
10592,1-X3513
10594,1-X3519
10595,1-X3521
10596,1-X3523
10597,1-X3525
10598,1-X3527
10599,1-X3528
10600,1-X3530
10605,1-X3541
10606,1-X3542
