ID,Year,WarNo,WarName,YrBeg1,bdeadlow,bdeadhigh,bdeadbest,yrlydata,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,WarType,NonState,Winner,Interven,MinDur,MaxDur,StDeaths,ToDeaths,CenSubSy,MajPowIn,WestHem,Europe,Africa,MidEast,Asia,Oceania,Edition,Version
3951901,1901,395,Boer War of 1899,1899,3106,3106,3106,0,10,11,1902,5,31,-999,-999,-999,-999,-999,-999,3,Boer Republics,1,0,963,963,22000,35000,1,1,0,0,1,0,0,0,0,3
3951902,1902,395,Boer War of 1899,1899,3106,3106,3106,0,10,11,1902,5,31,-999,-999,-999,-999,-999,-999,3,Boer Republics,1,0,963,963,22000,35000,1,1,0,0,1,0,0,0,0,3
3961903,1903,396,British Conquest of Kano &Sokoto,1903,365,1000,365,1,1,29,1903,7,27,-999,-999,-999,-999,-999,-999,2,Kano & Sokoto,1,0,180,180,1000,-999,1,1,0,0,1,0,0,0,0,3
3971904,1904,397,South West African Revolt,1904,5943,5943,5943,0,1,12,1905,11,-999,-999,-999,-999,-999,-999,-999,2,Herero & Nama,1,0,660,689,2000,80000,1,1,0,0,1,0,0,0,3,3
3971905,1905,397,South West African Revolt,1904,5944,5944,5944,0,1,12,1905,11,-999,-999,-999,-999,-999,-999,-999,2,Herero & Nama,1,0,660,689,2000,80000,1,1,0,0,1,0,0,0,3,3
3991905,1905,399,Maji-Maji Revolt,1905,500,500,500,0,7,-999,1906,6,-999,-999,-999,-999,-999,-999,-999,2,Maji-Maji in Tanganyka,1,0,306,365,1000,150000,1,1,0,0,1,0,0,0,3,3
3991906,1906,399,Maji-Maji Revolt,1905,500,500,500,0,7,-999,1906,6,-999,-999,-999,-999,-999,-999,-999,2,Maji-Maji in Tanganyka,1,0,306,365,1000,150000,1,1,0,0,1,0,0,0,3,3
4001906,1906,400,British-Zulu of 1906,1906,2356,2356,2356,1,3,-999,1906,7,-999,-999,-999,-999,-999,-999,-999,2,Zulus,1,0,93,153,5000,-999,1,1,0,0,1,0,0,0,2,3
4011911,1911,401,First Moroccan,1911,50,200,100,1,-999,-999,1912,3,30,-999,-999,-999,-999,-999,-999,3,Morocco,1,1,91,455,1000,-999,1,1,0,0,0,1,0,0,2,3
4011912,1912,401,First Moroccan,1911,3146,3146,3146,1,-999,-999,1912,3,30,-999,-999,-999,-999,-999,-999,3,Morocco,1,1,91,455,1000,-999,1,1,0,0,0,1,0,0,2,3
4021912,1912,402,Sino-Tibetan of 1912,1912,1000,1000,1000,0,3,-999,1913,4,-999,-999,-999,-999,-999,-999,-999,3,Tibet,2,0,367,426,2000,-999,1,0,0,0,0,0,1,0,3,3
4021913,1913,402,Sino-Tibetan of 1912,1912,1000,1000,1000,0,3,-999,1913,4,-999,-999,-999,-999,-999,-999,-999,3,Tibet,2,0,367,426,2000,-999,1,0,0,0,0,0,1,0,3,3
4041916,1916,404,Second Moroccan,1916,1000,1000,1000,0,-999,-999,1917,-999,-999,-999,-999,-999,-999,-999,-999,2,Morocco,1,1,2,731,2000,-999,1,1,0,0,0,1,0,0,2,3
4041917,1917,404,Second Moroccan,1916,1000,1000,1000,0,-999,-999,1917,-999,-999,-999,-999,-999,-999,-999,-999,2,Morocco,1,1,2,731,2000,-999,1,1,0,0,0,1,0,0,2,3
4051918,1918,405,Sino-Tibetan of 1918,1918,1000,1000,1000,1,1,7,1918,8,-999,-999,-999,-999,-999,-999,-999,3,Tibet,6,0,207,237,1000,-999,1,0,0,0,0,0,1,0,3,3
4061918,1918,406,Caco Revolt,1918,695,1056,782,0,10,17,1920,5,19,-999,-999,-999,-999,-999,-999,2,Caco Rebels,1,0,581,581,28,2102,1,1,1,0,0,0,0,0,4,3
4061919,1919,406,Caco Revolt,1918,696,1056,783,0,10,17,1920,5,19,-999,-999,-999,-999,-999,-999,2,Caco Rebels,1,0,581,581,28,2102,1,1,1,0,0,0,0,0,4,3
4061920,1920,406,Caco Revolt,1918,696,1057,783,0,10,17,1920,5,19,-999,-999,-999,-999,-999,-999,2,Caco Rebels,1,0,581,581,28,2102,1,1,1,0,0,0,0,0,4,3
4081919,1919,408,British-Afghan of 1919,1919,1236,1236,1236,1,5,-999,1919,8,8,-999,-999,-999,-999,-999,-999,3,Afghanistan,6,0,70,100,1000,-999,1,1,0,0,0,1,0,0,3,3
