year,East.Jersualem,0-2.5km,2.5-5km,5-15km,>15km
1998,158155,34418,55992,39515,35615
2003,173500,62384,68732,50146,40636
2008,186696,98433,81082,64211,46585
2013,197318,131071,94665,77137,53660
2018,218851,162685,108040,92605,62269
2021,233124,179545,138740,112546,75727
