country,year,experts,party_id,party,vote,seat,electionyear,family,govt,position,eu_salience,eu_dissent,eu_asylum,eu_budgets,lrgen,lrecon,lrecon_clear,lrecon_salience,galtan,galtan_clear,galtan_salience,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,ethnic_minorities,galtan_new,galtan_new_clear,galtan_new_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,party_name,eu_position,eu_budget,immigrate_salience,multiculture,multiculture_salience,multiculture_dissent
pol,2017,22,2601,SLD,1.9,0,2015,5. socialist,0,6.5714288,7.1500001,1.5,5.1578946,4.7647057,3.6190476,3.6666667,4.8571429,4.6500001,3.0952382,6.2380953,6.2857141,4.3157897,4.2105265,3.5384614,3.9444444,3.2352941,3.0833333,3.5333333,3,5.1904764,4.8421054,3.7619047,2.2727273,3.45,6.2105265,,,,,,,
pol,2017,22,2603,PO,24.1,30,2015,4. Christian-democratic,.5,6.8095236,8.7619047,1.9047619,4.6666665,5.1052632,6,6.7142859,6.3333335,6.0999999,5.3333335,4.9523811,5.6666665,4.5714288,4.8571429,4.4499998,5.1578946,4.1111112,3.9333334,3.7368422,4.3636365,5.7142859,5.3333335,3.7619047,1.8636364,4,7.3333335,,,,,,,
pol,2017,22,2605,PiS,37.599998,51.099998,2015,1. radical TAN,.5,3.0952382,6.2857141,3.9047618,1.1904762,2,8.2857141,2.5714285,6.9047618,7,9.1904764,8.8095236,8.2857141,9.7142859,9,1,9.1052628,6.3333335,1.3333334,7.8947368,8.954545,8.3999996,7.4285712,4.1428571,8.272727,8.0476189,9.636364,,,,,,,
pol,2017,22,2606,PSL,5.0999999,3.5,2015,11. agrarian/center,.5,5.8095236,6,2.0999999,3.4285715,3.8888888,6,3.8095238,5.7619047,5.1999998,7.2380953,6,5.7619047,6.2380953,4.3333335,2.9375,7.0625,3.6111112,3,5.5625,6.6666665,6.4285712,5.4285712,3.8095238,2.8095238,3.5714285,5.6363635,,,,,,,
pol,2017,22,2613,TR,1.9,0,2015,3. liberal,0,6.5294118,6.7222223,.71428573,5.5384617,4.5,3.1052632,4.5625,5,4.9473686,1.3333334,7.9333334,8.375,2.5833333,5,1.5,2.6363637,3.6666667,2.2857144,2.5,1.8888888,6.8571429,7.3333335,5.25,4.181818,4.9166665,5.090909,,,,,,,
pol,2017,22,2617,Kukiz,8.8000002,9.1000004,2015,1. radical TAN,0,3.2380953,4.2857141,3.7368422,1.4285715,1.6842105,8.3000002,5.3000002,3.9523809,4.1500001,8.5238094,6.4761906,6.7142859,9.4761906,7.8000002,2.2777777,8.7894735,5.5882354,1.7857143,7.4444447,8.454545,7.0476189,6.7619047,8.6190472,9.045455,8.4761906,6.5238094,,,,,,,
pol,2017,22,2618,Nowo,7.5999999,6.0999999,2015,3. liberal,0,7,8.3809528,1.0952381,5.1999998,5.4444447,5.3333335,8.0500002,8.1904764,7.6500001,2.9523809,7.5238094,7.6666665,3.3809524,5,2.4736843,3.2631578,4.5,3,3,2.7272727,6.8571429,6.1428571,4.3499999,2.2380953,4.5,4.9545455,,,,,,,
pol,2017,22,2619,Korwin,4.8000002,0,2015,2. conservative,0,1.4285715,6.4499998,1.2,1.1428572,1.1666666,9,9.8000002,8.9499998,7.1111112,8.333333,8.1999998,7.8333335,9.7222223,8,.94117647,9.5294113,5.8571429,1.1538461,7.647059,9.1904764,7.8421054,7.1111112,4,7.5999999,6.4000001,8.3999996,,,,,,,
pol,2017,22,2620,Razem,3.5999999,0,2015,5. socialist,0,6.1500001,5.5,1.3529412,6.3157897,4.3333335,1.3809524,.76190478,8.6190472,7.8000002,.71428573,9.2380953,8.666667,1.2631578,6.4210525,.7647059,1.3888888,5.7058825,1.4615384,1.8888888,.81818181,8.0500002,7.6500001,6.6666665,6.6190476,6,2.25,,,,,,,
slo,2017,20,2803,Smer,28.299999,32.700001,2016,5. socialist,1,5.75,6.9499998,1.95,2.5999999,5,3.8421052,2.9000001,5.5,7.5,7.3499999,6,4.9499998,8.4210529,8.3684206,1.3684211,8.8947372,6.9000001,1.3157895,6,6.9499998,5.6500001,4.8000002,2.45,4.2105265,3.95,9.3999996,,,,,,,
slo,2017,20,2804,SMK-MKP,4.0999999,0,2016,8. regionalist,0,5.2857141,5.1666665,2.090909,3,3.8,6.9411764,5.75,4.4666667,5.0526314,7.7142859,6.7857141,6,7.6666665,4.5999999,2.2857144,5.9230771,4.6666665,2.2727273,.2,6.875,7.7857141,6.8333335,3.6153846,3.5,3.5,6.7857141,,,,,,,
slo,2017,20,2805,KDH,4.9000001,0,2016,4. Christian-democratic,0,5.0999999,5.2631578,2.3846154,3.3333333,3.8571429,7.1052632,6,5.8947368,5.0526314,8.0500002,7.9444447,8,7.1875,5.7692308,2,8.3529415,5.5,2,6.2142859,7.4736843,7.9499998,7.647059,3.0666666,3.7222223,5.7222223,6.5500002,,,,,,,
slo,2017,20,2809,SNS,8.6000004,10,2016,1. radical TAN,0,3.75,4.6315789,3.6470587,2.0526316,2.4615386,7.5789475,4.6999998,3.5263157,4.0999999,8.6000004,8,7.4000001,9.3684206,8.3684206,.69999999,9.6315794,7.1999998,.63157892,7.9000001,8.6999998,8.3500004,7.9000001,3.05,5.1052632,2.7,8.8000002,,,,,,,
slo,2017,20,2812,SaS,12.1,14,2016,3. liberal,0,2.8947368,6.5500002,5.7368422,1.85,1.5555556,7.4210525,8.5,8,8.3500004,4.0500002,6.8000002,6.3499999,8.8947372,8.4210529,4.9499998,8.2631578,7.25,4.4499998,5.4444447,4.5263157,6,6.0999999,5.1999998,5.9444447,8.25,8.3500004,,,,,,,
slo,2017,20,2813,Most–Hid,6.5,7.3000002,2016,8. regionalist,.5,6.3000002,6.9000001,1,4.5263157,5,5.8421054,5.9499998,5.9000001,5.9499998,4.5999999,6,5.4000001,5.9473686,5,2.4705882,4.6842103,4.8000002,3.1111112,.75,4.1500001,6.4499998,5.0500002,3.1500001,2.9473684,5.0500002,7.0999999,,,,,,,
slo,2017,20,2814,OLaNO-NOVA,11,12.7,2016,2. conservative,0,4.2105265,4.5263157,4.0588236,2.4117646,2.9230769,6.8888888,6.6842103,3.7,5.1999998,7.6999998,6.6500001,6.25,8.333333,6.7058825,2.7777777,8.4117651,5.9000001,2.2941177,5.8333335,6.8499999,5.4000001,5.5,6.9499998,7.5263157,9.1999998,7.8499999,,,,,,,
slo,2017,20,2816,Siet,5.5999999,6.6999998,2016,9. no family,.5,5.6363635,4.9375,2.5555556,4,4.3333335,6.0833335,6.3846154,5.090909,6.3333335,6.25,5.7777777,5.75,5.3333335,5.8571429,2.8333333,4.8571429,5,3,4.3333335,4.7777777,5.5,5.2857141,4.6666665,3.75,5.625,7,,,,,,,
slo,2017,20,2817,Kotleba LSNS,8,9.3000002,2016,1. radical TAN,0,1.15,6.2105265,.88235295,1.2,1,9.7222223,5.0714288,3.3157895,2.7368422,9.8000002,9.1000004,8.1000004,9.7894735,9.5789471,.25,9.9473686,7.9000001,.30000001,9.75,9.8500004,9.75,9.0500002,7,9.4736843,7,9.5,,,,,,,
slo,2017,20,2818,Sme Rodina,6.5999999,7.3000002,2016,2. conservative,0,2.9473684,4.6842103,1.9166666,1.75,1.6153846,7.6842103,6.6666665,2.6842105,3.2,8.4444447,6.6500001,7.0555553,9.0526314,8.0555553,1,9.4117651,6.3499999,.94444442,8.4705887,8.5500002,7.0500002,7.7894735,7.1999998,8.5,7.5789475,9.2631578,,,,,,,
